model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,26,2.921875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,27,3.046875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,28,2.84375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,29,2.578125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,30,2.390625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,31,2.421875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,32,2.171875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,33,2.640625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,34,2.421875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,35,2.46875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,36,2.125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,37,1.984375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,38,2.25,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,39,1.8671875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,40,2.125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,41,2.328125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,42,3.09375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,43,3.1875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,44,3.09375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,45,3.0,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,46,2.890625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,47,2.953125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,48,3.0,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,49,2.515625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,50,2.78125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,51,2.484375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,52,2.421875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,53,2.375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,54,2.203125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,55,2.46875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,56,2.234375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,57,2.015625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,58,2.4375,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,59,2.3125,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,60,2.671875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,61,2.890625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,62,2.90625,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_k8,20260902,63,3.171875,2047,0.003830200992524624
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,0,2.3125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,1,2.75,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,2,3.03125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,3,2.78125,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,4,2.484375,2047,0.003942152950912714
qwen3_8b,Qwen/Qwen3-8B,both,nar_kmax,20260902,5,2.0625,2047,0.003942152950912714
