model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,82,1.8015358448028564,2047,1.8015358448028564,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,83,1.9802395105361938,2047,1.9802395105361938,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,84,1.8123387098312378,2047,1.8123387098312378,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,85,2.0039846897125244,2047,2.0039846897125244,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,86,2.019855499267578,2047,2.019855499267578,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,87,2.0003013610839844,2047,2.0003013610839844,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,88,2.2699625492095947,2047,2.2699625492095947,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,89,2.211808204650879,2047,2.211808204650879,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,90,2.2979307174682617,2047,2.2979307174682617,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,91,3.0158205032348633,2047,3.0158205032348633,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,92,2.9794163703918457,2047,2.9794163703918457,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,93,2.4502482414245605,2047,2.4502482414245605,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,94,2.700420379638672,2047,2.700420379638672,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,95,2.7303600311279297,2047,2.7303600311279297,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,96,2.4050662517547607,2047,2.4050662517547607,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,97,2.621814250946045,2047,2.621814250946045,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,98,2.256157398223877,2047,2.256157398223877,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,bf16,20260902,99,2.3655354976654053,2047,2.3655354976654053,0.0
