model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize
qwen3_8b_base,nar_kmax,21,0,self_attn.q_proj,4096,4096,128,0,40.95998001098633,-1,128
qwen3_8b_base,nar_kmax,21,1,self_attn.o_proj,4096,4096,128,0,3.499729633331299,-1,128
qwen3_8b_base,nar_kmax,21,2,mlp.up_proj,4096,12288,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,21,2,mlp.gate_proj,4096,12288,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,21,3,mlp.down_proj,12288,4096,128,0,1.616638422012329,-1,128
qwen3_8b_base,nar_kmax,22,0,self_attn.k_proj,4096,1024,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,22,0,self_attn.v_proj,4096,1024,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,22,0,self_attn.q_proj,4096,4096,128,0,40.959983825683594,-1,128
qwen3_8b_base,nar_kmax,22,1,self_attn.o_proj,4096,4096,128,0,5.737274646759033,-1,128
qwen3_8b_base,nar_kmax,22,2,mlp.up_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,22,2,mlp.gate_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,22,3,mlp.down_proj,12288,4096,128,0,2.814650297164917,-1,128
qwen3_8b_base,nar_kmax,23,0,self_attn.k_proj,4096,1024,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,23,0,self_attn.v_proj,4096,1024,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,23,0,self_attn.q_proj,4096,4096,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,23,1,self_attn.o_proj,4096,4096,128,0,6.913331031799316,-1,128
qwen3_8b_base,nar_kmax,23,2,mlp.up_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,23,2,mlp.gate_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,23,3,mlp.down_proj,12288,4096,128,0,4.177464008331299,-1,128
qwen3_8b_base,nar_kmax,24,0,self_attn.k_proj,4096,1024,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,24,0,self_attn.v_proj,4096,1024,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,24,0,self_attn.q_proj,4096,4096,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,24,1,self_attn.o_proj,4096,4096,128,0,7.739081859588623,-1,128
qwen3_8b_base,nar_kmax,24,2,mlp.up_proj,4096,12288,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,24,2,mlp.gate_proj,4096,12288,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,24,3,mlp.down_proj,12288,4096,128,0,5.76588249206543,-1,128
qwen3_8b_base,nar_kmax,25,0,self_attn.k_proj,4096,1024,128,0,40.959991455078125,-1,128
qwen3_8b_base,nar_kmax,25,0,self_attn.v_proj,4096,1024,128,0,40.959991455078125,-1,128
qwen3_8b_base,nar_kmax,25,0,self_attn.q_proj,4096,4096,128,0,40.959991455078125,-1,128
qwen3_8b_base,nar_kmax,25,1,self_attn.o_proj,4096,4096,128,0,5.435763835906982,-1,128
qwen3_8b_base,nar_kmax,25,2,mlp.up_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,25,2,mlp.gate_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,25,3,mlp.down_proj,12288,4096,128,0,6.9237060546875,-1,128
qwen3_8b_base,nar_kmax,26,0,self_attn.k_proj,4096,1024,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,26,0,self_attn.v_proj,4096,1024,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,26,0,self_attn.q_proj,4096,4096,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,26,1,self_attn.o_proj,4096,4096,128,0,5.205439567565918,-1,128
qwen3_8b_base,nar_kmax,26,2,mlp.up_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,26,2,mlp.gate_proj,4096,12288,128,0,40.95998764038086,-1,128
qwen3_8b_base,nar_kmax,26,3,mlp.down_proj,12288,4096,128,0,8.387697219848633,-1,128
qwen3_8b_base,nar_kmax,27,0,self_attn.k_proj,4096,1024,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,27,0,self_attn.v_proj,4096,1024,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,27,0,self_attn.q_proj,4096,4096,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,27,1,self_attn.o_proj,4096,4096,128,0,7.99171781539917,-1,128
qwen3_8b_base,nar_kmax,27,2,mlp.up_proj,4096,12288,128,0,40.959991455078125,-1,128
qwen3_8b_base,nar_kmax,27,2,mlp.gate_proj,4096,12288,128,0,40.959991455078125,-1,128
qwen3_8b_base,nar_kmax,27,3,mlp.down_proj,12288,4096,128,0,10.982789993286133,-1,128
qwen3_8b_base,nar_kmax,28,0,self_attn.k_proj,4096,1024,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,28,0,self_attn.v_proj,4096,1024,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,28,0,self_attn.q_proj,4096,4096,128,0,40.95999526977539,-1,128
qwen3_8b_base,nar_kmax,28,1,self_attn.o_proj,4096,4096,128,0,12.339024543762207,-1,128
