experiment,model,row,seed,eval_set,chunk,nll,tokens,token_sha256
32,qwen3_4b_base,hadamard,1,wt2,21,2.3363053798675537,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,22,2.061347484588623,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,23,2.188100814819336,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,24,2.1930086612701416,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,25,2.2683591842651367,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,26,2.35341477394104,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,27,2.5374157428741455,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,28,2.301086187362671,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,29,1.9172831773757935,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,30,1.8498934507369995,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,31,1.773974895477295,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,32,1.5707154273986816,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,33,2.047314167022705,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,34,1.9294663667678833,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,35,2.034290313720703,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,36,1.659609317779541,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,37,1.4824566841125488,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,38,1.6111849546432495,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,39,1.4158676862716675,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,40,1.6427466869354248,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,41,2.0116679668426514,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,42,2.469882011413574,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,43,2.6914896965026855,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,44,2.576451301574707,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,45,2.3570668697357178,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,46,2.2813286781311035,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,47,2.407686948776245,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,48,2.4325881004333496,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,49,1.9930135011672974,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,50,2.2764861583709717,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,51,1.9598208665847778,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,52,1.8843333721160889,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
32,qwen3_4b_base,hadamard,1,wt2,53,1.8074781894683838,2047,2b8c8fd24c772e7965e98ea13f78d4e9308abd536437bfa8c7b4fee91014bb5e
