model,row,seed,site,layer,group,group_class,observations,mean_range,scope
qwen3_4b_base,Q1_asym,0,down,2,3,anchor,131072,0.07274896944335296,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,4,anchor,131072,0.06770987091835678,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,5,anchor,131072,0.07534427133461108,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,6,anchor,131072,0.06744608237870864,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,7,anchor,131072,0.07548424197307213,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,8,anchor,131072,0.06424920965847036,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,9,anchor,131072,0.06533529397654547,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,10,anchor,131072,0.07965222780317305,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,11,anchor,131072,0.07156071893403038,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,12,anchor,131072,0.07446314437731871,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,13,anchor,131072,0.07016699112315194,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,14,anchor,131072,0.076915881196296,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,15,anchor,131072,0.0744872820495317,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,16,anchor,131072,0.07216130657381825,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,17,anchor,131072,0.06541607457751297,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,18,anchor,131072,0.07728834912704485,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,19,anchor,131072,0.06714178558814154,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,20,anchor,131072,0.07659853423592011,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,21,anchor,131072,0.0703308325579215,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,22,anchor,131072,0.06839228437581468,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,23,anchor,131072,0.06579810918956142,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,24,anchor,131072,0.07231091582048066,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,25,anchor,131072,0.07943995242002444,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,26,anchor,131072,0.07172776611597698,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,27,anchor,131072,0.07454081169821336,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,28,anchor,131072,0.06843696181709902,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,29,anchor,131072,0.07523926577021456,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,30,anchor,131072,0.071824595647076,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,31,anchor,131072,0.07734290601980831,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,32,anchor,131072,0.07533537822767755,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,33,anchor,131072,0.07106029478684661,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,34,anchor,131072,0.06813603967272996,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,35,anchor,131072,0.06888974059697617,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,36,anchor,131072,0.06692010543567051,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,37,anchor,131072,0.07215451875530476,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,38,anchor,131072,0.06782205507920835,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,39,anchor,131072,0.07934611874404851,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,40,anchor,131072,0.07297792045511997,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,41,anchor,131072,0.07134373576023023,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,42,anchor,131072,0.06751042211747915,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,43,anchor,131072,0.07336145590695509,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,44,anchor,131072,0.07419131974253546,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,45,anchor,131072,0.07809280326133461,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,46,anchor,131072,0.06858260820353479,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,47,anchor,131072,0.07867327741107744,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,48,anchor,131072,0.07585304497001033,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,49,anchor,131072,0.07173312913122487,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,50,anchor,131072,0.07548631417677854,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,51,anchor,131072,0.06930028873798122,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,52,anchor,131072,0.07584096692758635,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,53,anchor,131072,0.06636165559773843,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,54,anchor,131072,0.07275971132388648,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,55,anchor,131072,0.06990911307293146,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,56,anchor,131072,0.06821017523883555,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,57,anchor,131072,0.07238012445447595,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,58,anchor,131072,0.07795387533029441,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,59,anchor,131072,0.06340584709271369,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,60,anchor,131072,0.07170621248069153,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,61,anchor,131072,0.07295276088388647,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,62,anchor,131072,0.07524559840365441,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,63,anchor,131072,0.07881610884558654,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,64,anchor,131072,0.06921885605404299,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,65,anchor,131072,0.07669793263012536,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,66,anchor,131072,0.06859754890061964,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,67,anchor,131072,0.07487735150231956,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,68,anchor,131072,0.07464023796234187,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,69,anchor,131072,0.07195958591330509,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,70,anchor,131072,0.07086290661610661,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,71,anchor,131072,0.07695079744824795,actual_quantized_forward
qwen3_4b_base,Q1_asym,0,down,2,72,anchor,131072,0.07404809751568919,actual_quantized_forward
