model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,0,down,20,76,0.20847184926098222,0.16860405124876773,-0.03986779801221449,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,0,down,21,76,0.2076312055533801,0.17546702676374923,-0.032164178789630876,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,0,down,22,76,0.26194969685986175,0.21092597438341815,-0.0510237224764436,0.004388002684425171,0.9912623355263158,9728,1.0,0.0,76,,,0,0.000466442083441306,0.9990675507666805,9652
qwen3_4b_base,0,down,23,76,0.2731458908916769,0.2163204517945503,-0.05682543909712659,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,0,down,24,76,0.2740373501126221,0.2145574613690742,-0.0594798887435479,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,0,down,25,76,0.25825708108783474,0.1934734785048248,-0.06478360258300994,0.0041806451612903224,0.9916735197368421,9728,1.0,0.0,76,,,0,0.0002590807813876367,0.9994819726481559,9652
qwen3_4b_base,0,down,26,76,0.2672866893385631,0.20343828024391297,-0.06384840909465012,0.004128819157720892,0.9917763157894737,9728,1.0,0.0,76,,,0,0.0002072538860103627,0.9995855781185247,9652
qwen3_4b_base,0,down,27,76,0.2777307008864256,0.2262972606279753,-0.051433440258450286,0.004025183197440396,0.9919819078947368,9728,1.0,0.0,76,,,0,0.00010361620557455187,0.9997927890592623,9652
qwen3_4b_base,0,down,28,76,0.27385739270175746,0.2443418018046249,-0.02951559089713257,0.004284313219429102,0.991467927631579,9728,1.0,0.0,76,,,0,0.0003627506866352283,0.9992747617074181,9652
qwen3_4b_base,0,down,29,76,0.3239228019712658,0.25775001267908226,-0.06617278929218351,0.004025183197440396,0.9919819078947368,9728,1.0,0.0,76,,,0,0.00010361620557455187,0.9997927890592623,9652
qwen3_4b_base,0,down,30,76,0.3221306668828464,0.2903767877733536,-0.031753879109492844,0.004232476514916899,0.9915707236842105,9728,1.0,0.0,76,,,0,0.00031091304798424707,0.9993783671777869,9652
qwen3_4b_base,0,down,31,76,0.35309521996471,0.30445782619104406,-0.04863739377366594,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
qwen3_4b_base,0,down,32,76,0.28691568573221293,0.23329202290411533,-0.05362366282809761,0.004076998503380296,0.9918791118421053,9728,1.0,0.0,76,,,0,0.00015543236101756385,0.9996891835888935,9652
