model,seed,site,layer,k,f_wt2,f_c4,f_delta,all_jaccard,all_changed_fraction,all_slots,anchor_jaccard,anchor_changed_fraction,anchor_slots,filler_jaccard,filler_changed_fraction,filler_slots,residual_jaccard,residual_changed_fraction,residual_slots
qwen3_4b_base,1,qkv,11,20,0.511528294577748,0.5000197641147729,-0.011508530462975064,0.008866995073891626,0.982421875,2560,1.0,0.0,20,,,0,0.004945598417408506,0.9901574803149606,2540
qwen3_4b_base,1,qkv,12,20,0.5537819442082141,0.5476544180066248,-0.006127526201589295,0.009662788404653915,0.980859375,2560,1.0,0.0,20,,,0,0.005741437339140764,0.9885826771653543,2540
qwen3_4b_base,1,qkv,13,20,0.5126605254500624,0.5141689216009757,0.0015083961509133603,0.007874015748031496,0.984375,2560,1.0,0.0,20,,,0,0.003952569169960474,0.9921259842519685,2540
qwen3_4b_base,1,qkv,14,20,0.5919585641328438,0.604167428402442,0.012208864269598219,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
qwen3_4b_base,1,qkv,15,20,0.6025914218462836,0.6170818159809632,0.014490394134679674,0.008668242710795903,0.9828125,2560,1.0,0.0,20,,,0,0.004746835443037975,0.9905511811023622,2540
qwen3_4b_base,1,qkv,16,20,0.5389049288815704,0.5602310311373457,0.02132610225577536,0.008866995073891626,0.982421875,2560,1.0,0.0,20,,,0,0.004945598417408506,0.9901574803149606,2540
qwen3_4b_base,1,qkv,17,20,0.5511132093682369,0.576652439640662,0.025539230272425106,0.00747737111373475,0.98515625,2560,1.0,0.0,20,,,0,0.0035559067562228367,0.9929133858267717,2540
qwen3_4b_base,1,qkv,18,20,0.6008917305436084,0.6318907664791044,0.03099903593549591,0.009065825778478517,0.98203125,2560,1.0,0.0,20,,,0,0.0051444400474871385,0.989763779527559,2540
qwen3_4b_base,1,qkv,19,20,0.6095697561562259,0.6362348554005169,0.026665099244291057,0.008668242710795903,0.9828125,2560,1.0,0.0,20,,,0,0.004746835443037975,0.9905511811023622,2540
qwen3_4b_base,1,qkv,20,20,0.6163223738840622,0.6447173668223158,0.02839499293825365,0.007279165846940783,0.985546875,2560,1.0,0.0,20,,,0,0.003357693067351373,0.9933070866141732,2540
qwen3_4b_base,1,qkv,21,20,0.6609914184897194,0.6863095568561033,0.025318138366383858,0.008072455207718056,0.983984375,2560,1.0,0.0,20,,,0,0.004151017987744613,0.9917322834645669,2540
qwen3_4b_base,1,qkv,22,20,0.6377174429472426,0.6605774327253693,0.022859989778126644,0.005893909626719057,0.98828125,2560,1.0,0.0,20,,,0,0.0019723865877712033,0.9960629921259843,2540
qwen3_4b_base,1,qkv,23,20,0.6137652663386841,0.6258225471068576,0.012057280768173473,0.007081038552321007,0.9859375,2560,1.0,0.0,20,,,0,0.00315955766192733,0.9937007874015749,2540
qwen3_4b_base,1,qkv,24,20,0.6048725391669257,0.6094305223998878,0.004557983232962082,0.008270972823946435,0.98359375,2560,1.0,0.0,20,,,0,0.004349545274812179,0.9913385826771653,2540
qwen3_4b_base,1,qkv,25,20,0.6482645136815616,0.6527531414020241,0.004488627720462546,0.00688298918387414,0.986328125,2560,1.0,0.0,20,,,0,0.0029615004935834156,0.9940944881889764,2540
qwen3_4b_base,1,qkv,26,20,0.5948110967837055,0.6007738541011112,0.005962757317405698,0.008270972823946435,0.98359375,2560,1.0,0.0,20,,,0,0.004349545274812179,0.9913385826771653,2540
