model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
qwen3_4b_base,E22_k8,qkv,7,2,128,1,8,0.056768971027097416,0.08199197459809753,0.5030141926910368,0.5024100728443411,0.05780206297855242,0.01819817996986208,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,7,0,128,1,20,0.053680616235548186,0.0818495864002248,0.5613172118586338,0.5595546530308405,0.054211545262342,0.00989051661523637,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,7,1,128,1,20,0.05366147531275898,0.08228679293692238,0.5613172118586338,0.559554652992541,0.05450112084843327,0.0156470825816943,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,7,2,128,1,20,0.05367833047134733,0.08199197459809753,0.5613172118586338,0.5595546531494117,0.05430585342654037,0.011690433545208644,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,7,0,128,1,8,0.03270758373154743,0.03902270028072405,0.04549590230324996,0.04680131403644441,0.03812468085520187,0.16562205169651484,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,7,1,128,1,8,0.03269897832855635,0.03902179568142827,0.04549590230324996,0.04680131404538113,0.03812379707321843,0.1659017810940145,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,down,7,2,128,1,8,0.03270397237723486,0.039021039669586324,0.04549590230324996,0.046801314067508246,0.03812305845928373,0.16570115763126933,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,7,0,128,1,76,0.031533670318713763,0.03902270028072405,0.13512385143405256,0.12773829014033516,0.036290610855815725,0.15085273896197673,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,7,1,128,1,76,0.031535451170986335,0.03902179568142827,0.13512385143405256,0.1277382901483559,0.03628976959007073,0.1507610718269515,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,down,7,2,128,1,76,0.03153230322150985,0.039021039669586324,0.13512385143405256,0.12773829016343125,0.03628906650875238,0.15085365803528406,131072,9961472,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,8,0,128,1,8,0.07119489796401482,0.09386494808790076,0.42333493685202306,0.4213411688204395,0.07127960177028053,0.001189745454913435,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,8,1,128,1,8,0.07118101879939029,0.09384591825391553,0.42333493685202306,0.42134116888279305,0.07126515080625345,0.0011819444043119555,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_k8,qkv,8,2,128,1,8,0.07117116750511379,0.09383831550986485,0.42333493685202306,0.4213411689265867,0.07125937739904094,0.0012394049025654713,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,8,0,128,1,20,0.06790664795494994,0.09386494808790076,0.4780736415191835,0.47478726688805944,0.06781223516634688,-0.0013903320432735017,131072,2621440,saved factor eigenvalue sum / calibration trace
qwen3_4b_base,E22_kmax,qkv,8,1,128,1,20,0.06791204023562827,0.09384591825391553,0.4780736415191835,0.4747872669811181,0.067798487163459,-0.0016720609743911105,131072,2621440,saved factor eigenvalue sum / calibration trace
