model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction
qwen3_4b_base,P2_k8,0,qkv,18,8,6.264951353827589,0.5315426218978285
qwen3_4b_base,P2_k8,0,qkv,19,8,8.830489475903395,0.5405353886784419
qwen3_4b_base,P2_k8,0,qkv,20,8,10.791145715953537,0.5272797893549319
qwen3_4b_base,P2_k8,0,qkv,21,8,12.297670953943964,0.5781964202036027
qwen3_4b_base,P2_k8,0,qkv,22,8,11.965879030171166,0.5589162536797146
qwen3_4b_base,P2_k8,0,qkv,23,8,13.25159949287273,0.5275664158211376
qwen3_4b_base,P2_k8,0,qkv,24,8,17.72328822296757,0.5140231356082833
qwen3_4b_base,P2_k8,0,qkv,25,8,13.265503151398642,0.5759540842657244
qwen3_4b_base,P2_k8,0,qkv,26,8,11.05266637064466,0.5176305109123008
qwen3_4b_base,P2_k8,0,qkv,27,8,13.579158174655765,0.5517112305253633
qwen3_4b_base,P2_k8,0,qkv,28,8,18.77776554903172,0.5758585791924327
qwen3_4b_base,P2_k8,0,qkv,29,8,18.415117178077086,0.4630885167256993
qwen3_4b_base,P2_k8,0,qkv,30,8,10.83968071003003,0.5299310758427281
qwen3_4b_base,P2_k8,0,qkv,31,8,16.229981524417365,0.494012313767693
qwen3_4b_base,P2_k8,0,qkv,32,8,14.45563561657607,0.5178906585015841
qwen3_4b_base,P2_k8,0,qkv,33,8,23.84885087427395,0.43487988941219385
qwen3_4b_base,P2_k8,0,qkv,34,8,12.798886866639227,0.5409208664574305
qwen3_4b_base,P2_k8,0,qkv,35,8,6.8481851285673745,0.575353635615074
qwen3_4b_base,P2_k8,0,down,0,8,1.5079017190793145,0.0978380582848825
qwen3_4b_base,P2_k8,0,down,1,8,4.592530563592965,0.39141378494021634
qwen3_4b_base,P2_k8,0,down,2,8,2.196493756541918,0.09856998027515874
qwen3_4b_base,P2_k8,0,down,3,8,6.511102654215059,0.10308981425501236
qwen3_4b_base,P2_k8,0,down,4,8,2.7221519620538444,0.10915623857918515
qwen3_4b_base,P2_k8,0,down,5,8,2.8459587194946785,0.07879258290595896
qwen3_4b_base,P2_k8,0,down,6,8,1.601728464179112,0.9725110929083625
qwen3_4b_base,P2_k8,0,down,7,8,1.3928304995824767,0.04549810868171324
qwen3_4b_base,P2_k8,0,down,8,8,1.3178805310950779,0.04714981437594069
qwen3_4b_base,P2_k8,0,down,9,8,1.6051595767552382,0.08030010154160819
qwen3_4b_base,P2_k8,0,down,10,8,1.6940894365809518,0.08646400158804438
qwen3_4b_base,P2_k8,0,down,11,8,1.6765223287599942,0.08522724748805761
