model,solver,site,layer,k,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
qwen3_4b_base,S3,qkv,26,20,0.5969810999853689,0.05468266112656364,0.1607322762032959,21.782526493840997
qwen3_4b_base,S4,qkv,26,20,0.5982428671685128,5.225879651203913e-15,1.7175926394597606e-14,5.915117333884394e-06
qwen3_4b_base,S1,qkv,27,20,0.014386251590352834,3.8083206623460084,6.770083421139413,89.75944072443664
qwen3_4b_base,S2,qkv,27,20,0.6130359999170677,0.33306051373144274,0.48842875217344306,63.09741370790092
qwen3_4b_base,S3,qkv,27,20,0.6308383973758437,0.06699529122317927,0.15490378277469877,21.757250447291117
qwen3_4b_base,S4,qkv,27,20,0.6323567624045716,6.053971258473648e-15,1.475960799953151e-14,5.663293681020318e-06
qwen3_4b_base,S1,qkv,28,20,0.010688695008820637,4.297709909370964,9.033433315032928,89.98826720691645
qwen3_4b_base,S2,qkv,28,20,0.644118781584131,0.3102279033821846,0.4938669246816519,66.89576642399021
qwen3_4b_base,S3,qkv,28,20,0.660090511059927,0.07961271602348009,0.19009054618760143,22.35268076432944
qwen3_4b_base,S4,qkv,28,20,0.6616217391937568,8.910538630448943e-15,6.715291075176382e-14,7.540324677666868e-06
qwen3_4b_base,S1,qkv,29,20,0.010313892522655136,3.810259339146918,8.967939395714973,89.45285739319837
qwen3_4b_base,S2,qkv,29,20,0.5250842261889382,0.32117548419631226,0.4979418757787736,78.78678058364108
qwen3_4b_base,S3,qkv,29,20,0.546715008368256,0.0726918235583124,0.2181215607484025,38.11072967837359
qwen3_4b_base,S4,qkv,29,20,0.5496819361536631,5.339391152970622e-15,1.527534766938032e-14,6.722620413208828e-06
qwen3_4b_base,S1,qkv,30,20,0.011944451030941338,3.954439277376665,7.847776291342725,89.99761326205487
qwen3_4b_base,S2,qkv,30,20,0.5871547024675163,0.2831164092513566,0.48743604190998946,70.71164183844088
qwen3_4b_base,S3,qkv,30,20,0.6017911133253194,0.06642402308733307,0.2064189382803109,34.98349213651502
qwen3_4b_base,S4,qkv,30,20,0.6033247779110344,1.0292507323210338e-14,6.447020621880995e-14,5.193302344775283e-06
qwen3_4b_base,S1,qkv,31,20,0.011890324524423379,3.8565746175309013,7.690938972417351,89.95343906909798
qwen3_4b_base,S2,qkv,31,20,0.5549908375287129,0.31525969977039103,0.5278890280595054,76.42261747975174
qwen3_4b_base,S3,qkv,31,20,0.5726224554194055,0.06258224324799992,0.22841331789182193,34.35970967769427
qwen3_4b_base,S4,qkv,31,20,0.5750305855723153,5.772985018389034e-15,1.8645682545325924e-14,6.156649318399953e-06
qwen3_4b_base,S1,qkv,32,20,0.01326477839284402,3.4723542010806985,7.00291792896909,89.98799711198934
qwen3_4b_base,S2,qkv,32,20,0.5687368552985743,0.36400338837122803,0.582815508089146,61.11607087086556
qwen3_4b_base,S3,qkv,32,20,0.5862889578256782,0.08307640178146666,0.18681213571634653,36.260562609842985
qwen3_4b_base,S4,qkv,32,20,0.5881541736140895,9.0851057575134e-15,7.546908678507255e-14,6.097163388881823e-06
qwen3_4b_base,S1,qkv,33,20,0.010149802672081803,3.6678870668238828,9.121629693800752,89.69203028238307
qwen3_4b_base,S2,qkv,33,20,0.4913577849839764,0.34512493553919443,0.5152266242035678,85.87523987026022
qwen3_4b_base,S3,qkv,33,20,0.5146374913665925,0.09245683606166054,0.23036454503350934,54.710378646436894
qwen3_4b_base,S4,qkv,33,20,0.5187668050961218,4.128153866056713e-15,1.1475950798297945e-14,5.853177225625915e-06
qwen3_4b_base,S1,qkv,34,20,0.013365803019889233,3.2709972870521526,7.578079730347743,89.25379796145391
qwen3_4b_base,S2,qkv,34,20,0.5917922089503023,0.33568058162026415,0.5087115427985687,56.29393493684512
qwen3_4b_base,S3,qkv,34,20,0.6067534683652103,0.07249459044989297,0.17962150367002577,28.73654653315523
qwen3_4b_base,S4,qkv,34,20,0.6084916570824704,8.480430451563774e-15,5.062976598890218e-14,4.90455619685548e-06
qwen3_4b_base,S1,qkv,35,20,0.011719665924316952,3.406882201948924,8.14114258263561,89.62852343215212
qwen3_4b_base,S2,qkv,35,20,0.6222841741325132,0.29207613115807096,0.48605835916617085,80.57245871846908
qwen3_4b_base,S3,qkv,35,20,0.6364659282954439,0.05811651339309691,0.19635529420040368,86.2558132501989
qwen3_4b_base,S4,qkv,35,20,0.638210977793144,7.08966976951987e-15,1.1182555551019478e-13,5.7905745997743736e-06
