model,row,site,layer,seed,round_trip,tolerance
qwen3_4b_base,E22_kmax,qkv,11,2,1.5259178098858683e-07,1e-06
qwen3_4b_base,E22_k8,down,11,0,1.4686500549032644e-07,1e-06
qwen3_4b_base,E22_k8,down,11,1,1.4536081494043174e-07,1e-06
qwen3_4b_base,E22_k8,down,11,2,1.4723511299052916e-07,1e-06
qwen3_4b_base,E22_kmax,down,11,0,2.2301713897832087e-07,1e-06
qwen3_4b_base,E22_kmax,down,11,1,2.2417086142922926e-07,1e-06
qwen3_4b_base,E22_kmax,down,11,2,2.2418409173496912e-07,1e-06
qwen3_4b_base,E22_k8,qkv,12,0,1.3517548325125972e-07,1e-06
qwen3_4b_base,E22_k8,qkv,12,1,1.3492145001237077e-07,1e-06
qwen3_4b_base,E22_k8,qkv,12,2,1.3663485276538267e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,12,0,1.6756882814661367e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,12,1,1.700917948710412e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,12,2,1.7111938177549746e-07,1e-06
qwen3_4b_base,E22_k8,down,12,0,1.3480149618771975e-07,1e-06
qwen3_4b_base,E22_k8,down,12,1,1.3514875263354043e-07,1e-06
qwen3_4b_base,E22_k8,down,12,2,1.3339791848920868e-07,1e-06
qwen3_4b_base,E22_kmax,down,12,0,2.141726440640923e-07,1e-06
qwen3_4b_base,E22_kmax,down,12,1,2.144773816326051e-07,1e-06
qwen3_4b_base,E22_kmax,down,12,2,2.117763528985961e-07,1e-06
qwen3_4b_base,E22_k8,qkv,13,0,1.3397806242210208e-07,1e-06
qwen3_4b_base,E22_k8,qkv,13,1,1.34612520241717e-07,1e-06
qwen3_4b_base,E22_k8,qkv,13,2,1.3403851539806055e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,13,0,1.584006952271011e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,13,1,1.5349033333222906e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,13,2,1.5421571220031183e-07,1e-06
qwen3_4b_base,E22_k8,down,13,0,1.3644627472331194e-07,1e-06
qwen3_4b_base,E22_k8,down,13,1,1.3692314837498998e-07,1e-06
qwen3_4b_base,E22_k8,down,13,2,1.3640008944548754e-07,1e-06
qwen3_4b_base,E22_kmax,down,13,0,2.022864435957672e-07,1e-06
qwen3_4b_base,E22_kmax,down,13,1,2.0173374082332884e-07,1e-06
qwen3_4b_base,E22_kmax,down,13,2,2.032196562140598e-07,1e-06
qwen3_4b_base,E22_k8,qkv,14,0,1.312190107682909e-07,1e-06
qwen3_4b_base,E22_k8,qkv,14,1,1.313840982675174e-07,1e-06
qwen3_4b_base,E22_k8,qkv,14,2,1.322170959383584e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,14,0,1.4475048715212324e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,14,1,1.4707873674524308e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,14,2,1.4519955016112363e-07,1e-06
qwen3_4b_base,E22_k8,down,14,0,1.41126506036926e-07,1e-06
qwen3_4b_base,E22_k8,down,14,1,1.4071876819343743e-07,1e-06
qwen3_4b_base,E22_k8,down,14,2,1.4343073928557715e-07,1e-06
qwen3_4b_base,E22_kmax,down,14,0,2.1030542995958967e-07,1e-06
qwen3_4b_base,E22_kmax,down,14,1,2.1239776515358244e-07,1e-06
qwen3_4b_base,E22_kmax,down,14,2,2.1249725534744357e-07,1e-06
qwen3_4b_base,E22_k8,qkv,15,0,1.564174141321928e-07,1e-06
qwen3_4b_base,E22_k8,qkv,15,1,1.5672270592403947e-07,1e-06
qwen3_4b_base,E22_k8,qkv,15,2,1.576865003016792e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,15,0,1.7555649378664384e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,15,1,1.7539971963742573e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,15,2,1.7442054911498417e-07,1e-06
qwen3_4b_base,E22_k8,down,15,0,1.2617253730695666e-07,1e-06
qwen3_4b_base,E22_k8,down,15,1,1.261877287106472e-07,1e-06
qwen3_4b_base,E22_k8,down,15,2,1.2615839750651503e-07,1e-06
qwen3_4b_base,E22_kmax,down,15,0,1.9586663313475583e-07,1e-06
qwen3_4b_base,E22_kmax,down,15,1,1.9573295162444992e-07,1e-06
qwen3_4b_base,E22_kmax,down,15,2,1.9452224364613357e-07,1e-06
qwen3_4b_base,E22_k8,qkv,16,0,1.4419333638215903e-07,1e-06
qwen3_4b_base,E22_k8,qkv,16,1,1.4625712196902896e-07,1e-06
qwen3_4b_base,E22_k8,qkv,16,2,1.4329955888570112e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,16,0,1.721530367149171e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,16,1,1.758145629082719e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,16,2,1.7182030376261537e-07,1e-06
qwen3_4b_base,E22_k8,down,16,0,1.4639125822668575e-07,1e-06
qwen3_4b_base,E22_k8,down,16,1,1.467822414724651e-07,1e-06
qwen3_4b_base,E22_k8,down,16,2,1.4598835207380034e-07,1e-06
qwen3_4b_base,E22_kmax,down,16,0,1.9228168923746125e-07,1e-06
qwen3_4b_base,E22_kmax,down,16,1,1.931511093289373e-07,1e-06
qwen3_4b_base,E22_kmax,down,16,2,1.925426289517418e-07,1e-06
qwen3_4b_base,E22_k8,qkv,17,0,1.2608364841071307e-07,1e-06
qwen3_4b_base,E22_k8,qkv,17,1,1.285062154465777e-07,1e-06
qwen3_4b_base,E22_k8,qkv,17,2,1.2874320987066312e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,17,0,1.4990351360211207e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,17,1,1.4946211024380318e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,17,2,1.4792735214541608e-07,1e-06
qwen3_4b_base,E22_k8,down,17,0,1.4015455462867976e-07,1e-06
qwen3_4b_base,E22_k8,down,17,1,1.4003062176470848e-07,1e-06
qwen3_4b_base,E22_k8,down,17,2,1.401667475420254e-07,1e-06
qwen3_4b_base,E22_kmax,down,17,0,2.0738930572861136e-07,1e-06
qwen3_4b_base,E22_kmax,down,17,1,2.0589311588992132e-07,1e-06
qwen3_4b_base,E22_kmax,down,17,2,2.051465628483129e-07,1e-06
qwen3_4b_base,E22_k8,qkv,18,0,1.3669253462467168e-07,1e-06
qwen3_4b_base,E22_k8,qkv,18,1,1.3794027609037585e-07,1e-06
qwen3_4b_base,E22_k8,qkv,18,2,1.3700415024686663e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,18,0,1.5675043130158883e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,18,1,1.5891247073795967e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,18,2,1.5834173439088772e-07,1e-06
qwen3_4b_base,E22_k8,down,18,0,1.6126715252084978e-07,1e-06
qwen3_4b_base,E22_k8,down,18,1,1.6169146022093628e-07,1e-06
qwen3_4b_base,E22_k8,down,18,2,1.6248958445430617e-07,1e-06
qwen3_4b_base,E22_kmax,down,18,0,2.2044666536658042e-07,1e-06
qwen3_4b_base,E22_kmax,down,18,1,2.2320885761928366e-07,1e-06
qwen3_4b_base,E22_kmax,down,18,2,2.211098006910106e-07,1e-06
qwen3_4b_base,E22_k8,qkv,19,0,1.3184362046558817e-07,1e-06
qwen3_4b_base,E22_k8,qkv,19,1,1.3112462227127253e-07,1e-06
qwen3_4b_base,E22_k8,qkv,19,2,1.3020135725128057e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,19,0,1.608096908967127e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,19,1,1.591945419932017e-07,1e-06
qwen3_4b_base,E22_kmax,qkv,19,2,1.5990626422990317e-07,1e-06
qwen3_4b_base,E22_k8,down,19,0,1.3126624764936423e-07,1e-06
qwen3_4b_base,E22_k8,down,19,1,1.3169288592962403e-07,1e-06
qwen3_4b_base,E22_k8,down,19,2,1.3128193643296981e-07,1e-06
