model,row,site,layer,group,m,k,s_meas,s_meas_ci90_low,s_meas_ci90_high,s_hadamard,s_hadamard_ci90_low,s_hadamard_ci90_high,s_pred,s_pred_ci90_low,s_pred_ci90_high,relative_error,relative_error_ci90_low,relative_error_ci90_high,f_calibration,f_calibration_ci90_low,f_calibration_ci90_high,f_test_capture,f_test_capture_ci90_low,f_test_capture_ci90_high,seeds,observations_per_seed
llama31_8b,E11_g128_k16,down,27,128,1,16,0.027308991654884648,0.027307034061182046,0.02731094924858725,0.03640633781961842,0.036398944313886086,0.03641373132535075,0.030568866024985975,0.030562658010125858,0.030575074039846092,0.11936999919154112,0.11921235289662839,0.11952764548645385,0.2949747555907939,0.2949747555907939,0.2949747555907939,0.2876276609316199,0.2876276608443552,0.2876276610188846,3,131072
llama31_8b,E11_g128_k16,down,28,128,1,16,0.03075160752307003,0.030749051829868198,0.03075416321627186,0.04018974237751339,0.040160427066043454,0.040219057688983324,0.03487816100811612,0.034852720084811675,0.03490360193142056,0.13418983209371357,0.13345583963616425,0.1349238245512629,0.24685826976769273,0.24685826976769268,0.2468582697676928,0.23559162753586535,0.23559162748520682,0.23559162758652388,3,131072
llama31_8b,E11_g128_k16,down,29,128,1,16,0.035182092422622796,0.035178666197558384,0.03518551864768721,0.04864318147948939,0.04861027254299028,0.048676090415988506,0.03975372570918415,0.03972683082288815,0.039780620595480154,0.12994206843483538,0.12908787248490275,0.13079626438476802,0.33209955966561855,0.33209955966561855,0.33209955966561855,0.3242029892890442,0.3242029892355432,0.32420298934254516,3,131072
llama31_8b,E11_g128_k16,down,3,128,1,16,0.005431508812182805,0.005430839003143773,0.005432178621221837,0.006397210162845477,0.006395961135502324,0.00639845919018863,0.006036658681952387,0.006035480050711095,0.006037837313193679,0.111414693974952,0.1111552320934363,0.11167415585646771,0.10954494172935116,0.10954494172935116,0.10954494172935116,0.10714244153069609,0.10714244151439149,0.10714244154700069,3,131072
llama31_8b,E11_g128_k16,down,30,128,1,16,0.04681538585460734,0.04680984464880265,0.04682092706041203,0.07233202426378234,0.07225470611533556,0.07240934241222911,0.054046662137768986,0.05398888983167423,0.054104434443863744,0.15446366316285906,0.15326249325310995,0.15566483307260817,0.44168857320671595,0.44168857320671595,0.44168857320671595,0.43286718115069905,0.43286718085112796,0.43286718145027014,3,131072
llama31_8b,E11_g128_k16,down,31,128,1,16,0.09660624352145898,0.09659108518172015,0.09662140186119782,0.17076551473886417,0.17064629598064004,0.1708847334970883,0.11642066144497547,0.11633938316867755,0.11650193972127339,0.2051049174905671,0.2044524499841581,0.20575738499697613,0.5352067828135469,0.5352067828135469,0.5352067828135469,0.5303504147261195,0.5303504103255873,0.5303504191266518,3,131072
llama31_8b,E11_g128_k16,down,4,128,1,16,0.007450943797793868,0.007450643117902425,0.0074512444776853115,0.00866502867520785,0.008663274176268975,0.008666783174146724,0.008189351152734826,0.008187692969196594,0.008191009336273057,0.09910252519846725,0.09891370592734211,0.0992913444695924,0.10677888909714373,0.10677888909714373,0.10677888909714373,0.10119500255621657,0.10119500252518994,0.10119500258724319,3,131072
llama31_8b,E11_g128_k16,down,5,128,1,16,0.009076616424554632,0.009076056365567126,0.009077176483542138,0.010508296436108145,0.010507706558012682,0.010508886314203608,0.009896992565841834,0.009896437002990992,0.009897548128692675,0.09038347726459946,0.09027169410135688,0.09049526042784203,0.11296275203736696,0.11296275203736696,0.11296275203736696,0.10918199111363279,0.10918199108201064,0.10918199114525494,3,131072
llama31_8b,E11_g128_k16,down,6,128,1,16,0.010355657202744272,0.01035530657583856,0.010356007829649983,0.011783733976600716,0.011780425025043336,0.011787042928158097,0.011051921147330347,0.01104881769372514,0.011055024600935553,0.06723512784557033,0.06695066721912336,0.06751958847201729,0.12035042689775899,0.12035042689775899,0.12035042689775899,0.11852510392312558,0.11852510387227855,0.11852510397397262,3,131072
llama31_8b,E11_g128_k16,down,7,128,1,16,0.010951865412239614,0.010951582892590695,0.010952147931888532,0.012220077679305828,0.01221936577146774,0.012220789587143916,0.011510738527709419,0.011510067944003234,0.011511409111415604,0.05102994723017331,0.050986827724042644,0.051073066736303976,0.11272459243290738,0.11272459243290738,0.11272459243290738,0.11035176996230904,0.11035176992968034,0.11035176999493775,3,131072
llama31_8b,E11_g128_k16,down,8,128,1,16,0.011531209564020338,0.011530401433812523,0.011532017694228153,0.012750669930868937,0.012748917862314734,0.01275242199942314,0.012100734758714001,0.01209907199770078,0.012102397519727222,0.04938989483856249,0.04918737236465831,0.04959241731246666,0.0993470497280549,0.0993470497280549,0.0993470497280549,0.0940296954000621,0.09402969536734279,0.09402969543278142,3,131072
llama31_8b,E11_g128_k16,down,9,128,1,16,0.012122743508187017,0.01212183202670772,0.012123654989666314,0.013569094024631018,0.013567949193105238,0.013570238856156798,0.012685356398913182,0.012684286128790882,0.012686426669035482,0.046409702832724,0.046248782634265934,0.04657062303118206,0.12601567609775965,0.12601567609775965,0.12601567609775965,0.12003413988580107,0.1200341398230423,0.12003413994855984,3,131072
llama31_8b,E11_g128_k16,qkv,0,128,1,16,0.02419619671876418,0.024164483414269845,0.024227910023258515,0.045072339942275,0.04488121090075041,0.045263468983799585,0.030290982437277954,0.03016253367141646,0.03041943120313945,0.2518922040878402,0.24507410519844441,0.25871030297723596,0.5483453269588338,0.5483453269588338,0.5483453269588338,0.541096697358264,0.5410966866667367,0.5410967080497914,3,131072
llama31_8b,E11_g128_k16,qkv,1,128,1,16,0.040197667687587924,0.04018045705317242,0.040214878322003426,0.07761663525672861,0.07734865285095739,0.07788461766249984,0.04629448257090766,0.04613464432525,0.046454320816565316,0.15167100985387458,0.14754526352055758,0.15579675618719158,0.6442467754798908,0.6442467754798908,0.6442467754798908,0.6425464929459178,0.6425464928938573,0.6425464929979783,3,131072
llama31_8b,E11_g128_k16,qkv,10,128,1,16,0.12924048479298586,0.12921499917174414,0.12926597041422758,0.16639437597573745,0.16623819878244703,0.16655055316902787,0.13029480261549262,0.13017250835852937,0.13041709687245587,0.008157777169919224,0.007337309362965191,0.008978244976873257,0.3868356480787741,0.38683564807877396,0.3868356480787742,0.3801522461069675,0.3801522460218135,0.3801522461921215,3,131072
llama31_8b,E11_g128_k16,qkv,11,128,1,16,0.1278441284798776,0.12781032789608637,0.12787792906366885,0.1652630749258043,0.1651752060087921,0.1653509438428165,0.12810117111343955,0.12803306085239796,0.12816928137448114,0.0020106220786733717,0.0013370137515302063,0.002684230405816537,0.3991659425497482,0.3991659425497482,0.3991659425497482,0.3911446199426492,0.3911446198556162,0.3911446200296822,3,131072
llama31_8b,E11_g128_k16,qkv,12,128,1,16,0.11663184723478508,0.11661576157117398,0.11664793289839617,0.14846961928353272,0.14841218804020304,0.1485270505268624,0.1165537715655467,0.11650868605884118,0.1165988570722522,-0.0006694232430050788,-0.000987523891097301,-0.00035132259491285666,0.38372085256868854,0.38372085256868843,0.38372085256868865,0.3764910999873647,0.3764910998682667,0.3764911001064627,3,131072
llama31_8b,E11_g128_k16,qkv,13,128,1,16,0.13561889234825367,0.13560361392275735,0.13563417077374998,0.172210079668733,0.1721659620548785,0.1722541972825875,0.1361177616916799,0.13608289038298182,0.136152633000378,0.003678474722458206,0.0033085127049613597,0.004048436739955052,0.3752410840684656,0.3752410840684656,0.3752410840684656,0.36689558932977634,0.3668955892840393,0.36689558937551336,3,131072
llama31_8b,E11_g128_k16,qkv,14,128,1,16,0.1366012760858153,0.1365822010344927,0.13662035113713789,0.17694962711629061,0.17687073550250026,0.17702851873008096,0.1379475722080384,0.1378860693568185,0.13800907505925833,0.009855680206672485,0.009279257257099102,0.010432103156245869,0.3922446094485162,0.3922446094485161,0.3922446094485163,0.38622988573267897,0.3862298856553772,0.38622988580998074,3,131072
llama31_8b,E11_g128_k16,qkv,15,128,1,16,0.13498556128202832,0.13495839457658687,0.13501272798746977,0.16752408779366532,0.16735681896630772,0.1676913566210229,0.1359233079235823,0.13578759172523505,0.13605902412192952,0.0069470618922745295,0.005773541989295529,0.00812058179525353,0.3416856120957794,0.3416856120957794,0.3416856120957794,0.33530431518584325,0.33530431514494025,0.33530431522674625,3,131072
llama31_8b,E11_g128_k16,qkv,16,128,1,16,0.1345783499437001,0.13454695507355183,0.13460974481384838,0.1721334623434565,0.17189737728961346,0.17236954739729954,0.13689381141513635,0.136706058363529,0.1370815644667437,0.017205241453400976,0.016045655847335086,0.018364827059466866,0.3675342356252654,0.3675342356252654,0.3675342356252654,0.36263866067693323,0.3626386606477999,0.36263866070606654,3,131072
llama31_8b,E11_g128_k16,qkv,17,128,1,16,0.1373909309147686,0.13737537563904126,0.13740648619049592,0.16926074867437002,0.16924109594665473,0.1692804014020853,0.13876584144325113,0.13874972945438527,0.138781953432117,0.010007287756196852,0.009944415135180589,0.010070160377213115,0.32787100333608016,0.32787100333608016,0.32787100333608016,0.32011671377931666,0.32011671362687727,0.32011671393175606,3,131072
llama31_8b,E11_g128_k16,qkv,18,128,1,16,0.14185899143509406,0.1418087462234191,0.14190923664676902,0.17317910626824803,0.1731049534903423,0.17325325904615377,0.14323032851338544,0.14316899936711322,0.14329165765965765,0.009666960569935832,0.008920925251209171,0.010412995888662492,0.31596395391927024,0.31596395391927024,0.31596395391927024,0.3082519290291806,0.30825192893416836,0.3082519291241928,3,131072
llama31_8b,E11_g128_k16,qkv,19,128,1,16,0.14363779742738547,0.14361769772934488,0.14365789712542607,0.17370090311333009,0.17362083303876447,0.1737809731878957,0.14486747967192737,0.1448007008026667,0.14493425854118805,0.008560983458141528,0.008228987979582193,0.008892978936700862,0.3044351032936624,0.3044351032936624,0.3044351032936624,0.29618532197316516,0.2961853219247552,0.2961853220215751,3,131072
