model,row,benchmark,headline_metric,value,tech_report_16bit,bf16_minus_report,flag_pipeline_difference,effective_bits,gptq_protocol,git_commit,elapsed_seconds,artifact
qwen3_1.7b_base,hadamard_asym_g128,arc_easy,"arc_easy:acc_norm,none",69.10774410774411,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,5cf6c5a7fd1809708e643ecb6ce5e673601ceee6,222.45385360717773,results/qwen3_1.7b_base/e22_hadamard_asym_g128_arc_easy.json
qwen3_1.7b_base,hadamard_asym_g128,c4,ppl,17.940045083448265,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,291.5706880092621,results/qwen3_1.7b_base/e22_hadamard_asym_g128_c4.json
qwen3_1.7b_base,hadamard_asym_g128,gsm8k,"gsm8k_cot:exact_match,flexible-extract",58.07429871114481,75.44,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,618ac3a93e962caf441c572836c82d9db4f1c2cf,22972.656322717667,results/qwen3_1.7b_base/e22_hadamard_asym_g128_gsm8k.json
qwen3_1.7b_base,hadamard_asym_g128,mmlu,"mmlu:acc,none",55.81113801452785,62.63,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,4970.694788694382,results/qwen3_1.7b_base/e22_hadamard_asym_g128_mmlu.json
qwen3_1.7b_base,hadamard_asym_g128,mmlu_redux,"mmlu_redux_e22:exact_match,default",59.66228893058161,61.66,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,362df267679e0b0716337e353587412ac94a8e3f,2284.584779024124,results/qwen3_1.7b_base/e22_hadamard_asym_g128_mmlu_redux.json
qwen3_1.7b_base,hadamard_asym_g128,wikitext,ppl,11.08610154550963,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,171.95279598236084,results/qwen3_1.7b_base/e22_hadamard_asym_g128_wikitext.json
qwen3_1.7b_base,nar_k8_asym_g128,arc_easy,"arc_easy:acc_norm,none",67.46632996632997,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,5cf6c5a7fd1809708e643ecb6ce5e673601ceee6,196.48504900932312,results/qwen3_1.7b_base/e22_nar_k8_asym_g128_arc_easy.json
qwen3_1.7b_base,nar_k8_asym_g128,c4,ppl,16.526029444936842,,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,aeb895f05c38066c5a491483ea37bb2d18cd6d0c,273.3681435585022,results/qwen3_1.7b_base/e22_nar_k8_asym_g128_c4.json
qwen3_1.7b_base,nar_k8_asym_g128,gsm8k,"gsm8k_cot:exact_match,flexible-extract",62.4715693707354,75.44,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,6d6d46f03b46394361891501d647d5d3388d40ae,8183.601074934006,results/qwen3_1.7b_base/e22_nar_k8_asym_g128_gsm8k.json
qwen3_1.7b_base,nar_k8_asym_g128,mmlu,"mmlu:acc,none",58.196838057256805,62.63,,,"{""activation"": 4.25, ""context"": 2048, ""key"": 5.171875, ""key_definition"": ""KIVI per-channel K, token group 32, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""value"": 4.43359375, ""value_definition"": ""per-token V, group head_dim=128, fp16 scale+zero, newest 32 tokens bf16, at context 2048"", ""weight"": 4.15625}",g128_asym,050e02ca67b723b0aad713047950b2adafc464c6,4823.553329944611,results/qwen3_1.7b_base/e22_nar_k8_asym_g128_mmlu.json
