model,layer,b,bits,method,axis,mean_group_range,relative_quantization_error_nmse,range_sum,group_count,error_sum,energy_sum,sequences,sequence_length
llama32_3b,10,64,4,identity_per_token,channels,12.180296569131315,0.015956273159230958,51087866.62109375,4194304,15534105.296979561,973542201.3625302,128,2048
llama32_3b,10,64,4,hadamard_per_token,channels,8.675715456119121,0.007738009662692437,36388588.040462255,4194304,7533278.733276646,973542171.9098041,128,2048
llama32_3b,10,64,4,nar_per_token,channels,7.811514995662492,0.006300251900130948,32763868.592367172,4194304,6133561.102738482,973542201.1635755,128,2048
llama32_3b,10,64,4,kivi_per_channel,tokens,5.017454984847745,0.0028421851045389883,21044731.512766838,4194304,2766987.14335268,973542201.3625302,128,2048
llama32_3b,11,32,4,bf16,channels,10.332488014479168,0.0,86675191.61816406,8388608,0.0,1165262526.2398915,128,2048
llama32_3b,11,32,4,identity_per_token,channels,10.332488014479168,0.010230701643843897,86675191.61816406,8388608,11921453.24271215,1165262526.2398915,128,2048
llama32_3b,11,32,4,hadamard_per_token,channels,8.35512424483477,0.005756933445447937,70087862.0812149,8388608,6708338.601168137,1165262489.9585187,128,2048
llama32_3b,11,32,4,nar_per_token,channels,6.708584368982486,0.0037903587471243318,56275684.50632143,8388608,4416763.015322145,1165262527.9000447,128,2048
llama32_3b,11,32,4,kivi_per_channel,tokens,4.011350575885928,0.0014266611918334166,33649647.5316813,8388608,1662434.8244842216,1165262526.2398915,128,2048
llama32_3b,11,64,4,bf16,channels,14.231567876413465,0.0,59691522.0703125,4194304,0.0,1165262526.2398915,128,2048
llama32_3b,11,64,4,identity_per_token,channels,14.231567876413465,0.01856806038907523,59691522.0703125,4194304,21636664.95634867,1165262526.2398915,128,2048
llama32_3b,11,64,4,hadamard_per_token,channels,9.306184007308673,0.007332836917740841,39032964.806590796,4194304,8544679.805105839,1165262489.9420717,128,2048
llama32_3b,11,64,4,nar_per_token,channels,8.287890296455828,0.005910924624285118,34761931.421985865,4194304,6887778.975865341,1165262528.9056814,128,2048
llama32_3b,11,64,4,kivi_per_channel,tokens,4.755086822420935,0.002058571527356952,19944279.67962742,4194304,2398776.2584134736,1165262526.2398915,128,2048
llama32_3b,12,32,4,bf16,channels,8.60046043584589,0.0,72145891.21582031,8388608,0.0,1017332603.1661826,128,2048
llama32_3b,12,32,4,identity_per_token,channels,8.60046043584589,0.008205238946542117,72145891.21582031,8388608,8347457.097086239,1017332603.1661826,128,2048
llama32_3b,12,32,4,hadamard_per_token,channels,7.993140008563074,0.006069209169324466,67051318.22095227,8388608,6174404.179350242,1017332572.8428445,128,2048
llama32_3b,12,32,4,nar_per_token,channels,6.581855850122395,0.004158039691778116,55212608.63918352,8388608,4230109.352220122,1017332605.2140658,128,2048
llama32_3b,12,32,4,kivi_per_channel,tokens,4.249305742710192,0.0019013972363813873,35645760.147744656,8388608,1934353.400140862,1017332603.1661825,128,2048
llama32_3b,12,64,4,bf16,channels,11.721413171850145,0.0,49163170.15234375,4194304,0.0,1017332603.1661826,128,2048
llama32_3b,12,64,4,identity_per_token,channels,11.721413171850145,0.013963803413235555,49163170.15234375,4194304,14205832.476487754,1017332603.1661826,128,2048
llama32_3b,12,64,4,hadamard_per_token,channels,9.037144080949815,0.007966305253206364,37904529.567304134,4194304,8104381.81892756,1017332572.7966076,128,2048
llama32_3b,12,64,4,nar_per_token,channels,7.944491586888034,0.0062207185401249665,33321612.84085083,4194304,6328539.786595562,1017332603.2636142,128,2048
llama32_3b,12,64,4,kivi_per_channel,tokens,5.049149283167367,0.0027386189616535944,21177667.03498602,4194304,2786086.357339319,1017332603.1661825,128,2048
llama32_3b,13,32,4,bf16,channels,9.303326761582866,0.0,78041961.29882812,8388608,0.0,1138842220.3354306,128,2048
llama32_3b,13,32,4,identity_per_token,channels,9.303326761582866,0.008467470692116086,78041961.29882812,8388608,9643113.12363467,1138842220.3354306,128,2048
llama32_3b,13,32,4,hadamard_per_token,channels,8.390098472513358,0.005979092934792268,70381247.16731334,8388608,6809243.26918647,1138842186.1723485,128,2048
llama32_3b,13,32,4,nar_per_token,channels,6.7504303933221195,0.003909992103331597,56626714.40086508,8388608,4452864.101190205,1138842223.59325,128,2048
llama32_3b,13,32,4,kivi_per_channel,tokens,4.4161561568324,0.0018895349055351122,37045402.86645353,8388608,2151882.127220906,1138842220.3354309,128,2048
llama32_3b,13,64,4,bf16,channels,12.859006881713867,0.0,53934584.0,4194304,0.0,1138842220.3354306,128,2048
llama32_3b,13,64,4,identity_per_token,channels,12.859006881713867,0.014936532357881177,53934584.0,4194304,17010353.674561404,1138842220.3354306,128,2048
llama32_3b,13,64,4,hadamard_per_token,channels,9.39111651091656,0.007679506580511441,39389197.546203375,4194304,8745746.061974475,1138842186.055139,128,2048
llama32_3b,13,64,4,nar_per_token,channels,8.223393795313825,0.005925968064949016,34491413.48925996,4194304,6748742.623082698,1138842219.3835702,128,2048
llama32_3b,13,64,4,kivi_per_channel,tokens,5.224675014497507,0.0026868897049595972,21913875.31200695,4194304,3059943.4373925985,1138842220.3354309,128,2048
llama32_3b,14,32,4,bf16,channels,9.141801351681352,0.0,76686987.953125,8388608,0.0,1075673866.282806,128,2048
llama32_3b,14,32,4,identity_per_token,channels,9.141801351681352,0.008893079347527292,76686987.953125,8388608,9566053.044914454,1075673866.282806,128,2048
llama32_3b,14,32,4,hadamard_per_token,channels,8.18621310765434,0.006048431283006022,68670932.76457405,8388608,6506139.267344297,1075673833.9119887,128,2048
llama32_3b,14,32,4,nar_per_token,channels,6.452161740400413,0.0037968870377023977,54124655.59281683,8388608,4084212.1517366683,1075673864.1895807,128,2048
