experiment,model,row,seed,site,layer,round_trip,anchor_residual
32,llama32_3b,S3,2,qkv,19,1.1488942419646264e-07,9.797644651143855e-08
32,llama32_3b,S3,2,qkv,20,1.1542957167876011e-07,9.34990254108925e-08
32,llama32_3b,S3,2,qkv,21,1.1639245656169805e-07,9.182004134800081e-08
32,llama32_3b,S3,2,qkv,22,1.1583039594142974e-07,9.394653233130157e-08
32,llama32_3b,S3,2,qkv,23,1.1613710881874795e-07,9.434466363700267e-08
32,llama32_3b,S3,2,qkv,24,1.1686946521649588e-07,9.266207001701332e-08
32,llama32_3b,S3,2,qkv,25,1.1598294946679744e-07,9.032905978756389e-08
32,llama32_3b,S3,2,qkv,26,1.1591573212399453e-07,9.28597572169565e-08
32,llama32_3b,S3,2,qkv,27,1.1625164120232512e-07,9.297570358057783e-08
32,llama32_3b,S3,2,down,0,1.1657834164680025e-07,1.085748024820532e-07
32,llama32_3b,S3,2,down,1,1.1591080095740836e-07,1.0138953143723484e-07
32,llama32_3b,S3,2,down,2,1.1653286691171161e-07,9.347137819304407e-08
32,llama32_3b,S3,2,down,3,1.1599767901770974e-07,9.208419982087435e-08
32,llama32_3b,S3,2,down,4,1.1680798195357056e-07,9.400583422802811e-08
32,llama32_3b,S3,2,down,5,1.1666719501590705e-07,9.265205846986646e-08
32,llama32_3b,S3,2,down,6,1.1725069271051325e-07,9.254635813249479e-08
32,llama32_3b,S3,2,down,7,1.1696101864799857e-07,9.214053164896541e-08
32,llama32_3b,S3,2,down,8,1.170144230400183e-07,9.194400263368152e-08
32,llama32_3b,S3,2,down,9,1.1719809123178493e-07,9.193227157311412e-08
32,llama32_3b,S3,2,down,10,1.1691464862906287e-07,9.208675777472308e-08
32,llama32_3b,S3,2,down,11,1.163695557693245e-07,9.192196159801824e-08
32,llama32_3b,S3,2,down,12,1.1725386173111474e-07,9.25326304468399e-08
32,llama32_3b,S3,2,down,13,1.1665979116060043e-07,9.276806878233401e-08
32,llama32_3b,S3,2,down,14,1.1597919780115262e-07,9.324742222815985e-08
32,llama32_3b,S3,2,down,15,1.1661803966944717e-07,9.484612917276536e-08
32,llama32_3b,S3,2,down,16,1.170072678746692e-07,9.183014526570332e-08
32,llama32_3b,S3,2,down,17,1.1724655024636377e-07,9.604998041368162e-08
32,llama32_3b,S3,2,down,18,1.1678937994474836e-07,9.472704221025197e-08
32,llama32_3b,S3,2,down,19,1.1576092617815448e-07,9.276244838929415e-08
32,llama32_3b,S3,2,down,20,1.1697975565994057e-07,9.298505432298043e-08
32,llama32_3b,S3,2,down,21,1.1718223902335012e-07,9.267479583741078e-08
32,llama32_3b,S3,2,down,22,1.170909413872323e-07,9.337374251572328e-08
32,llama32_3b,S3,2,down,23,1.1677014555289134e-07,9.449274074313507e-08
32,llama32_3b,S3,2,down,24,1.1683612655133402e-07,9.393162514470532e-08
32,llama32_3b,S3,2,down,25,1.1599443183740732e-07,9.357111707686272e-08
