model,layer,rank,eigenvalue,fraction_total,cumulative_fraction
llama32_3b,1,35,2.9418069198409067,0.006080762123923163,0.777426400527887
llama32_3b,1,36,2.9328601065700406,0.006062268917281907,0.7834886694451689
llama32_3b,1,37,2.920517820258346,0.0060367572133625935,0.7895254266585316
llama32_3b,1,38,2.8296399878732856,0.005848911275091024,0.7953743379336227
llama32_3b,1,39,2.8205826849653777,0.00583018968459647,0.8012045276182193
llama32_3b,1,40,2.7932996625287854,0.00577379523928476,0.8069783228575037
llama32_3b,1,41,2.687355398950952,0.005554806745897893,0.8125331296034017
llama32_3b,1,42,2.6656051656531377,0.005509848664545975,0.8180429782679477
llama32_3b,1,43,2.6609546088518274,0.0055002358889889415,0.8235432141569367
llama32_3b,1,44,2.6500066586428943,0.0054776063001753155,0.8290208204571119
llama32_3b,1,45,2.4492901919364307,0.005062722141679165,0.834083542598791
llama32_3b,1,46,2.307120131771373,0.0047688543452656905,0.8388523969440568
llama32_3b,1,47,2.2670915059940313,0.00468611453326174,0.8435385114773185
llama32_3b,1,48,2.259040719755356,0.00466947342887866,0.8482079849061972
llama32_3b,1,49,2.254316710427231,0.0046597088257696725,0.8528676937319668
llama32_3b,1,50,2.1560786157923273,0.00445664910728393,0.8573243428392507
llama32_3b,1,51,2.0674476908502983,0.004273447562763493,0.8615977904020143
llama32_3b,1,52,2.0546331079975424,0.0042469596143127055,0.865844750016327
llama32_3b,1,53,2.0457350350167784,0.004228567154633448,0.8700733171709603
llama32_3b,1,54,1.9986709794863224,0.004131284996400138,0.8742046021673606
llama32_3b,1,55,1.9867384320140118,0.004106620229238782,0.8783112223965994
llama32_3b,1,56,1.9617604834569469,0.004054990408636104,0.8823662128052356
llama32_3b,1,57,1.918025128380207,0.003964588727671484,0.8863308015329069
llama32_3b,1,58,1.8845452216911998,0.003895385223140327,0.8902261867560474
llama32_3b,1,59,1.838341025646451,0.003799880408266065,0.8940260671643133
llama32_3b,1,60,1.8293974664004338,0.0037813939277464037,0.8978074610920597
llama32_3b,1,61,1.778222725434175,0.003675614916734343,0.9014830760087942
llama32_3b,1,62,1.7325531104792158,0.003581215089553541,0.9050642910983477
llama32_3b,1,63,1.631254101500093,0.0033718284119858256,0.9084361195103335
llama32_3b,1,64,1.6141744637241264,0.003336524526547946,0.9117726440368814
llama32_3b,1,65,1.5386833162667006,0.003180483113002206,0.9149531271498836
llama32_3b,1,66,1.5086809418575946,0.0031184677235134494,0.9180715948733971
llama32_3b,1,67,1.4745585351361206,0.003047936161102052,0.9211195310344991
llama32_3b,1,68,1.4467250718717657,0.002990403945763919,0.924109934980263
llama32_3b,1,69,1.3947948142280786,0.002883063269652388,0.9269929982499155
llama32_3b,1,70,1.3431566608950825,0.002776326377839787,0.9297693246277552
llama32_3b,1,71,1.3009522007351075,0.002689089081241383,0.9324584137089967
llama32_3b,1,72,1.2143151306116489,0.0025100088666354247,0.934968422575632
llama32_3b,1,73,1.1863530819373835,0.0024522108631910094,0.9374206334388229
llama32_3b,1,74,1.1423591074512334,0.002361274611755891,0.9397819080505789
llama32_3b,1,75,1.0651153192912717,0.0022016104617453795,0.9419835185123242
llama32_3b,1,76,1.0482934256052687,0.002166839337478651,0.9441503578498028
llama32_3b,1,77,1.0283628183533746,0.002125642452371501,0.9462760003021744
llama32_3b,1,78,0.9908854893649952,0.0020481762117826492,0.9483241765139571
llama32_3b,1,79,0.9341630070188325,0.001930929930288383,0.9502551064442454
llama32_3b,1,80,0.9216407306475392,0.0019050461840267566,0.9521601526282721
llama32_3b,1,81,0.9007918708324685,0.0018619512561321274,0.9540221038844043
llama32_3b,1,82,0.8694923951645218,0.0017972547375208388,0.9558193586219251
llama32_3b,1,83,0.8417558591120474,0.0017399228722854967,0.9575592814942107
llama32_3b,1,84,0.8401133088589335,0.0017365276945468043,0.9592958091887576
llama32_3b,1,85,0.7735298516617696,0.0015988986197514165,0.960894707808509
llama32_3b,1,86,0.7629133074552369,0.0015769540524643386,0.9624716618609733
llama32_3b,1,87,0.7519619414525018,0.001554317403150096,0.9640259792641235
llama32_3b,1,88,0.7314027605305176,0.0015118212461772765,0.9655378005103006
llama32_3b,1,89,0.7207054517954471,0.0014897097373133138,0.9670275102476138
llama32_3b,1,90,0.7123389952154742,0.0014724161372677682,0.9684999263848817
llama32_3b,1,91,0.6909496499488292,0.0014282040172690963,0.9699281304021509
llama32_3b,1,92,0.6545140980109861,0.0013528911465658575,0.9712810215487166
llama32_3b,1,93,0.6442184490534333,0.0013316098749092927,0.972612631423626
llama32_3b,1,94,0.6263068613260769,0.0012945863355677896,0.9739072177591938
llama32_3b,1,95,0.6079847675649624,0.0012567142736652434,0.975163932032859
llama32_3b,1,96,0.5753744645781345,0.001189308253944994,0.976353240286804
llama32_3b,1,97,0.5662406812118379,0.0011704285771153198,0.9775236688639193
llama32_3b,1,98,0.5555770507969547,0.0011483866818797742,0.9786720555457991
llama32_3b,1,99,0.5447496950009423,0.0011260063636533853,0.9797980619094524
llama32_3b,1,100,0.525774215673476,0.0010867837432973274,0.9808848456527498
llama32_3b,1,101,0.512955681137418,0.0010602876266537246,0.9819451332794036
llama32_3b,1,102,0.5104717972160151,0.0010551533987179546,0.9830002866781216
llama32_3b,1,103,0.4857979527139349,0.0010041521660782771,0.9840044388441999
llama32_3b,1,104,0.4833248090267255,0.0009990401383789828,0.9850034789825788
llama32_3b,1,105,0.4699936076571701,0.0009714843311614346,0.9859749633137401
llama32_3b,1,106,0.4569489555910312,0.0009445208259536139,0.9869194841396939
llama32_3b,1,107,0.4345584877699835,0.0008982393695654053,0.9878177235092593
llama32_3b,1,108,0.4261644420642638,0.0008808887423540924,0.9886986122516134
llama32_3b,1,109,0.41214304969879817,0.0008519062992693506,0.9895505185508827
llama32_3b,1,110,0.39765341301501533,0.0008219559876625918,0.9903724745385454
llama32_3b,1,111,0.37165037021623687,0.000768207280807923,0.9911406818193533
llama32_3b,1,112,0.3660776801636081,0.0007566884410187294,0.9918973702603718
llama32_3b,1,113,0.35285139665959836,0.0007293495007133603,0.9926267197610851
llama32_3b,1,114,0.34769446090244727,0.0007186900317264273,0.9933454097928116
