model,layer,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,14,64,identity,1.5495107173919678,0.009568055080219937,-0.08295032658294436,0.001558365363641151,65536
llama32_3b,14,64,hadamard,1.4308234453201294,0.008009689716578786,0.0,0.0,65536
llama32_3b,14,64,nar,1.4131405353546143,0.007804988195483914,0.012358554805172905,-0.00020470152109487195,65536
llama32_3b,14,128,bf16,1.784942626953125,0.0,-0.12763142773268965,-0.009917186218944392,65536
llama32_3b,14,128,identity,1.784942626953125,0.012758799089110697,-0.12763142773268965,0.0028416128701663056,65536
llama32_3b,14,128,hadamard,1.5829131603240967,0.009917186218944392,0.0,0.0,65536
llama32_3b,14,128,nar,1.5715121030807495,0.00975029523043017,0.007202579098535535,-0.00016689098851422127,65536
llama32_3b,15,32,bf16,1.2944161891937256,0.0,-0.03856691185416381,-0.0061316974843943035,65536
llama32_3b,15,32,identity,1.2944161891937256,0.00673634733542789,-0.03856691185416381,0.0006046498510335861,65536
llama32_3b,15,32,hadamard,1.2463483810424805,0.0061316974843943035,0.0,0.0,65536
llama32_3b,15,32,nar,1.2076468467712402,0.005767055230212561,0.03105193929715638,-0.0003646422541817426,65536
llama32_3b,15,64,bf16,1.5102795362472534,0.0,-0.07330490647891343,-0.007996022692387524,65536
llama32_3b,15,64,identity,1.5102795362472534,0.009361947087140351,-0.07330490647891343,0.001365924394752827,65536
llama32_3b,15,64,hadamard,1.4071300029754639,0.007996022692387524,0.0,0.0,65536
llama32_3b,15,64,nar,1.3829504251480103,0.007734326066342785,0.017183613295377393,-0.0002616966260447391,65536
llama32_3b,15,128,bf16,1.7395788431167603,0.0,-0.11604103472132252,-0.009934188681729328,65536
llama32_3b,15,128,identity,1.7395788431167603,0.012462477752785856,-0.11604103472132252,0.0025282890710565283,65536
llama32_3b,15,128,hadamard,1.5587050914764404,0.009934188681729328,0.0,0.0,65536
llama32_3b,15,128,nar,1.5427229404449463,0.009708895785213447,0.010253479711390106,-0.00022529289651588083,65536
llama32_3b,16,32,bf16,1.4207661151885986,0.0,-0.05556739897369967,-0.006052814913304709,65536
llama32_3b,16,32,identity,1.4207661151885986,0.007149285219945354,-0.05556739897369967,0.0010964703066406447,65536
llama32_3b,16,32,hadamard,1.3459738492965698,0.006052814913304709,0.0,0.0,65536
llama32_3b,16,32,nar,1.2682251930236816,0.005426530607006616,0.05776386837940502,-0.0006262843062980932,65536
llama32_3b,16,64,bf16,1.7051621675491333,0.0,-0.12224867803325053,-0.007901856294299469,65536
llama32_3b,16,64,identity,1.7051621675491333,0.010532753895554322,-0.12224867803325053,0.0026308976012548533,65536
llama32_3b,16,64,hadamard,1.5194156169891357,0.007901856294299469,0.0,0.0,65536
llama32_3b,16,64,nar,1.458695411682129,0.007325448420845294,0.039962867715766674,-0.0005764078734541746,65536
llama32_3b,16,128,bf16,2.0368549823760986,0.0,-0.21237560759350682,-0.009767070334417585,65536
llama32_3b,16,128,identity,2.0368549823760986,0.015232102059933054,-0.21237560759350682,0.005465031725515469,65536
llama32_3b,16,128,hadamard,1.6800527572631836,0.009767070334417585,0.0,0.0,65536
llama32_3b,16,128,nar,1.632004737854004,0.009252653709256717,0.02859911345132412,-0.0005144166251608677,65536
llama32_3b,17,32,bf16,1.4838817119598389,0.0,-0.04518606738991781,-0.006100786029070032,65536
llama32_3b,17,32,identity,1.4838817119598389,0.006920456311636823,-0.04518606738991781,0.0008196702825667909,65536
llama32_3b,17,32,hadamard,1.4197297096252441,0.006100786029070032,0.0,0.0,65536
llama32_3b,17,32,nar,1.3463640213012695,0.005491067962602164,0.05167581394302189,-0.0006097180664678681,65536
llama32_3b,17,64,bf16,1.7569483518600464,0.0,-0.09492941186871352,-0.007973278909852392,65536
llama32_3b,17,64,identity,1.7569483518600464,0.00993605358892508,-0.09492941186871352,0.001962774679072689,65536
llama32_3b,17,64,hadamard,1.604622483253479,0.007973278909852392,0.0,0.0,65536
llama32_3b,17,64,nar,1.5494781732559204,0.007430780477616976,0.034365908849631616,-0.0005424984322354156,65536
llama32_3b,17,128,bf16,2.0730175971984863,0.0,-0.16845559370284782,-0.0098582737620441,65536
llama32_3b,17,128,identity,2.0730175971984863,0.013982031313441038,-0.16845559370284782,0.004123757551396937,65536
llama32_3b,17,128,hadamard,1.7741518020629883,0.0098582737620441,0.0,0.0,65536
llama32_3b,17,128,nar,1.7305762767791748,0.009347925445742119,0.024561328536342686,-0.0005103483163019819,65536
llama32_3b,18,32,bf16,1.5300359725952148,0.0,-0.035608922737317174,-0.006129596240933961,65536
