model,site,layer,method,b,requested_k,realized_k,dc_slots,anchor_error,permutation_energy_rows
llama32_3b,down,19,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,19,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,19,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,19,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,20,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,20,nar_b256_kmax,256,kmax,32,32,1.7881393432617188e-07,8192
llama32_3b,down,20,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,20,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,20,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,21,nar_b64_kmax,64,kmax,128,128,2.980232238769531e-07,8192
llama32_3b,down,21,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,21,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,21,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,21,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,22,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,22,nar_b256_kmax,256,kmax,32,32,3.5762786865234375e-07,8192
llama32_3b,down,22,nar_b128_k8,128,8,8,64,2.980232238769531e-07,8192
llama32_3b,down,22,nar_b128_k16,128,16,16,64,2.980232238769531e-07,8192
llama32_3b,down,22,nar_b128_k32,128,32,32,64,2.980232238769531e-07,8192
llama32_3b,down,23,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,23,nar_b256_kmax,256,kmax,32,32,7.748603820800781e-07,8192
llama32_3b,down,23,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,23,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,23,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,24,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,24,nar_b256_kmax,256,kmax,32,32,3.5762786865234375e-07,8192
llama32_3b,down,24,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,24,nar_b128_k16,128,16,16,64,1.1920928955078125e-07,8192
llama32_3b,down,24,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,25,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,25,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,25,nar_b128_k8,128,8,8,64,2.384185791015625e-07,8192
llama32_3b,down,25,nar_b128_k16,128,16,16,64,2.384185791015625e-07,8192
llama32_3b,down,25,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
llama32_3b,down,26,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,26,nar_b256_kmax,256,kmax,32,32,3.5762786865234375e-07,8192
llama32_3b,down,26,nar_b128_k8,128,8,8,64,1.1920928955078125e-07,8192
llama32_3b,down,26,nar_b128_k16,128,16,16,64,1.1920928955078125e-07,8192
llama32_3b,down,26,nar_b128_k32,128,32,32,64,1.1920928955078125e-07,8192
llama32_3b,down,27,nar_b64_kmax,64,kmax,128,128,3.5762786865234375e-07,8192
llama32_3b,down,27,nar_b256_kmax,256,kmax,32,32,2.384185791015625e-07,8192
llama32_3b,down,27,nar_b128_k8,128,8,8,64,1.7881393432617188e-07,8192
llama32_3b,down,27,nar_b128_k16,128,16,16,64,1.7881393432617188e-07,8192
llama32_3b,down,27,nar_b128_k32,128,32,32,64,2.384185791015625e-07,8192
