model,method,seed,sequence,nll,tokens_scored,alpha,smoothing_sites,weight_fold_max_relative_error
llama32_3b,smoothquant_a050_qkv_only,20260902,23,2.2568745613098145,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,24,2.2925102710723877,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,25,2.3510406017303467,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,26,2.432072877883911,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,27,2.239410161972046,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,28,2.0052309036254883,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,29,1.809237003326416,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,30,1.7106021642684937,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,31,1.735456109046936,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,32,2.0233163833618164,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,33,1.992085576057434,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,34,2.1624271869659424,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,35,1.4773885011672974,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,36,1.4535270929336548,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,37,1.5000462532043457,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,38,1.477574110031128,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,39,1.6839649677276611,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,40,2.2804853916168213,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,41,2.6938235759735107,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,42,2.695605993270874,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,43,2.326728105545044,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,44,2.310499668121338,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,45,2.2852683067321777,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,46,2.378730297088623,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,47,2.1575088500976562,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,48,2.046762704849243,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,49,2.038398504257202,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,50,1.7683805227279663,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,51,1.853197693824768,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,52,1.6847525835037231,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,53,1.9017744064331055,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,54,1.6390267610549927,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,55,1.6106775999069214,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,56,1.8496403694152832,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,57,1.816340684890747,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,58,2.1833858489990234,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,59,2.364603042602539,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,60,2.362640142440796,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,61,2.471046209335327,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,62,1.515273928642273,2047,0.5,qkv,0.004569633863866329
llama32_3b,smoothquant_a050_qkv_only,20260902,63,1.9102567434310913,2047,0.5,qkv,0.004569633863866329
