model,layer,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,orthogonality_max_abs_error
llama32_3b,11,64,1,2,1.41898775100708,0.007857553953270225,0.0057350522786851175,-9.582321396667086e-05,0.022099704295845835,0.9888884141823859,1.1102230246251565e-15
llama32_3b,11,64,2,2,1.4093291759490967,0.007758979902549904,0.012502681258056304,-0.00019439726468699174,0.04171144871432935,0.9789221374990305,8.881784197001252e-16
llama32_3b,11,128,0,1,1.587347388267517,0.009927547808678642,-0.005108181922623268,8.219985096897912e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,11,128,1,1,1.5718281269073486,0.009737118373968777,0.004718612568484119,-0.00010822958374088511,0.022099704295845835,0.9888884141823859,7.992211021010332e-16
llama32_3b,12,32,0,4,1.2980409860610962,0.006150464406061421,-0.007140041374225112,9.33249790928195e-05,0.0,1.0,9.992007221626409e-16
llama32_3b,12,32,1,4,1.2878504991531372,0.0060460400508208344,0.0007666792272938915,-1.1099376147767105e-05,0.02033392189638307,0.9897808232652403,1.1102230246251565e-15
llama32_3b,12,32,2,4,1.2793357372283936,0.005960713688032408,0.007373217671970063,-9.64257389361933e-05,0.038724850662089805,0.9804464030929534,9.992007221626409e-16
llama32_3b,12,32,3,4,1.271011471748352,0.0058826699743210935,0.013831951386857885,-0.00017446945264750803,0.05577976235420084,0.971709955514401,1.1102230246251565e-15
llama32_3b,12,32,4,4,1.2634251117706299,0.005814289586224836,0.019718149884355284,-0.00024284984074376525,0.0719718458058012,0.9633421791835955,1.0249417811747605e-15
llama32_3b,12,64,0,2,1.4663033485412598,0.00801966839505005,-0.0031524459715257156,4.331626323572993e-05,0.0,1.0,1.3322676295501878e-15
llama32_3b,12,64,1,2,1.4558669328689575,0.007901468276994887,0.0039874926498113215,-7.488385481943353e-05,0.02033392189638307,0.9897808232652403,1.3322676295501878e-15
llama32_3b,12,64,2,2,1.4451996088027954,0.00778530547653682,0.011285404258338438,-0.00019104665527750093,0.038724850662089805,0.9804464030929534,8.881784197001252e-16
llama32_3b,12,128,0,1,1.622560977935791,0.009917706279646579,-0.004142642407252003,6.869615127750445e-05,0.0,1.0,8.881784197001252e-16
llama32_3b,12,128,1,1,1.6120455265045166,0.00977967318365127,0.0023649793893340955,-6.933694471780369e-05,0.02033392189638307,0.9897808232652403,9.992007221626409e-16
llama32_3b,13,32,0,4,1.3242523670196533,0.0061028402405035554,-1.7644244852426595e-05,1.62343058238007e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,13,32,1,4,1.3108516931533813,0.005966529669878158,0.010101960329616098,-0.00012007626480159666,0.02638748061566314,0.9867180546561094,8.881784197001252e-16
llama32_3b,13,32,2,4,1.2997660636901855,0.005853654270512724,0.018473344317175826,-0.00023295166416703074,0.0508387608177379,0.974249064245002,8.881784197001252e-16
llama32_3b,13,32,3,4,1.2911155223846436,0.005766101626965866,0.02500585590881454,-0.0003205043077138883,0.07088573075737252,0.9639057366997188,1.1102230246251565e-15
llama32_3b,13,32,4,4,1.2827051877975464,0.005691228158554135,0.03135697386077142,-0.0003953777761256201,0.09010810672252252,0.9538825364149809,9.40277194889046e-16
llama32_3b,13,64,0,2,1.4981663227081299,0.007976835268912156,-0.0016279453808623887,2.33461851307723e-05,0.0,1.0,1.1102230246251565e-15
llama32_3b,13,64,1,2,1.4832271337509155,0.007811625239384552,0.00835993708189555,-0.00014186384439683185,0.02638748061566314,0.9867180546561094,1.3322676295501878e-15
llama32_3b,13,64,2,2,1.469963550567627,0.007652564421039029,0.017227561037192328,-0.0003009246627423551,0.0508387608177379,0.974249064245002,1.1102230246251565e-15
llama32_3b,13,128,0,1,1.6598868370056152,0.00988464718365308,-0.0012358566250996893,9.5576495850562e-06,0.0,1.0,1.1102230246251565e-15
llama32_3b,13,128,1,1,1.6428065299987793,0.00967379320225877,0.009066903440315072,-0.0002012963318092538,0.02638748061566314,0.9867180546561094,1.3322676295501878e-15
llama32_3b,14,32,0,4,1.2646642923355103,0.006123970571919637,-0.0009435998811937836,2.5705144719324197e-05,0.0,1.0,8.881784197001252e-16
llama32_3b,14,32,1,4,1.2564208507537842,0.00603710677469217,0.005580835213739856,-6.115865250814253e-05,0.020526687797902603,0.9896834404000592,1.1102230246251565e-15
llama32_3b,14,32,2,4,1.2488579750061035,0.00595500580118393,0.011566623001230708,-0.00014325962601638258,0.037784769965367684,0.9809257005679035,1.2212453270876722e-15
llama32_3b,14,32,3,4,1.241493582725525,0.005888696482432849,0.01739531711786988,-0.0002095689447674633,0.05380956746313442,0.9727232044815552,8.881784197001252e-16
llama32_3b,14,32,4,4,1.2358694076538086,0.005831802922405169,0.021846681860879732,-0.0002664625047951435,0.06972226102187995,0.9645090663016704,1.1102230246251565e-15
llama32_3b,14,64,0,2,1.4313468933105469,0.008003781582134235,-0.00036583688373960447,-5.908134444551627e-06,0.0,1.0,1.1102230246251565e-15
llama32_3b,14,64,1,2,1.4209587574005127,0.007896429122131376,0.006894413110074244,-0.00011326059444741014,0.020526687797902603,0.9896834404000592,9.992007221626409e-16
