model,row,seed,chunk,source_row,old_nll,replay_nll,float32_bit_identical,per_token_mean_difference,source_sha256
llama32_3b,Q1_asym,1,38,Q1_pq,1.4812897443771362,1.4812897443771362,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,39,Q1_pq,1.669872522354126,1.669872522354126,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,40,Q1_pq,2.2806689739227295,2.2806689739227295,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,41,Q1_pq,2.6942386627197266,2.6942386627197266,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,42,Q1_pq,2.6918933391571045,2.6918933391571045,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,43,Q1_pq,2.322869300842285,2.322869300842285,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,44,Q1_pq,2.2973921298980713,2.2973921298980713,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,45,Q1_pq,2.2810912132263184,2.2810912132263184,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,46,Q1_pq,2.376035451889038,2.376035451889038,True,-2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,47,Q1_pq,2.1603901386260986,2.1603901386260986,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,48,Q1_pq,2.0356557369232178,2.0356557369232178,True,2.384185791015625e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,49,Q1_pq,2.0314321517944336,2.0314321517944336,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,50,Q1_pq,1.7512551546096802,1.7512551546096802,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,51,Q1_pq,1.840517520904541,1.840517520904541,True,-1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,52,Q1_pq,1.6772817373275757,1.6772817373275757,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,53,Q1_pq,1.905543327331543,1.905543327331543,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,54,Q1_pq,1.6249006986618042,1.6249006986618042,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,55,Q1_pq,1.6072818040847778,1.6072818040847778,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,56,Q1_pq,1.8385854959487915,1.8385854959487915,True,1.1920928955078125e-07,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
llama32_3b,Q1_asym,1,57,Q1_pq,1.8070027828216553,1.8070027828216553,True,0.0,2bf76a1b7dcedfa7ed2518943d077349ea6297e27ad9a4e4f122c1841987cd59
