model,model_id,site,method,seed,sequence,nll,tokens_scored,reused_deterministic_run,weight_fold_max_relative_error
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,44,2.363121509552002,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,45,2.3352229595184326,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,46,2.416121006011963,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,47,2.2051806449890137,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,48,2.0994815826416016,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,49,2.0764319896698,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,50,1.833975911140442,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,51,1.8802528381347656,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,52,1.7236506938934326,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,53,1.9395105838775635,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,54,1.6868094205856323,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,55,1.6542537212371826,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,56,1.9207806587219238,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,57,1.860627293586731,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,58,2.238269329071045,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,59,2.4029996395111084,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,60,2.4060897827148438,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,61,2.5329172611236572,2047,False,0.0
llama32_3b,unsloth/Llama-3.2-3B,both,identity,20260902,62,1.5898106098175049,2047,False,0.0
