model,site,layer,n,b,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,evaluation_tokens
llama32_3b,down_input,1,8192,128,hadamard_full,0.26669684052467346,0.0007495683439097061,0.0,0.0,8192
llama32_3b,down_input,1,8192,128,nar_kmax,0.06127142906188965,3.5015859808447778e-06,0.7702581367617622,-0.0007460667579288614,8192
llama32_3b,down_input,2,8192,128,bf16,0.18033796548843384,0.0,-0.5565176855642322,-0.00937192017685355,8192
llama32_3b,down_input,2,8192,128,identity,0.18033796548843384,0.037740015411186593,-0.5565176855642322,0.028368095234333042,8192
llama32_3b,down_input,2,8192,128,hadamard_full,0.11585988849401474,0.00937192017685355,0.0,0.0,8192
llama32_3b,down_input,2,8192,128,nar_kmax,0.08826650679111481,0.005970993368525468,0.23816164560114686,-0.003400926808328082,8192
llama32_3b,down_input,3,8192,128,bf16,0.23565761744976044,0.0,-0.5403182024576578,-0.009798229604403108,8192
llama32_3b,down_input,3,8192,128,identity,0.23565761744976044,0.03099805564939387,-0.5403182024576578,0.02119982604499076,8192
llama32_3b,down_input,3,8192,128,hadamard_full,0.15299281477928162,0.009798229604403108,0.0,0.0,8192
llama32_3b,down_input,3,8192,128,nar_kmax,0.124736487865448,0.006843215281139483,0.18469054873327365,-0.002955014323263625,8192
llama32_3b,down_input,4,8192,128,bf16,0.2764282524585724,0.0,-0.4705420108916965,-0.009760472385805826,8192
llama32_3b,down_input,4,8192,128,identity,0.2764282524585724,0.029000040752633214,-0.4705420108916965,0.019239568366827386,8192
llama32_3b,down_input,4,8192,128,hadamard_full,0.1879771202802658,0.009760472385805826,0.0,0.0,8192
llama32_3b,down_input,4,8192,128,nar_kmax,0.15528060495853424,0.0069494894395927586,0.1739388031531841,-0.002810982946213067,8192
llama32_3b,down_input,5,8192,128,bf16,0.3212859034538269,0.0,-0.5015494884658013,-0.009794272446075395,8192
llama32_3b,down_input,5,8192,128,identity,0.3212859034538269,0.029766323969272528,-0.5015494884658013,0.019972051523197133,8192
llama32_3b,down_input,5,8192,128,hadamard_full,0.21396957337856293,0.009794272446075395,0.0,0.0,8192
llama32_3b,down_input,5,8192,128,nar_kmax,0.17681434750556946,0.006951252503524699,0.17364724005528143,-0.002843019942550696,8192
llama32_3b,down_input,6,8192,128,bf16,0.3456025719642639,0.0,-0.48504298993060896,-0.009862349472154029,8192
llama32_3b,down_input,6,8192,128,identity,0.3456025719642639,0.027771550036172335,-0.48504298993060896,0.017909200564018304,8192
llama32_3b,down_input,6,8192,128,hadamard_full,0.23272226750850677,0.009862349472154029,0.0,0.0,8192
llama32_3b,down_input,6,8192,128,nar_kmax,0.19360578060150146,0.007056660983586813,0.16808226959019068,-0.002805688488567216,8192
