model,layer,b,k,nar_mean_group_range,dc_absorption_fraction_vs_k0,identity_residual_range_after_projection,projection_range_attribution_fraction
llama32_3b,15,64,2,7.785884857177734,0.06956114529304562,9.675135612487793,0.16199532886870652
llama32_3b,15,128,0,9.49083137512207,0.0,14.732193946838379,0.0
llama32_3b,15,128,1,8.99960708618164,0.05175777226724899,13.185428619384766,0.10499219145737344
llama32_3b,16,32,0,7.464008331298828,0.0,9.00322151184082,0.0
llama32_3b,16,32,1,7.169440269470215,0.03946513036345377,8.205384254455566,0.08861686412313165
llama32_3b,16,32,2,6.90399169921875,0.07502893984345653,7.583779335021973,0.15765936392346133
llama32_3b,16,32,3,6.627946853637695,0.11201239877443277,7.187521934509277,0.20167220976886757
llama32_3b,16,32,4,6.397415637969971,0.1428981113078765,6.73696231842041,0.2517164762013109
llama32_3b,16,64,0,8.61032772064209,0.0,12.092449188232422,0.0
llama32_3b,16,64,1,8.140698432922363,0.054542556678052356,10.64000129699707,0.12011196976116124
llama32_3b,16,64,2,7.863222122192383,0.08676854385677132,9.543014526367188,0.21082864374126764
llama32_3b,16,128,0,9.750577926635742,0.0,15.512290954589844,0.0
llama32_3b,16,128,1,9.152078628540039,0.061380905070332004,12.97978401184082,0.1632580867753576
llama32_3b,17,32,0,7.158936500549316,0.0,8.716686248779297,0.0
llama32_3b,17,32,1,6.813933372497559,0.048191952537263764,7.971917152404785,0.08544176939703557
llama32_3b,17,32,2,6.517314434051514,0.08962533281983574,7.444375991821289,0.1459626078816574
llama32_3b,17,32,3,6.296290397644043,0.12049919744910173,7.020596981048584,0.1945795935890473
llama32_3b,17,32,4,6.060579299926758,0.15342463235122702,6.456162452697754,0.259332931295779
llama32_3b,17,64,0,8.246158599853516,0.0,11.774288177490234,0.0
llama32_3b,17,64,1,7.794868469238281,0.05472731638016895,10.264049530029297,0.1282658131595735
llama32_3b,17,64,2,7.448877334594727,0.09668517232653662,9.378158569335938,0.20350526265656999
llama32_3b,17,128,0,9.126747131347656,0.0,15.08680534362793,0.0
llama32_3b,17,128,1,8.759092330932617,0.04028322414590127,12.564504623413086,0.1671858728713673
llama32_3b,18,32,0,7.316524028778076,0.0,8.968267440795898,0.0
llama32_3b,18,32,1,6.9720306396484375,0.0470842968292926,8.030928611755371,0.10451726994409773
llama32_3b,18,32,2,6.714286804199219,0.08231193148687524,7.400282859802246,0.17483695611718955
llama32_3b,18,32,3,6.46762752532959,0.11602456304517317,6.980936050415039,0.22159591063717113
llama32_3b,18,32,4,6.233556747436523,0.1480166370098586,6.535238265991211,0.2712931110569965
llama32_3b,18,64,0,8.43760871887207,0.0,12.237232208251953,0.0
llama32_3b,18,64,1,7.948462963104248,0.05797208333135537,10.535024642944336,0.1391006999245928
llama32_3b,18,64,2,7.6689839363098145,0.09109509674738801,9.350244522094727,0.23591835449607954
llama32_3b,18,128,0,9.35977840423584,0.0,14.751607894897461,0.0
llama32_3b,18,128,1,8.928634643554688,0.04606345813550831,12.6276216506958,0.1439833718015472
llama32_3b,19,32,0,7.444040775299072,0.0,9.314783096313477,0.0
llama32_3b,19,32,1,7.1683030128479,0.03704140946757426,8.580578804016113,0.07882140514768833
llama32_3b,19,32,2,6.847335338592529,0.08015880819548167,7.79073429107666,0.16361613464085825
llama32_3b,19,32,3,6.564923286437988,0.11809681265827893,7.203940391540527,0.22661211570330178
llama32_3b,19,32,4,6.2870049476623535,0.15543115124731885,6.634044647216797,0.28779397452181565
llama32_3b,19,64,0,8.596094131469727,0.0,12.590895652770996,0.0
llama32_3b,19,64,1,8.220773696899414,0.04366174088255845,11.228187561035156,0.10822963904366374
llama32_3b,19,64,2,7.891330718994141,0.08198646986606326,9.980995178222656,0.20728473545676274
llama32_3b,19,128,0,9.806403160095215,0.0,16.21038818359375,0.0
llama32_3b,19,128,1,9.241576194763184,0.057597771181839424,14.00487995147705,0.13605523859995255
llama32_3b,20,32,0,7.213678359985352,0.0,8.937447547912598,0.0
llama32_3b,20,32,1,6.927558422088623,0.03966352859365766,8.111251831054688,0.09244202132977819
llama32_3b,20,32,2,6.652448654174805,0.07780076651652744,7.427700996398926,0.1689236824518521
llama32_3b,20,32,3,6.37717866897583,0.11596021464578025,6.908453941345215,0.22702159600827734
llama32_3b,20,32,4,6.13409423828125,0.14965792316061813,6.413336753845215,0.2824196483991569
llama32_3b,20,64,0,8.328288078308105,0.0,12.166001319885254,0.0
llama32_3b,20,64,1,7.876993179321289,0.05418819507003619,10.665889739990234,0.12330358516755184
llama32_3b,20,64,2,7.619419097900391,0.08511580936471662,9.519072532653809,0.21756768864598564
llama32_3b,20,128,0,9.41186809539795,0.0,16.188220977783203,0.0
llama32_3b,20,128,1,8.844499588012695,0.06028224170105782,13.735004425048828,0.1515433076989239
llama32_3b,21,32,0,7.099854469299316,0.0,8.970680236816406,0.0
llama32_3b,21,32,1,6.819005966186523,0.039556938008689896,8.30992317199707,0.07365740917924316
llama32_3b,21,32,2,6.580236911773682,0.07318707161851386,7.602352619171143,0.15253331759943187
llama32_3b,21,32,3,6.3003458976745605,0.1126091492553733,6.964066505432129,0.2236857939879487
llama32_3b,21,32,4,6.041882514953613,0.14901318878020808,6.60288143157959,0.26394863519035894
llama32_3b,21,64,0,8.185037612915039,0.0,12.410465240478516,0.0
llama32_3b,21,64,1,7.833204746246338,0.042984880865244865,11.08942985534668,0.10644527497833757
llama32_3b,21,64,2,7.560770511627197,0.07626930147551439,10.14145278930664,0.1828305713931791
llama32_3b,21,128,0,9.242876052856445,0.0,16.402332305908203,0.0
llama32_3b,21,128,1,8.926971435546875,0.03417817306031516,14.024901390075684,0.14494468661485152
llama32_3b,22,32,0,6.717318534851074,0.0,9.093045234680176,0.0
llama32_3b,22,32,1,6.420101165771484,0.04424643070557905,8.074005126953125,0.11206807856190026
llama32_3b,22,32,2,6.187931060791016,0.07880934502561822,7.465865612030029,0.17894771010752356
llama32_3b,22,32,3,6.000626087188721,0.10669323539504337,6.981235980987549,0.23224444607823447
llama32_3b,22,32,4,5.795081615447998,0.13729242027429364,6.426249980926514,0.29327856454323026
llama32_3b,22,64,0,7.741152286529541,0.0,12.735548973083496,0.0
llama32_3b,22,64,1,7.417816162109375,0.04176847482807004,11.15347957611084,0.1242246722395988
llama32_3b,22,64,2,7.14656925201416,0.0768080787598018,10.071823120117188,0.20915673588913022
llama32_3b,22,128,0,8.920782089233398,0.0,17.353961944580078,0.0
llama32_3b,22,128,1,8.482452392578125,0.04913579238577063,15.101076126098633,0.12981968184994538
llama32_3b,23,32,0,7.301639080047607,0.0,8.978740692138672,0.0
llama32_3b,23,32,1,7.062895774841309,0.03269722080055787,8.31199836730957,0.07425788846011191
llama32_3b,23,32,2,6.761123180389404,0.07402665260944107,7.740291595458984,0.13793126888763035
llama32_3b,23,32,3,6.4492011070251465,0.11674611189038708,7.220810890197754,0.19578801328788475
llama32_3b,23,32,4,6.215052127838135,0.14881411424164614,6.6500091552734375,0.25936059595797806
