model,site,layer,duquant_range,hadamard_range,prismquant_range,duquant_over_hadamard,null_space_capture,inside_paired_bracket,construction_seed,permutation_sha256,sampled_bf16_sha256,hadamard_replay_range,hadamard_replay_nmse,frozen_hadamard_source_csv_line
llama32_3b,q_input,11,1.7679706811904907,1.9551019668579104,1.538569450378418,0.9042856644617044,0.1846408440494189,True,20271902,e9f54a77ac5a45d9660be2438f8510fe918741ec7b8636eb98d3cfb1e7eb6650,3f3cb6aa6abf4974c582f32ff0a0f5bf30d5adcac2bb41227cccf626b64caa53,1.9551023244857788,0.009917416630577805,48
llama32_3b,q_input,12,1.9917646646499634,2.336341619491577,1.7724425792694092,0.8525143104215218,0.27439506890473475,True,20272902,43a6d482d0858900208f4206a2db7f5c0b5ada90cf1871bfc20f62392e8185e6,5080ad27c0c3dd4b8f997c4ae23848836ecf396b3dae207d0ac703589cb50033,2.336341619491577,0.009877358737175447,52
llama32_3b,q_input,13,2.051483154296875,2.3750791549682617,1.7942447662353516,0.863753593224681,0.2572221368983196,True,20273902,58b584871fc47d8c571a169a94a1ed2470ddbc74b69fe98be4db9616a283bb66,0cd172f5d2ff2d3b1419bc393ff1caffc532619936200d4a3237f03155d4a76a,2.375079393386841,0.00988253009637915,56
llama32_3b,q_input,14,1.9926013946533203,2.280730962753296,1.7762207984924316,0.8736678841979039,0.23854343596642583,True,20274902,601fa2b34411fc33305c018ae1e845faf81117b20f6fc7f5d2b112ed479035c2,a13b2155487730914a701086a288e06489dfd32dea9e4232fcf40338136f62db,2.280730962753296,0.009899935237852186,60
llama32_3b,q_input,15,2.062991142272949,2.3810739517211914,1.833277463912964,0.8664120409959079,0.24789190686288232,True,20275902,1b9c7fe2388f2c1343d7850ee139851308aa452befccf90e685cabd9b9dcc282,4527e4f5202bc00b7acb44d1ffe0a991e212f2982fc49fe85d256f73aeedd4c8,2.3810739517211914,0.00990446904039064,64
llama32_3b,q_input,16,2.131726026535034,2.408423900604248,1.876894474029541,0.8851124696114362,0.21750839868263616,True,20276902,44aa14932da9647c79ffee3761ad9214c1a5f3c150eeec485ec2c87751c34883,1002d7696e24e72150dc77ca889de61472907dc6da9928fb2f62cd9ecc82987c,2.408423662185669,0.009929069374771943,68
llama32_3b,q_input,17,2.162698268890381,2.4000649452209477,1.898990631103516,0.9010998944827657,0.1882681836173026,True,20277902,22b19db61dd0f7d379ea20cfabac75b600dd6467c6f0926efdfba914b5f5ef3b,52243005cce4d0be5a747c4461269fd09273917581d16938044d7edaaf567274,2.4000649452209473,0.009937825549064947,72
llama32_3b,q_input,18,2.261878490447998,2.5547304153442383,1.9796284437179563,0.88536875627373,0.21849125393369168,True,20278902,dac994e2ae5c531baf7f3634e68fc91943b5e10729ec6f903b8ec27d0211eb91,19f2e26fe5a3a37c41cef90c25c68b2076c63aeefa1622b949eaaee6bd88983e,2.5547304153442383,0.009906960274347384,76
llama32_3b,q_input,19,2.2136895656585693,2.4495227336883545,1.9348344802856443,0.9037228090246459,0.18562727610856802,True,20279902,8a2f4fc74776b90bf53a0200053cd525717e011ce7cfd22c0d92d1efaec9247a,d250544225c9c62535af9eb0c13d296de81c3aaaa44c2d09a946e2108d975ed7,2.4495224952697754,0.009916425833326456,80
llama32_3b,q_input,20,2.2430036067962646,2.506904602050781,1.969909191131592,0.8947303399424807,0.19739169209028065,True,20280902,b39dddbc02fa9a44d3ad6dfd4dc248a75d7f569b8319b9cbf0da1421d307278b,ad71f5b54739f8e4125dda00534297bf42efcc76d9754d26188b61ec8cfe4764,2.506904363632202,0.009928972397950491,84
llama32_3b,q_input,21,2.2933664321899414,2.552365779876709,1.994207739830017,0.898525771764861,0.1953626850246017,True,20281902,d3d0bdd2d8566c4818e285979a5f597472a7ccc425795a24b022ac90039af2ec,4a6767cbb7971b911369de1e4d90cdf75c6275ee6fb22b65234e69ad1a274bde,2.552365779876709,0.009898161447846781,88
llama32_3b,q_input,22,2.282283306121826,2.508007287979126,1.9753282070159912,0.9099986738718048,0.17251383002052234,True,20282902,8281a8be0b0a8bb05561e39b283ffaeb782b51a88362eafeb7c39e211d1c5f1c,9c818ab0741a66a7ff2fa4848b773f253221fe025b8aff9340c850efc2e29275,2.508007287979126,0.009923483382244256,92
llama32_3b,q_input,23,2.2483110427856445,2.501161813735962,1.9424920082092283,0.8989066722665829,0.19121276500698575,True,20283902,bf50b948fc632c2704360476df1e12658e94b16850af3ac9b98584e56ad9005a,16557d0840e15e6391315b7673a9573ccc51c68a82706f67632dccf4c2ef5435,2.501161813735962,0.009913864929198438,96
llama32_3b,q_input,24,2.4275777339935303,2.664130687713623,2.090304374694824,0.9112082020559193,0.17122521343848945,True,20284902,f0c8ea2dc6ae5d149c811713ea0520a72fa5fd149cff6726bdd6fb55814e5bea,1f391cfff4d28a4b62c112ec1eb79eb2ab61e9135cf9fd2f77d1f64f8eebe907,2.664130926132202,0.009915979019178959,100
llama32_3b,q_input,25,2.412426233291626,2.574584484100342,2.063816785812378,0.9370157585388462,0.12318892673850826,True,20285902,36201af15b8e7266bc5ffb9b983c20557bf1321639d801accd80c301b6157f9b,0151c71a7a8513ecacb63855ccc98ed52203db98ce345839d53c9a898521b510,2.574584484100342,0.009939411576759686,104
llama32_3b,q_input,26,2.3441593647003174,2.536170959472656,1.9963109493255613,0.9242907525397013,0.1432399381255575,True,20286902,ae7edae19bd5c2912d1f4922277e41b74b1a54e257886a8473f3f9a38a95b5a2,c9b9ad630caef5d31518f6995b7e77fea3fc88ef234a9f8d007f32d2af71692e,2.536170721054077,0.009954086201527846,108
llama32_3b,q_input,27,2.167253017425537,2.257626533508301,1.7943223714828491,0.9599696784470702,0.0838219713453329,True,20287902,a607f0eb4f5ceffdfc72f15131dd11fe83b48d659fe4220c9739e707421a7af1,b33dd810e9bbe72421dfbf53afbc0b1fa76799cd9eab49f9509d2bc6b967404f,2.257626533508301,0.00991378620893545,112
