model,layer,b,position,method,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,sample_vectors
llama32_3b,5,64,512,identity,11.993657112121582,0.01683462755972946,-0.41521814061345325,0.009026721437607618,65536
llama32_3b,5,64,512,hadamard,8.474776268005371,0.007807906122121839,0.0,0.0,65536
llama32_3b,5,64,512,nar,7.323955535888672,0.005840605247196551,0.13579364171079847,-0.0019673008749252884,65536
llama32_3b,5,64,1024,bf16,11.853536605834961,0.0,-0.4292061214234874,-0.007458945150602548,65536
llama32_3b,5,64,1024,identity,11.853536605834961,0.016577877108849955,-0.4292061214234874,0.009118931958247407,65536
llama32_3b,5,64,1024,hadamard,8.293790817260742,0.007458945150602548,0.0,0.0,65536
llama32_3b,5,64,1024,nar,7.280258655548096,0.0057890880935729866,0.12220372855357281,-0.001669857057029561,65536
llama32_3b,5,64,2048,bf16,11.980499267578125,0.0,-0.43105262666261734,-0.007625410306945977,65536
llama32_3b,5,64,2048,identity,11.980499267578125,0.01690052505122366,-0.43105262666261734,0.009275114744277682,65536
llama32_3b,5,64,2048,hadamard,8.371809005737305,0.007625410306945977,0.0,0.0,65536
llama32_3b,5,64,2048,nar,7.307461738586426,0.00582597043956304,0.12713468097772757,-0.001799439867382937,65536
llama32_3b,6,32,0,bf16,9.025063514709473,0.0,-0.1572582654513382,-0.0058454354901934106,65536
llama32_3b,6,32,0,identity,9.025063514709473,0.00869711263334986,-0.1572582654513382,0.0028516771431564497,65536
llama32_3b,6,32,0,hadamard,7.798659801483154,0.0058454354901934106,0.0,0.0,65536
llama32_3b,6,32,0,nar,6.413924217224121,0.004018754256065396,0.17756071164890194,-0.0018266812341280149,65536
llama32_3b,6,32,512,bf16,8.903793334960938,0.0,-0.135034358411293,-0.005928761271950641,65536
llama32_3b,6,32,512,identity,8.903793334960938,0.008515869181087222,-0.135034358411293,0.002587107909136581,65536
llama32_3b,6,32,512,hadamard,7.8445143699646,0.005928761271950641,0.0,0.0,65536
llama32_3b,6,32,512,nar,6.257925510406494,0.0038154440612754906,0.20225456729774152,-0.0021133172106751505,65536
llama32_3b,6,32,1024,bf16,8.9308443069458,0.0,-0.14867283427039646,-0.005816283595137289,65536
llama32_3b,6,32,1024,identity,8.9308443069458,0.008536065328937265,-0.14867283427039646,0.0027197817337999766,65536
llama32_3b,6,32,1024,hadamard,7.774924278259277,0.005816283595137289,0.0,0.0,65536
llama32_3b,6,32,1024,nar,6.2944746017456055,0.0038624141895975783,0.1904133884176077,-0.0019538694055397103,65536
llama32_3b,6,32,2048,bf16,8.913616180419922,0.0,-0.1463893399794924,-0.00585571310719719,65536
llama32_3b,6,32,2048,identity,8.913616180419922,0.00848693681828685,-0.1463893399794924,0.0026312237110896605,65536
llama32_3b,6,32,2048,hadamard,7.775382995605469,0.00585571310719719,0.0,0.0,65536
llama32_3b,6,32,2048,nar,6.299599647521973,0.003872570769123401,0.18980201347220926,-0.001983142338073789,65536
llama32_3b,6,64,0,bf16,12.160039901733398,0.0,-0.4023480238247013,-0.007392662870244493,65536
llama32_3b,6,64,0,identity,12.160039901733398,0.01533258730779131,-0.4023480238247013,0.007939924437546816,65536
llama32_3b,6,64,0,hadamard,8.671199798583984,0.007392662870244493,0.0,0.0,65536
llama32_3b,6,64,0,nar,7.775966644287109,0.006027659537041326,0.10324213201073598,-0.0013650033332031674,65536
llama32_3b,6,64,512,bf16,11.844555854797363,0.0,-0.36939561177441116,-0.007354194352159469,65536
llama32_3b,6,64,512,identity,11.844555854797363,0.014620603014041892,-0.36939561177441116,0.007266408661882423,65536
llama32_3b,6,64,512,hadamard,8.649477005004883,0.007354194352159469,0.0,0.0,65536
llama32_3b,6,64,512,nar,7.505164623260498,0.005634373792517159,0.13229844776536737,-0.0017198205596423094,65536
llama32_3b,6,64,1024,bf16,11.984600067138672,0.0,-0.3673234991256451,-0.00756348256756673,65536
llama32_3b,6,64,1024,identity,11.984600067138672,0.015032485620839895,-0.3673234991256451,0.0074690030532731655,65536
llama32_3b,6,64,1024,hadamard,8.765007019042969,0.00756348256756673,0.0,0.0,65536
llama32_3b,6,64,1024,nar,7.753779888153076,0.006002817687290205,0.11537094365045998,-0.0015606648802765242,65536
llama32_3b,6,64,2048,bf16,12.01952075958252,0.0,-0.3948273534164103,-0.007314317477279497,65536
llama32_3b,6,64,2048,identity,12.01952075958252,0.015067442218653375,-0.3948273534164103,0.007753124741373878,65536
llama32_3b,6,64,2048,hadamard,8.617210388183594,0.007314317477279497,0.0,0.0,65536
llama32_3b,6,64,2048,nar,7.575409889221191,0.005680494897931421,0.12089765156377963,-0.0016338225793480756,65536
llama32_3b,7,32,0,bf16,10.007509231567383,0.0,-0.19323631781310158,-0.006018249678525167,65536
llama32_3b,7,32,0,identity,10.007509231567383,0.00977041383398607,-0.19323631781310158,0.0037521641554609025,65536
llama32_3b,7,32,0,hadamard,8.386862754821777,0.006018249678525167,0.0,0.0,65536
