model,row,seed,site,layer,group,group_class,observations,mean_range,scope
llama32_3b,Q1_asym,0,down,1,44,anchor,131072,0.06352232354961984,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,45,anchor,131072,0.0626232595002989,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,46,anchor,131072,0.06385739337137863,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,47,anchor,131072,0.06331948642645102,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,48,anchor,131072,0.06165459374280147,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,49,anchor,131072,0.0621130762770008,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,50,anchor,131072,0.06395225957467687,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,51,anchor,131072,0.06298179609130017,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,52,anchor,131072,0.06453024808325125,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,53,anchor,131072,0.06276183483412723,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,54,anchor,131072,0.06389583758248563,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,55,anchor,131072,0.06320579285019079,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,56,anchor,131072,0.06263709752299462,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,57,anchor,131072,0.06338654002744448,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,58,anchor,131072,0.06418254055130745,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,59,anchor,131072,0.0626983539898589,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,60,anchor,131072,0.0638962361730151,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,61,anchor,131072,0.06326376965715497,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,62,anchor,131072,0.0646383375116244,actual_quantized_forward
llama32_3b,Q1_asym,0,down,1,63,anchor,131072,0.0643459932695265,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,0,anchor,131072,0.08879851704151065,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,1,anchor,131072,0.09063685962864554,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,2,anchor,131072,0.08976131867603954,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,3,anchor,131072,0.08859352727247938,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,4,anchor,131072,0.0874502407842499,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,5,anchor,131072,0.09308681556485965,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,6,anchor,131072,0.08914410642444182,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,7,anchor,131072,0.08956217373365405,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,8,anchor,131072,0.08927688405866263,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,9,anchor,131072,0.09289176355400741,actual_quantized_forward
llama32_3b,Q1_asym,0,down,2,10,anchor,131072,0.09148137962812086,actual_quantized_forward
