model,row,seed,site,layer,rank,residual_group_energy_max_median,captured_fraction,ritz_residual_median,ritz_residual_max,principal_angle_max_deg
llama32_3b,S4,0,down,16,64,1.002577265710738,0.27169246073812175,4.964013880380321e-15,4.7445135547332346e-14,1.010198601586461e-05
llama32_3b,S4,0,down,17,64,1.0024795594626124,0.26707027222498103,3.472085679493432e-15,6.225196007328574e-15,9.84619801707684e-06
llama32_3b,S4,0,down,18,64,1.004738530987083,0.2587405935380496,4.0951794928097195e-15,1.0502891758341741e-14,1.1099057401270736e-05
llama32_3b,S4,0,down,19,64,1.005381611672583,0.3145338590090191,4.4606648651378125e-15,1.1922419459731075e-14,1.0138000340489137e-05
llama32_3b,S4,0,down,20,64,1.0056790345581315,0.2826137067387955,4.410347490316339e-15,1.1902274022946874e-14,1.1454575462498555e-05
llama32_3b,S4,0,down,21,64,1.0028211605135489,0.287611053129163,3.8321524533552275e-15,9.580332558152203e-15,1.0138000340489137e-05
llama32_3b,S4,0,down,22,64,1.0063903094814435,0.28872446381912054,3.987991472570506e-15,3.2100002069678e-14,1.1000103948581645e-05
llama32_3b,S4,0,down,23,64,1.0061127337884124,0.32916898302083014,5.601482920686427e-15,2.0956049530955048e-14,1.1612577070626602e-05
llama32_3b,S4,0,down,24,64,1.0078969979103998,0.3815529331785146,6.938439167741234e-15,6.895619003472669e-14,1.0316186218701491e-05
llama32_3b,S4,0,down,25,64,1.1284752318732731,0.4668202165599678,8.197266938380083e-15,5.2396255906374354e-14,9.88314448090898e-06
llama32_3b,S4,0,down,26,64,1.0016378832442583,0.5204301076766027,1.1048690562979988e-14,1.9595134923924818e-13,1.0697753125226707e-05
llama32_3b,S4,0,down,27,64,1.0004759751649017,0.7204272752692478,2.1593939305525056e-14,5.570737214274248e-14,1.0173887179578492e-05
