model,model_id,b,seed,method,sequence,nll,tokens_scored,reused_deterministic_run
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,41,2.6955225467681885,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,42,2.700139045715332,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,43,2.3150761127471924,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,44,2.3043932914733887,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,45,2.2921369075775146,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,46,2.3826513290405273,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,47,2.166015148162842,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,48,2.0417048931121826,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,49,2.0429389476776123,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,50,1.7583154439926147,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,51,1.8383499383926392,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,52,1.6781487464904785,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,53,1.9057669639587402,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,54,1.6333024501800537,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,55,1.60984206199646,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,56,1.841712474822998,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,57,1.807167410850525,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,58,2.182583808898926,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,59,2.3489277362823486,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,60,2.3662705421447754,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,61,2.479266405105591,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,62,1.5090943574905396,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,hadamard,63,1.906301736831665,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,0,1.8254691362380981,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,1,2.430894374847412,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,2,2.5021474361419678,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,3,2.0219340324401855,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,4,1.9323536157608032,2047,False
llama32_3b,unsloth/Llama-3.2-3B,64,20260902,nar,5,1.5567982196807861,2047,False
