model,site,layer,n,b,k,dc_slots,mean_group_range,relative_quantization_error_nmse,range_reduction_vs_k0,range_reduction_vs_hadamard,range_reduction_vs_identity,nmse_delta_vs_hadamard,absorbed_energy_fraction,sqrt_one_minus_absorbed_energy_fraction,normalized_range_vs_k0,evaluation_tokens,anchor_mapping_max_abs_error
llama32_3b,q_input,1,3072,128,17,24,0.7008751630783081,0.003895074695498641,0.2987972899890926,0.38974315592806913,0.6776226276255611,-0.005997451818837634,0.5483479634739337,0.6720506205086536,0.7012027100109074,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,18,24,0.695166289806366,0.003834090819074778,0.3045088312453311,0.3947139113060176,0.6802485040463264,-0.006058435695261497,0.556000460734902,0.6663329042341358,0.6954911687546689,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,19,24,0.6904499530792236,0.003783275320969474,0.30922737210483464,0.39882045826089213,0.6824178493469236,-0.006109251193366801,0.5634170586231838,0.6607442329501001,0.6907726278951654,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,20,24,0.685228705406189,0.0037343195438358403,0.31445105987526434,0.4033666346627916,0.684819435526631,-0.006158206970500435,0.5704134760550018,0.6554285040681388,0.6855489401247357,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,21,24,0.6794141530990601,0.0036836274409430773,0.32026832955471995,0.40842940550639645,0.6874939205034892,-0.006208899073393198,0.5769925825815415,0.6503902039687087,0.67973167044528,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,22,24,0.6742436289787292,0.00363175833467848,0.3254412700673054,0.41293141656070786,0.6898721756729118,-0.0062607681796577955,0.5833489009969219,0.645485165594902,0.6745587299326946,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,23,24,0.6704362630844116,0.003589630643886856,0.3292504152956409,0.4162465163349508,0.6916234270759253,-0.006302895870449419,0.5895996475289392,0.640624970221315,0.6707495847043591,8192,1.7881393432617188e-07
llama32_3b,q_input,1,3072,128,24,24,0.6660040020942688,0.0035466521166630798,0.3336847476582168,0.4201057165840621,0.6936621077525301,-0.006345874397673196,0.5956414840501133,0.6358919058691396,0.6663152523417832,8192,1.7881393432617188e-07
llama32_3b,q_input,2,3072,128,0,24,1.9414339065551758,0.008582248326627663,0.0,0.07622855452215518,0.4654560173323518,-0.001359906093758528,0.0,1.0,1.0,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,1,24,1.7972567081451416,0.007358767170028676,0.07426325352783089,0.14483082757944718,0.5051529926389758,-0.0025833872503575155,0.16144142417859694,0.9157284399981268,0.9257367464721691,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,2,24,1.766255259513855,0.0071448228022006725,0.09023157906629577,0.15958191074397565,0.5136887649688403,-0.0027973316181855185,0.19085179236537128,0.8995266575453051,0.9097684209337042,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,3,24,1.7463172674179077,0.006991621768907765,0.10050130394780082,0.1690687893424234,0.5191783846079011,-0.0029505326514784264,0.21075613471345855,0.8883939808927914,0.8994986960521991,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,4,24,1.7279208898544312,0.006846348579262101,0.10997696907416021,0.17782213821306442,0.5242435443829702,-0.0030958058411240897,0.22859086186434197,0.8782990026953567,0.8900230309258398,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,5,24,1.7116732597351074,0.006725820571305609,0.11834585047901476,0.18555307188545955,0.5287170795795944,-0.003216333849080582,0.24387870591090732,0.8695523527017178,0.8816541495209852,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,6,24,1.698731780052185,0.00663057711758326,0.12501178931897525,0.19171087584311675,0.5322803170753259,-0.0033115773028029307,0.25761705508995525,0.8616164720512514,0.8749882106810247,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,7,24,1.6870816946029663,0.006538904735070824,0.1310125526773789,0.19725420968467977,0.535487989019973,-0.0034032496853153666,0.2696310130711375,0.8546162805194285,0.8689874473226211,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,8,24,1.6764655113220215,0.006457183013688079,0.1364807703926973,0.202305593067747,0.538410991895613,-0.0034849714066981117,0.28118936816617274,0.847827005841302,0.8635192296073027,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,9,24,1.6659778356552124,0.006375516639117954,0.1418827959941859,0.20729583006614247,0.5412986121751053,-0.003566637781268237,0.29159406052009973,0.8416685449034557,0.8581172040058141,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,10,24,1.6549363136291504,0.006295059032099264,0.1475700985537944,0.21254959777250187,0.5443387255359544,-0.0036470953882869273,0.301461859802375,0.835785941612818,0.8524299014462056,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,11,24,1.6457278728485107,0.006226220278407983,0.15231321174943177,0.21693115030530083,0.5468741281537939,-0.0037159341419782084,0.3103113110036381,0.8304749779471756,0.8476867882505682,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,12,24,1.635433554649353,0.006157926906231801,0.15761564216666069,0.22182938411637007,0.5497085104268375,-0.0037842275141543903,0.31893976962495507,0.8252637338300072,0.8423843578333393,8192,2.384185791015625e-07
llama32_3b,q_input,2,3072,128,13,24,1.6285737752914429,0.006103626948419009,0.16114899930786875,0.2250933985500933,0.5515972452252861,-0.003838527471967182,0.32699360686124035,0.8203696685877407,0.8388510006921313,8192,2.384185791015625e-07
