model,seed,site,layer,column,selected_directions,group_count,other_groups,changed_target_coordinates,unchanged_G,unchanged_source_order,unchanged_D,original_target_sha256,new_target_sha256,D_sha256,column_sign_transitions,column_crest_factor
llama32_3b,1,qkv,15,0,24,24,0,0,True,True,True,c98ca2e9b618ad80d4a37bb38fc2ed091a57709907f74c460f836805aa122cfb,c98ca2e9b618ad80d4a37bb38fc2ed091a57709907f74c460f836805aa122cfb,4d3c1f674d385bb1966c923f8da651dfe2aa8e0268384af1e5fee8c761873504,0,1.0
llama32_3b,1,qkv,16,0,24,24,0,0,True,True,True,cbac853f3ade81d7de0881b79c85d527ac8a24debc49d66b70426a3eeb618795,cbac853f3ade81d7de0881b79c85d527ac8a24debc49d66b70426a3eeb618795,9ec11a2ff58e7c34d11e6e8661810f609cfd1f2cf9f48dd315110ead9951ccee,0,1.0
llama32_3b,1,qkv,17,0,24,24,0,0,True,True,True,4188e20f019febe9767c531df097d95b01654df5200a6575017f08536ad34e62,4188e20f019febe9767c531df097d95b01654df5200a6575017f08536ad34e62,57b35a39e6e7c3bab30c7fbf6dc79022cdca566af0a6f2b0085838177228fa84,0,1.0
llama32_3b,1,qkv,18,0,24,24,0,0,True,True,True,01e3411c3908416f7aaa239ed3ec08f264c40e8941ceb7172aa9bcafcf5d0848,01e3411c3908416f7aaa239ed3ec08f264c40e8941ceb7172aa9bcafcf5d0848,2a34489579970949440c374c9c5f24a2f7544278a8fd4305c269231ebc7bd81c,0,1.0
llama32_3b,1,qkv,19,0,24,24,0,0,True,True,True,451b13eae2b2e00476b60c588d2dcd0086386f8671fd74c943888cf5dc769a13,451b13eae2b2e00476b60c588d2dcd0086386f8671fd74c943888cf5dc769a13,b70740d9c5d528745a46d11bf20dc5c508773a39af3a1f563253ca4ca923377b,0,1.0
llama32_3b,1,qkv,20,0,24,24,0,0,True,True,True,41fb5941a4c21ee9fd94e36663c9fbec944049740a35dfc464d037f9f1c7f564,41fb5941a4c21ee9fd94e36663c9fbec944049740a35dfc464d037f9f1c7f564,d2cc72d4739b43244f9a3d48902424a8e3db6fac641f9141be0ebd2f4f9726b6,0,1.0
llama32_3b,1,qkv,21,0,24,24,0,0,True,True,True,ec3aac63910405452d82ac96b68c4d016516b242b8f0686b24d6c4dd403aa95a,ec3aac63910405452d82ac96b68c4d016516b242b8f0686b24d6c4dd403aa95a,5ed81bb6cc1bbc04ac3659a670595d0aa56ffc3623c4f6f1686b710daf0e59f5,0,1.0
llama32_3b,1,qkv,22,0,24,24,0,0,True,True,True,da686c1ab58352d695478faaa9aae4fb781424f884ae3aecf7ec15cb285eadee,da686c1ab58352d695478faaa9aae4fb781424f884ae3aecf7ec15cb285eadee,dcd585416d708c0c064c241ee4eaded75872a14a64738969f4df7afdee783e9f,0,1.0
llama32_3b,1,qkv,23,0,24,24,0,0,True,True,True,b2ffc729c2cb07d48e7b9fc651e444be6dcd89a4ff927805d0b7a39c168c05da,b2ffc729c2cb07d48e7b9fc651e444be6dcd89a4ff927805d0b7a39c168c05da,7b08ffdd70c232ac473d0936f2e5710ee41fbbceb18247c844232d1f449b2aba,0,1.0
llama32_3b,1,qkv,24,0,24,24,0,0,True,True,True,f1da3cea55777f031a8731f9c92e6555c612a222d40aa3088d0901b22a5f8a3d,f1da3cea55777f031a8731f9c92e6555c612a222d40aa3088d0901b22a5f8a3d,a576d57699ebd3f70401b732791d8829269605bbc58400e9e933a319ac7d56ad,0,1.0
