model,site,layer,method,nar_group_size,fp4_block_size,scale_rule,layer_global_nmse,transformed_pearson_kurtosis,blocks
llama32_3b,q_input,22,hadamard_b16,,16,absmax,0.00944829164893384,3.9421496391296387,393216
llama32_3b,q_input,22,hadamard_b16,,16,mse_optimal,0.006596128628859731,3.9421496391296387,393216
llama32_3b,q_input,22,nar_b128,128,16,absmax,0.009404132335657704,3.6524932384490967,393216
llama32_3b,q_input,22,nar_b128,128,16,mse_optimal,0.006595335355701914,3.6524932384490967,393216
llama32_3b,q_input,22,nar_b16,16,16,absmax,0.010208754194451629,10.817397117614746,393216
llama32_3b,q_input,22,nar_b16,16,16,mse_optimal,0.006380211392798078,10.817397117614746,393216
llama32_3b,q_input,23,identity,,16,absmax,0.008388164868525005,23.54525375366211,393216
llama32_3b,q_input,23,identity,,16,mse_optimal,0.007059979218207651,23.54525375366211,393216
llama32_3b,q_input,23,hadamard_b16,,16,absmax,0.00950887663818485,4.168960094451904,393216
llama32_3b,q_input,23,hadamard_b16,,16,mse_optimal,0.006587672510078028,4.168960094451904,393216
llama32_3b,q_input,23,nar_b128,128,16,absmax,0.009430552654416691,3.638340950012207,393216
llama32_3b,q_input,23,nar_b128,128,16,mse_optimal,0.0065926760525699445,3.638340950012207,393216
llama32_3b,q_input,23,nar_b16,16,16,absmax,0.01029700776162334,11.102840423583984,393216
llama32_3b,q_input,23,nar_b16,16,16,mse_optimal,0.006362803374824235,11.102840423583984,393216
llama32_3b,q_input,24,identity,,16,absmax,0.008349353398079181,19.75101661682129,393216
llama32_3b,q_input,24,identity,,16,mse_optimal,0.006993041684338346,19.75101661682129,393216
llama32_3b,q_input,24,hadamard_b16,,16,absmax,0.009435292413612696,3.9548287391662598,393216
llama32_3b,q_input,24,hadamard_b16,,16,mse_optimal,0.006580773443064111,3.9548287391662598,393216
llama32_3b,q_input,24,nar_b128,128,16,absmax,0.0094299864639441,3.6787893772125244,393216
llama32_3b,q_input,24,nar_b128,128,16,mse_optimal,0.00659585272166915,3.6787893772125244,393216
llama32_3b,q_input,24,nar_b16,16,16,absmax,0.010298100690994037,10.960865020751953,393216
llama32_3b,q_input,24,nar_b16,16,16,mse_optimal,0.006359556849499868,10.960865020751953,393216
llama32_3b,q_input,25,identity,,16,absmax,0.008448424263556848,11.697354316711426,393216
llama32_3b,q_input,25,identity,,16,mse_optimal,0.006810192387777231,11.697354316711426,393216
llama32_3b,q_input,25,hadamard_b16,,16,absmax,0.009270727912106634,3.5926547050476074,393216
llama32_3b,q_input,25,hadamard_b16,,16,mse_optimal,0.0065850899124953845,3.5926547050476074,393216
llama32_3b,q_input,25,nar_b128,128,16,absmax,0.009405545992328582,3.6978726387023926,393216
llama32_3b,q_input,25,nar_b128,128,16,mse_optimal,0.006601084809620338,3.6978726387023926,393216
llama32_3b,q_input,25,nar_b16,16,16,absmax,0.010193203490777857,11.055312156677246,393216
