model,row,site,layer,group,m,slots,effective_bits,rows_used,mean_group_range,hadamard_reference_range,range_ratio_vs_hadamard,measured_range_reduction,absorbed_energy_fraction,sqrt_one_minus_f,predicted_range_reduction
llama32_3b,hadamard_g128_m1,down,0,128,1,0,4.25,4096,0.07030486315488815,0.07030486315488815,1.0,0.0,0.0011114284861832857,0.9994441312618814,0.0005558687381186367
llama32_3b,hadamard_g256_m1,down,0,256,1,0,4.125,4096,0.07619281858205795,0.07619281858205795,1.0,0.0,0.00043820415157824755,0.9997808739160906,0.00021912608390939337
llama32_3b,hadamard_g256_m2,down,0,256,2,0,4.1875,4096,0.07608962804079056,0.07619281858205795,0.998645665783367,0.0013543342166330429,0.0011114286025986075,0.9994441312036413,0.0005558687963587161
llama32_3b,hadamard_g256_m3,down,0,256,3,0,4.25,4096,0.07598568499088287,0.07619281858205795,0.9972814551944682,0.0027185448055317856,0.0016427754890173674,0.999178274639207,0.0008217253607929464
llama32_3b,nar_g64_m1,down,0,64,1,128,4.5,4096,0.04163049906492233,0.06385733187198639,0.6519298230057313,0.3480701769942687,0.3989473283290863,0.7752758681081939,0.22472413189180607
llama32_3b,nar_g128_m1,down,0,128,1,64,4.25,4096,0.04823867976665497,0.07030486315488815,0.6861357465468736,0.3138642534531264,0.34119439125061035,0.8116684105898108,0.18833158941018924
llama32_3b,nar_g256_m1,down,0,256,1,32,4.125,4096,0.055277541279792786,0.07619281858205795,0.7254954247461014,0.27450457525389854,0.2882092595100403,0.8436769171252463,0.15632308287475372
llama32_3b,nar_g256_m2,down,0,256,2,64,4.1875,4096,0.05379851162433624,0.07619281858205795,0.7060837573083932,0.29391624269160677,0.34119439125061035,0.8116684105898108,0.18833158941018924
llama32_3b,nar_g256_m3,down,0,256,3,96,4.25,4096,0.05284206569194794,0.07619281858205795,0.6935307903728253,0.3064692096271748,0.3751186430454254,0.7904943750303189,0.20950562496968106
llama32_3b,nar_g128_m2,down,0,128,2,128,4.375,4096,0.0470038503408432,0.07030486315488815,0.6685718203773379,0.33142817962266213,0.3989473283290863,0.7752758681081939,0.22472413189180607
llama32_3b,nar_g128_m2_c32,down,0,128,2,128,4.375,4096,0.0470038503408432,0.07030486315488815,0.6685718203773379,0.33142817962266213,0.3989473283290863,0.7752758681081939,0.22472413189180607
llama32_3b,nar_g256_m3_c32,down,0,256,3,96,4.25,4096,0.05284206569194794,0.07619281858205795,0.6935307903728253,0.3064692096271748,0.3751186430454254,0.7904943750303189,0.20950562496968106
llama32_3b,hadamard_g64_m1,down,4,64,1,0,4.5,4096,0.1729961335659027,0.1729961335659027,1.0,0.0,0.004288319498300552,0.9978535365982822,0.0021464634017177575
llama32_3b,hadamard_g128_m1,down,4,128,1,0,4.25,4096,0.19128599762916565,0.19128599762916565,1.0,0.0,0.0018218173645436764,0.9990886760620682,0.0009113239379318072
llama32_3b,hadamard_g256_m1,down,4,256,1,0,4.125,4096,0.20814846456050873,0.20814846456050873,1.0,0.0,0.0008010086603462696,0.9995994154358303,0.00040058456416969257
llama32_3b,hadamard_g256_m2,down,4,256,2,0,4.1875,4096,0.20774993300437927,0.20814846456050873,0.9980853495269786,0.0019146504730213972,0.0018218173645436764,0.9990886760620682,0.0009113239379318072
llama32_3b,hadamard_g256_m3,down,4,256,3,0,4.25,4096,0.20732195675373077,0.20814846456050873,0.9960292389928359,0.003970761007164136,0.002810584381222725,0.9985937189962579,0.0014062810037420714
llama32_3b,nar_g64_m1,down,4,64,1,128,4.5,4096,0.1397434026002884,0.1729961335659027,0.8077833863671483,0.19221661363285164,0.25787660479545593,0.8614658409969278,0.1385341590030722
llama32_3b,nar_g128_m1,down,4,128,1,64,4.25,4096,0.16081325709819794,0.19128599762916565,0.8406953937629907,0.1593046062370092,0.20441193878650665,0.8919574323999399,0.10804256760006015
llama32_3b,nar_g256_m1,down,4,256,1,32,4.125,4096,0.1808566451072693,0.20814846456050873,0.8688829172443608,0.13111708275563913,0.15509507060050964,0.9191871024984469,0.08081289750155307
llama32_3b,nar_g256_m2,down,4,256,2,64,4.1875,4096,0.17741192877292633,0.20814846456050873,0.8523335934642589,0.14766640653574117,0.20441195368766785,0.8919574240468724,0.1080425759531276
llama32_3b,nar_g256_m3,down,4,256,3,96,4.25,4096,0.17472466826438904,0.20814846456050873,0.8394232868030435,0.16057671319695657,0.23575133085250854,0.8742131714561909,0.12578682854380907
llama32_3b,nar_g128_m2,down,4,128,2,128,4.375,4096,0.1563902199268341,0.19128599762916565,0.8175727542275111,0.18242724577248895,0.25787660479545593,0.8614658409969278,0.1385341590030722
llama32_3b,nar_g128_m2_c32,down,4,128,2,128,4.375,4096,0.1563902199268341,0.19128599762916565,0.8175727542275111,0.18242724577248895,0.25787660479545593,0.8614658409969278,0.1385341590030722
llama32_3b,nar_g256_m3_c32,down,4,256,3,96,4.25,4096,0.17472466826438904,0.20814846456050873,0.8394232868030435,0.16057671319695657,0.23575133085250854,0.8742131714561909,0.12578682854380907
llama32_3b,hadamard_g64_m1,down,8,64,1,0,4.5,4096,0.22272896766662598,0.22272896766662598,1.0,0.0,0.0032887475099414587,0.9983542720347615,0.0016457279652385415
