model,layer,b,position,method,mean_group_range,valid,reduction_vs_hadamard,invalid_reason
llama32_3b,5,128,0,bf16,15.573352813720703,True,nan,
llama32_3b,5,128,0,hadamard,9.381362915039062,True,0.0,
llama32_3b,5,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,5,128,512,bf16,15.560575485229492,True,nan,
llama32_3b,5,128,512,hadamard,9.210396766662598,True,0.0,
llama32_3b,5,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,5,128,1024,bf16,15.556319236755371,True,nan,
llama32_3b,5,128,1024,hadamard,9.45479965209961,True,0.0,
llama32_3b,5,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,5,128,2048,bf16,15.558062553405762,True,nan,
llama32_3b,5,128,2048,hadamard,9.548027038574219,True,0.0,
llama32_3b,5,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,6,32,0,bf16,9.025063514709473,True,nan,
llama32_3b,6,32,0,hadamard,7.798659801483154,True,0.0,
llama32_3b,6,32,0,nar_rope,7.153409481048584,True,0.08273861623145251,
llama32_3b,6,32,512,bf16,8.903793334960938,True,nan,
llama32_3b,6,32,512,hadamard,7.844513893127441,True,0.0,
llama32_3b,6,32,512,nar_rope,7.147090911865234,True,0.08890582523835129,
llama32_3b,6,32,1024,bf16,8.9308443069458,True,nan,
llama32_3b,6,32,1024,hadamard,7.7749247550964355,True,0.0,
llama32_3b,6,32,1024,nar_rope,7.180102825164795,True,0.07650516868883354,
llama32_3b,6,32,2048,bf16,8.913615226745605,True,nan,
llama32_3b,6,32,2048,hadamard,7.775382995605469,True,0.0,
llama32_3b,6,32,2048,nar_rope,7.10975980758667,True,0.08560648245816305,
llama32_3b,6,64,0,bf16,12.160039901733398,True,nan,
llama32_3b,6,64,0,hadamard,8.6712007522583,True,0.0,
llama32_3b,6,64,0,nar_rope,8.416166305541992,True,0.029411664428353617,
llama32_3b,6,64,512,bf16,11.844555854797363,True,nan,
llama32_3b,6,64,512,hadamard,8.649477005004883,True,0.0,
llama32_3b,6,64,512,nar_rope,8.338033676147461,True,0.03600718617752381,
llama32_3b,6,64,1024,bf16,11.984600067138672,True,nan,
llama32_3b,6,64,1024,hadamard,8.765006065368652,True,0.0,
llama32_3b,6,64,1024,nar_rope,8.468658447265625,True,0.03381031523456945,
llama32_3b,6,64,2048,bf16,12.01952075958252,True,nan,
llama32_3b,6,64,2048,hadamard,8.61721134185791,True,0.0,
llama32_3b,6,64,2048,nar_rope,8.402745246887207,True,0.024888108978938336,
llama32_3b,6,128,0,bf16,15.51854133605957,True,nan,
llama32_3b,6,128,0,hadamard,9.728815078735352,True,0.0,
llama32_3b,6,128,0,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,6,128,512,bf16,15.303462028503418,True,nan,
llama32_3b,6,128,512,hadamard,9.781119346618652,True,0.0,
llama32_3b,6,128,512,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,6,128,1024,bf16,15.48831558227539,True,nan,
llama32_3b,6,128,1024,hadamard,9.651985168457031,True,0.0,
llama32_3b,6,128,1024,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,6,128,2048,bf16,15.432649612426758,True,nan,
llama32_3b,6,128,2048,hadamard,9.587745666503906,True,0.0,
llama32_3b,6,128,2048,nar_rope,nan,False,nan,"requires an even number of >=2 groups, got 1"
llama32_3b,7,32,0,bf16,10.007509231567383,True,nan,
llama32_3b,7,32,0,hadamard,8.386862754821777,True,0.0,
llama32_3b,7,32,0,nar_rope,7.207103252410889,True,0.14066755792952745,
llama32_3b,7,32,512,bf16,9.931741714477539,True,nan,
llama32_3b,7,32,512,hadamard,8.321876525878906,True,0.0,
llama32_3b,7,32,512,nar_rope,7.235486030578613,True,0.13054633674531177,
llama32_3b,7,32,1024,bf16,9.936436653137207,True,nan,
llama32_3b,7,32,1024,hadamard,8.27369499206543,True,0.0,
llama32_3b,7,32,1024,nar_rope,7.131736755371094,True,0.1380227622349491,
llama32_3b,7,32,2048,bf16,9.95733642578125,True,nan,
llama32_3b,7,32,2048,hadamard,8.25655746459961,True,0.0,
llama32_3b,7,32,2048,nar_rope,7.2507734298706055,True,0.121816391279459,
llama32_3b,7,64,0,bf16,13.577966690063477,True,nan,
llama32_3b,7,64,0,hadamard,9.257816314697266,True,0.0,
llama32_3b,7,64,0,nar_rope,8.52767562866211,True,0.07886748464387006,
llama32_3b,7,64,512,bf16,13.392473220825195,True,nan,
llama32_3b,7,64,512,hadamard,9.18766975402832,True,0.0,
llama32_3b,7,64,512,nar_rope,8.497858047485352,True,0.07508015906215194,
