model,row,site,layer,direction,captured_share,energy_fraction
llama32_3b,hadamard_g256_m2,qkv,3,33,0.005152078345417976,0.0027526281774044037
llama32_3b,hadamard_g256_m2,qkv,3,34,0.007917839102447033,0.002638718578964472
llama32_3b,hadamard_g256_m2,qkv,3,35,0.0012370251351967454,0.002538083354011178
llama32_3b,hadamard_g256_m2,qkv,3,36,0.00399599177762866,0.0024668602272868156
llama32_3b,hadamard_g256_m2,qkv,3,37,0.0023781629279255867,0.0024072376545518637
llama32_3b,hadamard_g256_m2,qkv,3,38,0.0032967785373330116,0.002319732215255499
llama32_3b,hadamard_g256_m2,qkv,3,39,0.004710710607469082,0.002292326418682933
llama32_3b,hadamard_g256_m2,qkv,3,40,0.00881638191640377,0.002207821235060692
llama32_3b,hadamard_g256_m2,qkv,3,41,0.002693156013265252,0.002174781635403633
llama32_3b,hadamard_g256_m2,qkv,3,42,0.003948410507291555,0.0021199302282184362
llama32_3b,hadamard_g256_m2,qkv,3,43,0.0032107122242450714,0.002068802248686552
llama32_3b,hadamard_g256_m2,qkv,3,44,0.003966489806771278,0.002018009778112173
llama32_3b,hadamard_g256_m2,qkv,3,45,0.0026847179979085922,0.0019972440786659718
llama32_3b,hadamard_g256_m2,qkv,3,46,0.007111606653779745,0.0019459431059658527
llama32_3b,hadamard_g256_m2,qkv,3,47,0.0038242959417402744,0.0018934619147330523
llama32_3b,hadamard_g256_m2,qkv,4,0,0.0008762013167142868,0.20118451118469238
llama32_3b,hadamard_g256_m2,qkv,4,1,0.0021774116903543472,0.030448157340288162
llama32_3b,hadamard_g256_m2,qkv,4,2,0.0013654774520546198,0.02168162167072296
llama32_3b,hadamard_g256_m2,qkv,4,3,0.0010200459510087967,0.016850732266902924
llama32_3b,hadamard_g256_m2,qkv,4,4,0.0015730082523077726,0.014324517920613289
llama32_3b,hadamard_g256_m2,qkv,4,5,0.004406522493809462,0.01203505415469408
llama32_3b,hadamard_g256_m2,qkv,4,6,0.0020582987926900387,0.009717702865600586
llama32_3b,hadamard_g256_m2,qkv,4,7,0.0028683976270258427,0.00930031854659319
llama32_3b,hadamard_g256_m2,qkv,4,8,0.0017603515880182385,0.008892698213458061
llama32_3b,hadamard_g256_m2,qkv,4,9,0.0010916342725977302,0.008553423918783665
llama32_3b,hadamard_g256_m2,qkv,4,10,0.002699499484151602,0.007380238734185696
llama32_3b,hadamard_g256_m2,qkv,4,11,0.0030857950914651155,0.007089865393936634
llama32_3b,hadamard_g256_m2,qkv,4,12,0.0010131471790373325,0.006578590255230665
llama32_3b,hadamard_g256_m2,qkv,4,13,0.003523127641528845,0.006152722053229809
llama32_3b,hadamard_g256_m2,qkv,4,14,0.0044096410274505615,0.005961571354418993
llama32_3b,hadamard_g256_m2,qkv,4,15,0.0016595907509326935,0.005632750224322081
llama32_3b,hadamard_g256_m2,qkv,4,16,0.004331774078309536,0.005431483034044504
llama32_3b,hadamard_g256_m2,qkv,4,17,0.004282305017113686,0.005197020247578621
llama32_3b,hadamard_g256_m2,qkv,4,18,0.0025234471540898085,0.005091334693133831
llama32_3b,hadamard_g256_m2,qkv,4,19,0.004651785362511873,0.0050338637083768845
llama32_3b,hadamard_g256_m2,qkv,4,20,0.00349976634606719,0.004845086019486189
llama32_3b,hadamard_g256_m2,qkv,4,21,0.004994227550923824,0.004669071640819311
llama32_3b,hadamard_g256_m2,qkv,4,22,0.0042485385201871395,0.0045141540467739105
llama32_3b,hadamard_g256_m2,qkv,4,23,0.003084069350734353,0.004260866902768612
llama32_3b,hadamard_g256_m2,qkv,4,24,0.0020240009762346745,0.004060607869178057
