model,layer,split,method,mean_group_range,relative_quantization_error_nmse,range_delta_vs_second_moment,nmse_delta_vs_second_moment
llama32_3b,21.0,calibration_a,second_moment,0.3317613661435814,0.0058601638171063165,0.0,0.0
llama32_3b,21.0,calibration_a,range_direct,0.3266492049864951,0.0057129008300837725,-0.005112161157086348,-0.000147262987022544
llama32_3b,21.0,heldout_cal_b,second_moment,0.3353588102788052,0.006205484382541081,0.0,0.0
llama32_3b,21.0,heldout_cal_b,range_direct,0.3343083997341978,0.006184193710447988,-0.0010504105446074163,-2.1290672093093183e-05
llama32_3b,22.0,calibration_a,second_moment,0.3486398907165409,0.0059261281113676505,0.0,0.0
llama32_3b,22.0,calibration_a,range_direct,0.3432454337961559,0.005781194495068814,-0.005394456920384982,-0.00014493361629883648
llama32_3b,22.0,heldout_cal_b,second_moment,0.35163731228215056,0.006208990311385362,0.0,0.0
llama32_3b,22.0,heldout_cal_b,range_direct,0.3505746069292144,0.0061919995747003916,-0.0010627053529361774,-1.6990736684970552e-05
llama32_3b,23.0,calibration_a,second_moment,0.38103052371154433,0.005636406891697891,0.0,0.0
llama32_3b,23.0,calibration_a,range_direct,0.3755807551993655,0.005513163772758356,-0.005449768512178821,-0.00012324311893953475
llama32_3b,23.0,heldout_cal_b,second_moment,0.38517946965143324,0.005826571984314363,0.0,0.0
llama32_3b,23.0,heldout_cal_b,range_direct,0.3843296503352889,0.005819286007992511,-0.0008498193161443623,-7.2859763218515936e-06
llama32_3b,24.0,calibration_a,second_moment,0.42173602437482316,0.005182164699203485,0.0,0.0
llama32_3b,24.0,calibration_a,range_direct,0.41586475895226727,0.0050716363803589865,-0.0058712654225558936,-0.00011052831884449891
llama32_3b,24.0,heldout_cal_b,second_moment,0.4263191556736956,0.005309436749319774,0.0,0.0
llama32_3b,24.0,heldout_cal_b,range_direct,0.42530518644288406,0.0053025832880253185,-0.00101396923081154,-6.853461294455132e-06
llama32_3b,25.0,calibration_a,second_moment,0.48663598418838205,0.004499303802067069,0.0,0.0
llama32_3b,25.0,calibration_a,range_direct,0.4797649205571872,0.004406445355674045,-0.006871063631194829,-9.285844639302359e-05
llama32_3b,25.0,heldout_cal_b,second_moment,0.49193723695213976,0.004590552250349775,0.0,0.0
llama32_3b,25.0,heldout_cal_b,range_direct,0.49015332245681975,0.0045797249461132635,-0.0017839144953200048,-1.0827304236511563e-05
llama32_3b,26.0,calibration_a,second_moment,0.584000754735996,0.003874645383731925,0.0,0.0
llama32_3b,26.0,calibration_a,range_direct,0.5711495807881874,0.003765194456031706,-0.012851173947808547,-0.00010945092770021925
llama32_3b,26.0,heldout_cal_b,second_moment,0.5927085353852135,0.0039727176807096845,0.0,0.0
llama32_3b,26.0,heldout_cal_b,range_direct,0.5856001927016337,0.003930982452214954,-0.007108342683579849,-4.173522849473029e-05
llama32_3b,27.0,calibration_a,second_moment,0.885218692226033,0.0015371867915373197,0.0,0.0
llama32_3b,27.0,calibration_a,range_direct,0.88339655931793,0.0015213359232456025,-0.001822132908102958,-1.585086829171715e-05
llama32_3b,27.0,heldout_cal_b,second_moment,0.9062927213215062,0.001587466717753458,0.0,0.0
llama32_3b,27.0,heldout_cal_b,range_direct,0.9114037130222528,0.001596336708106931,0.005110991700746581,8.869990353472948e-06
