model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,8,64,nar_rope,8.503902435302734,0.006767190746434134,0.02714306116104126,65536,True,
llama32_3b,8,128,bf16,16.367549896240234,0.0,0.0,65536,True,
llama32_3b,8,128,identity,16.367549896240234,0.02537181803759151,0.10176583379507065,65536,True,
llama32_3b,8,128,hadamard,10.124176025390625,0.009599833164083598,0.03850473091006279,65536,True,
llama32_3b,8,128,nar,9.370174407958984,0.008200912987109637,0.03289369121193886,65536,True,
llama32_3b,8,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,9,32,bf16,8.865304946899414,0.0,0.0,65536,True,
llama32_3b,9,32,identity,8.865304946899414,0.008672717442698949,0.03341490030288696,65536,True,
llama32_3b,9,32,hadamard,7.867116451263428,0.005856757640500709,0.022565359249711037,65536,True,
llama32_3b,9,32,nar,6.461601257324219,0.004008400751825588,0.015443868935108185,65536,True,
llama32_3b,9,32,nar_rope,7.10804557800293,0.0049228590334447165,0.0189671628177166,65536,True,
llama32_3b,9,64,bf16,11.978992462158203,0.0,0.0,65536,True,
llama32_3b,9,64,identity,11.978992462158203,0.015218727187298173,0.058635860681533813,65536,True,
llama32_3b,9,64,hadamard,8.851057052612305,0.007614259902967371,0.029336795210838318,65536,True,
llama32_3b,9,64,nar,7.945420265197754,0.006178594135468333,0.02380535379052162,65536,True,
llama32_3b,9,64,nar_rope,8.340217590332031,0.006877069483533271,0.026496492326259613,65536,True,
llama32_3b,9,128,bf16,16.070236206054688,0.0,0.0,65536,True,
llama32_3b,9,128,identity,16.070236206054688,0.02615277762909224,0.10076339542865753,65536,True,
llama32_3b,9,128,hadamard,9.807491302490234,0.009459010186860491,0.03644438832998276,65536,True,
llama32_3b,9,128,nar,9.196441650390625,0.008364442365906563,0.032227154821157455,65536,True,
llama32_3b,9,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,10,32,bf16,8.893056869506836,0.0,0.0,65536,True,
llama32_3b,10,32,identity,8.893056869506836,0.009393307990309742,0.033651821315288544,65536,True,
llama32_3b,10,32,hadamard,7.661538600921631,0.006012128778993312,0.021538637578487396,65536,True,
llama32_3b,10,32,nar,6.3164777755737305,0.0041485854314706454,0.014862436801195145,65536,True,
llama32_3b,10,32,nar_rope,7.036060333251953,0.005148275483248486,0.01844385638833046,65536,True,
llama32_3b,10,64,bf16,12.063010215759277,0.0,0.0,65536,True,
llama32_3b,10,64,identity,12.063010215759277,0.01595044349459405,0.057142965495586395,65536,True,
llama32_3b,10,64,hadamard,8.580781936645508,0.00773757473933571,0.027720101177692413,65536,True,
llama32_3b,10,64,nar,7.723696708679199,0.00629165695864018,0.022540058940649033,65536,True,
llama32_3b,10,64,nar_rope,8.158679008483887,0.007032706099988114,0.025194890797138214,65536,True,
llama32_3b,10,128,bf16,14.889596939086914,0.0,0.0,65536,True,
llama32_3b,10,128,identity,14.889596939086914,0.023567444679721973,0.08443111181259155,65536,True,
llama32_3b,10,128,hadamard,9.59200668334961,0.009735574411442289,0.034877996891736984,65536,True,
llama32_3b,10,128,nar,9.023927688598633,0.008606065187696844,0.03083149716258049,65536,True,
llama32_3b,10,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,11,32,bf16,10.20846176147461,0.0,0.0,65536,True,
llama32_3b,11,32,identity,10.20846176147461,0.010221574243562025,0.04383101314306259,65536,True,
llama32_3b,11,32,hadamard,8.258484840393066,0.005752771385144493,0.024668391793966293,65536,True,
llama32_3b,11,32,nar,6.635219097137451,0.0037908835019928224,0.01625564508140087,65536,True,
llama32_3b,11,32,nar_rope,7.204880237579346,0.004613947187091234,0.019785013049840927,65536,True,
llama32_3b,11,64,bf16,14.073566436767578,0.0,0.0,65536,True,
llama32_3b,11,64,identity,14.073566436767578,0.018543751743761352,0.07951724529266357,65536,True,
llama32_3b,11,64,hadamard,9.19260025024414,0.007320603216116232,0.031391389667987823,65536,True,
llama32_3b,11,64,nar,8.198495864868164,0.005918760787828094,0.025380171835422516,65536,True,
llama32_3b,11,64,nar_rope,8.555256843566895,0.006450041362380659,0.02765834704041481,65536,True,
llama32_3b,11,128,bf16,19.593305587768555,0.0,0.0,65536,True,
llama32_3b,11,128,identity,19.593305587768555,0.03333649837486168,0.14294984936714172,65536,True,
llama32_3b,11,128,hadamard,10.189699172973633,0.009075622794548467,0.038917072117328644,65536,True,
llama32_3b,11,128,nar,9.639148712158203,0.00814790470938111,0.03493893891572952,65536,True,
llama32_3b,11,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,12,32,bf16,8.50220012664795,0.0,0.0,65536,True,
llama32_3b,12,32,identity,8.50220012664795,0.008188958928236702,0.0306431632488966,65536,True,
llama32_3b,12,32,hadamard,7.911473274230957,0.0060720269657582255,0.022721584886312485,65536,True,
llama32_3b,12,32,nar,6.511847496032715,0.004158069053853467,0.015559535473585129,65536,True,
llama32_3b,12,32,nar_rope,7.2811479568481445,0.005200565695486248,0.019460568204522133,65536,True,
llama32_3b,12,64,bf16,11.600427627563477,0.0,0.0,65536,True,
llama32_3b,12,64,identity,11.600427627563477,0.01393683061225504,0.05215175449848175,65536,True,
llama32_3b,12,64,hadamard,8.937055587768555,0.007961724271917282,0.029792848974466324,65536,True,
llama32_3b,12,64,nar,7.858262538909912,0.0062218985266065665,0.023282408714294434,65536,True,
llama32_3b,12,64,nar_rope,8.518118858337402,0.007248736279818807,0.02712484449148178,65536,True,
llama32_3b,12,128,bf16,14.226090431213379,0.0,0.0,65536,True,
llama32_3b,12,128,identity,14.226090431213379,0.02040131758101209,0.07634192705154419,65536,True,
llama32_3b,12,128,hadamard,9.826103210449219,0.009715671202235496,0.03635613992810249,65536,True,
llama32_3b,12,128,nar,9.16893196105957,0.008499852486080236,0.03180653601884842,65536,True,
llama32_3b,12,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,13,32,bf16,9.192671775817871,0.0,0.0,65536,True,
llama32_3b,13,32,identity,9.192671775817871,0.008457931028003754,0.03541700541973114,65536,True,
llama32_3b,13,32,hadamard,8.295989990234375,0.005981354792021572,0.025046512484550476,65536,True,
llama32_3b,13,32,nar,6.681215286254883,0.003919650144533848,0.016413265839219093,65536,True,
llama32_3b,13,32,nar_rope,7.555119514465332,0.005000330321903099,0.020938539877533913,65536,True,
llama32_3b,13,64,bf16,12.716320991516113,0.0,0.0,65536,True,
