model,row,seed,chunk,nll,tokens,quantized_input_positions,token_sha256,unmasked_bf16_bit_identical
llama32_3b,Q1_asym,1,45,2.2810912132263184,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,46,2.376035451889038,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,47,2.1603901386260986,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,48,2.0356557369232178,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,49,2.0314321517944336,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,50,1.7512551546096802,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,51,1.840517520904541,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,52,1.6772817373275757,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,53,1.905543327331543,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,54,1.6249006986618042,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,55,1.6072818040847778,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,56,1.8385854959487915,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,57,1.8070027828216553,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,58,2.18369460105896,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,59,2.3517985343933105,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,60,2.3641252517700195,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,61,2.470703601837158,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,62,1.5165691375732422,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,1,63,1.9048550128936768,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,0,1.8456416130065918,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,1,2.430349111557007,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,2,2.503749132156372,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,3,2.0191309452056885,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,4,1.9279807806015015,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,5,1.5512573719024658,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
llama32_3b,Q1_asym,2,6,1.666833758354187,2047,2048,7a7b7dc6f6f242742c30f5194894a13f9225c540c5568a1c1839849368debd08,True
