model,site,layer,method,fp4_nmse,transformed_pearson_kurtosis,mean_relative_e4m3_scale_rounding_error,squared_error,signal_energy,sample_vectors
llama32_3b,q_input,25,nar,0.009405545981595506,3.6978726387023926,0.024504905566573143,14084.320867121949,1497448.51544841,2048
llama32_3b,q_input,25,logdiag,0.038819212899793995,26.27684783935547,0.023331036791205406,58129.77272767229,1497448.51544841,2048
llama32_3b,q_input,26,bf16,0.0,15.081560134887695,0.0,0.0,1451424.395851641,2048
llama32_3b,q_input,26,identity,0.008360653494054845,15.081560134887695,0.02365870401263237,12134.856446533464,1451424.395851641,2048
llama32_3b,q_input,26,hadamard,0.009356206702174035,3.722951650619507,0.024023082107305527,13579.826660166022,1451424.395851641,2048
llama32_3b,q_input,26,nar,0.009415692972068491,3.6428699493408203,0.02336055040359497,13666.166483509052,1451424.395851641,2048
llama32_3b,q_input,26,logdiag,0.04239193254570625,42.12702178955078,0.02272707223892212,61528.68508413521,1451424.395851641,2048
llama32_3b,q_input,27,bf16,0.0,8.08437728881836,0.0,0.0,1153197.0922718903,2048
llama32_3b,q_input,27,identity,0.008470966420110205,8.08437728881836,0.02275776118040085,9768.693844403911,1153197.0922718903,2048
llama32_3b,q_input,27,hadamard,0.009222865712170904,3.399660110473633,0.0228683240711689,10635.781921689602,1153197.0922718903,2048
llama32_3b,q_input,27,nar,0.009409440585968156,3.748145341873169,0.02282896265387535,10850.939523643588,1153197.0922718903,2048
llama32_3b,q_input,27,logdiag,0.03923360985535778,23.461484909057617,0.02265608124434948,45244.08480452837,1153197.0922718903,2048
llama32_3b,down_input,0,bf16,0.0,100082.8203125,0.0,0.0,27696.903017764274,2048
llama32_3b,down_input,0,identity,0.001350392914253632,100082.8203125,0.7386436462402344,37.40170158195891,27696.903017764274,2048
llama32_3b,down_input,0,hadamard,0.0017645537436591485,6255.32861328125,1.0954186916351318,48.872673907760316,27696.903017764274,2048
llama32_3b,down_input,0,nar,0.00219858470210965,705.2413940429688,0.5131534934043884,60.89398727067113,27696.903017764274,2048
llama32_3b,down_input,0,logdiag,0.002855422692229605,59090.6171875,0.5181984901428223,79.08636538140674,27696.903017764274,2048
llama32_3b,down_input,1,bf16,0.0,129564.5234375,0.0,0.0,31928893.329157088,2048
llama32_3b,down_input,1,identity,0.0013042101735993503,129564.5234375,0.16325372457504272,41641.9875116551,31928893.329157088,2048
llama32_3b,down_input,1,hadamard,0.0013045646266789867,8097.90625,0.22692887485027313,41653.304806225,31928893.329157088,2048
llama32_3b,down_input,1,nar,0.00037896193754804384,1021.7498779296875,3.9466049671173096,12099.83527978218,31928893.329157088,2048
llama32_3b,down_input,1,logdiag,0.00022818143513985735,131033.4609375,0.10625891387462616,7285.580702274482,31928893.329157088,2048
llama32_3b,down_input,2,bf16,0.0,928.4883422851562,0.0,0.0,8868.6311725282,2048
llama32_3b,down_input,2,identity,0.008004071939050126,928.4883422851562,0.09076033532619476,70.98516190581817,8868.6311725282,2048
llama32_3b,down_input,2,hadamard,0.011088910419988303,60.92717742919922,0.12100650370121002,98.34345662008104,8868.6311725282,2048
llama32_3b,down_input,2,nar,0.011376824061666133,9.931177139282227,0.09023550897836685,100.89685651766115,8868.6311725282,2048
llama32_3b,down_input,2,logdiag,0.02561080045773999,2831.06103515625,0.061442334204912186,227.13274329291238,8868.6311725282,2048
llama32_3b,down_input,3,bf16,0.0,242.86709594726562,0.0,0.0,14611.104159128343,2048
llama32_3b,down_input,3,identity,0.008480124377686884,242.86709594726562,0.06049073487520218,123.90398056474648,14611.104159128343,2048
llama32_3b,down_input,3,hadamard,0.01075243292845587,18.29460334777832,0.07461251318454742,157.10491748171012,14611.104159128343,2048
llama32_3b,down_input,3,nar,0.010173266753693084,5.012442111968994,0.06427628546953201,148.6426601768071,14611.104159128343,2048
llama32_3b,down_input,3,logdiag,0.030929329196952696,720.9212036132812,0.040835171937942505,451.91165046864523,14611.104159128343,2048
llama32_3b,down_input,4,bf16,0.0,295.6678771972656,0.0,0.0,22009.861954738903,2048
llama32_3b,down_input,4,identity,0.008347349607608929,295.6678771972656,0.04989602416753769,183.72401255141648,22009.861954738903,2048
