model,model_id,site,method,seed,sequence,nll,tokens_scored,weight_fold_max_relative_error
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,18,2.4166810512542725,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,19,2.0805511474609375,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,20,2.335280179977417,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,21,2.6595680713653564,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,22,2.5814554691314697,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,23,2.5195493698120117,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,24,3.0141193866729736,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,25,2.427736282348633,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,26,2.92877197265625,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,27,2.767662763595581,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,28,2.3075263500213623,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,29,2.006143808364868,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,30,2.284003257751465,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,31,1.8478139638900757,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,32,2.364193916320801,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,33,2.2383809089660645,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,34,2.4277305603027344,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,35,1.7182097434997559,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,36,1.596771478652954,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,37,1.8577419519424438,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,38,2.023911952972412,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,39,2.1383779048919678,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,40,2.895564079284668,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,41,3.3786141872406006,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,42,3.151134490966797,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,43,2.1707534790039062,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,44,2.43314528465271,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,45,2.7083330154418945,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,46,2.8732872009277344,2047,0.005343914497643709
llama31_70b,unsloth/Meta-Llama-3.1-70B,both,nar_k8,20260902,47,2.7689950466156006,2047,0.005343914497643709
