panel,model,layer,method,metric,x,y,source_commit,source_file,source_csv_line,source_field,formula,x_unit,y_unit,round_for_display_only
b,llama32_3b,6,duquant_style,mean_group_range,6,0.2243503928184509,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,239,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,7,duquant_style,mean_group_range,7,0.2308713495731353,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,240,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,8,duquant_style,mean_group_range,8,0.2369678020477295,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,241,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,9,duquant_style,mean_group_range,9,0.2401328980922699,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,242,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,10,duquant_style,mean_group_range,10,0.2485536038875579,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,243,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,11,duquant_style,mean_group_range,11,0.2559197247028351,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,244,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,12,duquant_style,mean_group_range,12,0.2781388163566589,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,245,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,13,duquant_style,mean_group_range,13,0.2988587319850921,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,246,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,14,duquant_style,mean_group_range,14,0.3369852304458618,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,247,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,15,duquant_style,mean_group_range,15,0.352651298046112,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,248,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,16,duquant_style,mean_group_range,16,0.3460878431797027,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,249,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,17,duquant_style,mean_group_range,17,0.3529954552650451,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,250,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,18,duquant_style,mean_group_range,18,0.3622476160526275,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,251,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,19,duquant_style,mean_group_range,19,0.4080713987350464,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,252,mean_group_range,identity,layer index,activation amplitude,True
b,llama32_3b,20,duquant_style,mean_group_range,20,0.3995206356048584,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_per_layer.csv,253,mean_group_range,identity,layer index,activation amplitude,True
