kind,model,method,g,m,effective_bits,ppl,seeds,seed_ids,chunks,source_file,source_row,source_csv_line,formula,source_commit,source_run,retained_csv,retained_csv_line,k,k_category,site_kmax,site_k_actual,site_kmax_source,ppl_bf16,ppl_hadamard,ppl_k,recovery,bf16_source_file,hadamard_source_file,bf16_source_csv_line,hadamard_source_csv_line,protocol,share_percent,decoder_layer_ms,kernel_ms,selection,recovery_percent,metric,baseline,backend,mode,phase,batch,tokens,unit,source_key,numerator,denominator,session,statistic,value
recovery,qwen3_8b_base,,,,,,1.0,20260902,146.0,results/qwen3_8b_base/e18v2_summary.csv,nar_k16,5,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,13,16,16,"{""down"": 96, ""qkv"": 32}","{""down"": 16, ""qkv"": 16}",results/qwen3_8b_base/e18v2_fold_audit.json:architecture_audit.slot_counts,8.823410419427475,9.265074843137612,9.03552183067091,0.519745309206421,results/qwen3_8b_base/e18v2_summary.csv,results/qwen3_8b_base/e18v2_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,51.9745309206421,,,,,,,,,,,,,,
recovery,qwen3_8b_base,,,,,,1.0,20260902,146.0,results/qwen3_8b_base/e18v2_summary.csv,nar_k32,6,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,14,32,32,"{""down"": 96, ""qkv"": 32}","{""down"": 32, ""qkv"": 32}",results/qwen3_8b_base/e18v2_fold_audit.json:architecture_audit.slot_counts,8.823410419427475,9.265074843137612,8.887142701138629,0.855699761425699,results/qwen3_8b_base/e18v2_summary.csv,results/qwen3_8b_base/e18v2_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,85.5699761425699,,,,,,,,,,,,,,
recovery,qwen3_8b_base,,,,,,1.0,20260902,146.0,results/qwen3_8b_base/e18v2_summary.csv,nar_k64,7,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,15,64,64,"{""down"": 96, ""qkv"": 32}","{""down"": 64, ""qkv"": 32}",results/qwen3_8b_base/e18v2_fold_audit.json:architecture_audit.slot_counts,8.823410419427475,9.265074843137612,8.824086780843308,0.9984686078852558,results/qwen3_8b_base/e18v2_summary.csv,results/qwen3_8b_base/e18v2_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,99.84686078852559,,,,,,,,,,,,,,
recovery,qwen3_8b_base,,,,,,1.0,20260902,146.0,results/qwen3_8b_base/e18v2_summary.csv,nar_kmax,8,(mean_PPL_Hadamard - mean_PPL_k)/(mean_PPL_Hadamard - PPL_bf16),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,16,96,max,"{""down"": 96, ""qkv"": 32}","{""down"": 96, ""qkv"": 32}",results/qwen3_8b_base/e18v2_fold_audit.json:architecture_audit.slot_counts,8.823410419427475,9.265074843137612,8.823651357195645,0.9994544777545211,results/qwen3_8b_base/e18v2_summary.csv,results/qwen3_8b_base/e18v2_summary.csv,2.0,3.0,"activation-only qkv + down, group 128, bf16 weights and KV",,,,,99.94544777545211,,,,,,,,,,,,,,
kernel_share,llama32_3b,PrismQuant,,,,,,,,results/llama32_3b/e17v3_layer_overhead.csv,k=8,2,100*nar_fused_ms/(decoder_layer_ms+nar_fused_ms),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,17,8,8,,,,,,,,,,,,,5.48757828882509,1.960370383364089,0.1138229849477293,,,,,,,,,,,,,,,,
kernel_share,llama32_3b,PrismQuant,,,,,,,,results/llama32_3b/e17v3_layer_overhead.csv,k=32,3,100*nar_fused_ms/(decoder_layer_ms+nar_fused_ms),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,18,32,32,,,,,,,,,,,,,8.474682806990499,1.960370383364089,0.1815182694007416,,,,,,,,,,,,,,,,
hadamard_kernel_share,llama32_3b,Hadamard,,,,,,,,results/llama32_3b/e17v3_layer_overhead.csv,k=8,2,100*hadamard_fused_ms/(decoder_layer_ms+hadamard_fused_ms),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,19,8,all,,,,,,,,,,,,,3.12492726209573,1.960370383364089,0.0632362348914405,"deployed-k=8 record, constant horizontal reference; no averaging across timing rows",,,,,,,,,,,,,,,
kernel_share,llama31_8b,PrismQuant,,,,,,,,results/llama31_8b/e17v3_layer_overhead.csv,k=8,2,100*nar_fused_ms/(decoder_layer_ms+nar_fused_ms),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,20,8,8,,,,,,,,,,,,,4.2700578871366695,3.466363218095568,0.1546179938316345,,,,,,,,,,,,,,,,
kernel_share,llama31_8b,PrismQuant,,,,,,,,results/llama31_8b/e17v3_layer_overhead.csv,k=32,3,100*nar_fused_ms/(decoder_layer_ms+nar_fused_ms),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,21,32,32,,,,,,,,,,,,,7.58731183537567,3.466363218095568,0.2845970525553352,,,,,,,,,,,,,,,,
hadamard_kernel_share,llama31_8b,Hadamard,,,,,,,,results/llama31_8b/e17v3_layer_overhead.csv,k=8,2,100*hadamard_fused_ms/(decoder_layer_ms+hadamard_fused_ms),6747960b96b0b03e626e98eaeeccf0d1abc34e79,original E20 / E11 / E18 / E17 protocols,figures/fig4b.csv,22,8,all,,,,,,,,,,,,,2.92625971001737,3.466363218095568,0.1044925125486894,"deployed-k=8 record, constant horizontal reference; no averaging across timing rows",,,,,,,,,,,,,,,
