model,site,layer,rank,eigenvalue,fraction_total_energy,cumulative_fraction_total_energy,relative_ritz_residual,source_commit,source_file
llama32_3b,down_input,5,8,0.0657848242882494,0.0044904404028508,0.096736240775369,0.0678781085986042,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,9,0.0626088526583162,0.0042736501099579,0.1010098908853269,0.0693658502130338,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,10,0.0595670133416451,0.0040660156241271,0.1050759065094541,0.0747222761929758,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,11,0.0577186095578156,0.0039398444726268,0.109015750982081,0.0791702978384983,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,12,0.0548412206292319,0.0037434352910348,0.1127591862731159,0.078120923291136,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,13,0.0518525826490379,0.0035394323027931,0.116298618575909,0.0862474142357867,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,14,0.0496634012485225,0.0033899998354057,0.1196886184113148,0.0973117956300806,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,15,0.047109560761228,0.0032156759144914,0.1229042943258062,0.1165058583026948,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,16,0.0423391816035356,0.0028900521321315,0.1257943464579378,0.11414074328871,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,17,0.0399596741218308,0.0027276280981642,0.128521974556102,0.1368962111001961,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,18,0.0394208886223635,0.0026908508596224,0.1312128254157245,0.1418596973744048,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,19,0.0365761497367203,0.0024966703542268,0.1337094957699513,0.1263614791486985,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,20,0.0362184204755622,0.0024722519272572,0.1361817476972086,0.1442965863323065,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,21,0.0353565284308721,0.0024134195916503,0.1385951672888588,0.159147807446532,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,22,0.0339530591198037,0.0023176194528376,0.1409127867416965,0.1483071518601623,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
llama32_3b,down_input,5,23,0.0334730773447878,0.0022848561281881,0.1431976428698846,0.1407858065960255,519ddad56370051e59afbc83d18aa35db0456d55,results/llama32_3b/e1c_eigenspace.csv
