model,source_family,source_artifact,site,layer,expert,routed_rows,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,57,256,128,nar_k6_per_expert,nar,0.535055511675649,0.6818683804990161,0.5566837992746092,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,58,256,128,nar_k6_per_expert,nar,0.8364695449541336,0.40438898976834964,0.4382779651269122,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,60,256,128,nar_k6_per_expert,nar,0.9163718994473302,0.28918523571003724,0.3352789490309328,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,61,256,128,nar_k6_per_expert,nar,0.1773716677689046,0.9069886064505416,0.8553492063776457,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,62,256,128,nar_k6_per_expert,nar,0.1106836981477481,0.9430356842942116,0.8768422277201804,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,63,256,128,nar_k6_per_expert,nar,0.1578961145143218,0.9176621848401939,0.8167972905811001,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,64,256,128,nar_k6_per_expert,nar,0.132467901913855,0.9314140315059383,0.8639012153754446,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,65,256,128,nar_k6_per_expert,nar,0.8424195043551234,0.3969640986851036,0.3802321333293585,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,66,256,128,nar_k6_per_expert,nar,0.1316915862575259,0.9318306786871068,0.9319922620616952,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,67,256,128,nar_k6_per_expert,nar,0.1767038839914606,0.9073566641671507,0.7476072118428683,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,68,256,128,nar_k6_per_expert,nar,0.139123763723839,0.9278341642104806,0.8011249614353927,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,69,256,128,nar_k6_per_expert,nar,0.1930035782144272,0.8983297956683686,0.7778887137683792,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,70,256,128,nar_k6_per_expert,nar,0.1191529084673969,0.9385345446666324,0.8869071110064919,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,71,256,128,nar_k6_per_expert,nar,0.2709616066494232,0.8538374513633007,0.816303348307292,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,72,256,128,nar_k6_per_expert,nar,0.2979354689089565,0.8378929114696242,0.5970404830089704,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,73,256,128,nar_k6_per_expert,nar,0.5117592592970992,0.6987422562740147,0.5944953750206138,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,74,256,128,nar_k6_per_expert,nar,0.2163384889144101,0.885246582080716,0.8305922385788344,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,75,256,128,nar_k6_per_expert,nar,0.3370473761988535,0.8142190269215934,0.7540699258370342,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,76,256,128,nar_k6_per_expert,nar,0.61396262510584,0.6213190604626257,0.5454584528204786,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
qwen3_30b_a3b_base,E26 MoE experts,results/qwen3_30b_a3b_base/e26_expert_range_law.csv,down_input,0,77,256,128,nar_k6_per_expert,nar,0.1505654802948146,0.9216477199587624,0.8364026474634693,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, expert, and group_size"
