model,method,site,layer,f,mean_group_range,nmse,rows_used,groups_observed,slots,d,group_size,sample_stride,frozen_range,frozen_nmse,frozen_rows,evaluation_tokens,quantitative_source,null_space_source
llama31_8b,nar,down,7,0.2148942631760489,0.1518823986930816,0.0071825110390514,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,8,0.2109761743428173,0.1597208035206481,0.0072412570693977,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,9,0.2389778953452063,0.167859908457087,0.0069959787690623,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,10,0.2519373468395679,0.1712802662542856,0.0069004258393806,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,11,0.2354736547637085,0.1755347641796325,0.0071012269069803,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,12,0.2339888638231216,0.1815499298656797,0.0070811222431394,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,13,0.2544945507808872,0.1952618536839492,0.0068115957686463,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,14,0.2331061972821314,0.2120576126048783,0.0068250215916037,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,15,0.2423413654992457,0.2332468207567818,0.0065619038570507,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,16,0.2385461433538538,0.2384962561460984,0.0064440071972879,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,17,0.2562310622045304,0.2559637160253731,0.0061694506813952,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,18,0.2507739112083247,0.2550120437261804,0.0062091882864188,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,19,0.2388405668751257,0.2624970146640716,0.0063179691366095,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,20,0.2370548209335448,0.2717355922425619,0.0063396829013646,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,21,0.2710085146872791,0.2936094601998239,0.0060287552990679,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,22,0.2589988059434154,0.3009699656391587,0.0060978352287873,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,23,0.2378700228219572,0.3088221310151604,0.006301323900942,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,24,0.2402674561485476,0.3186241280684417,0.0063176177181669,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,25,0.2451102439398328,0.3319535895541484,0.0063405899868199,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,26,0.2657235909491292,0.351967381308514,0.0061931565055448,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,27,0.387290470444957,0.3781454629301412,0.0051708164863338,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,28,0.3503996166729101,0.4255958701696727,0.0053916503461589,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,29,0.4479091886351128,0.4764709441217454,0.0046175412108664,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,30,0.6075124525754444,0.599641687667843,0.0032194144625072,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,nar,down,31,0.8191668030579142,1.0877188752667737,0.0013946957811291,8192,917504,112,14336,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,0,0.4115608688660986,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,1,0.3200797802372951,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,2,0.1733629387246253,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,3,0.1343901283895368,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,4,0.1803001800444341,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,5,0.1451870615132161,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,6,0.2171949637034623,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,7,0.2486135275136732,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,8,0.3049015172153429,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,9,0.3308620043714503,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,10,0.3282272639720592,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,11,0.350352024667023,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,12,0.3214741852199206,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,13,0.3503553524613836,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,14,0.3484924960323943,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,15,0.3018875566569199,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,16,0.3324920735442472,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,17,0.2814163129039771,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,18,0.2596741691659365,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,19,0.2342184594756305,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,20,0.2574163161098843,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,21,0.2575742996211888,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,22,0.2731525175845947,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,23,0.2302330545550482,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,24,0.2480540816213401,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,25,0.2257541893059756,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,26,0.2584920404754404,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,27,0.2166937557695994,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,28,0.238895299518009,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,29,0.1744263531930047,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,30,0.2217711257293069,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,duquant_style,qkv,31,0.1257629546781309,,,8192,0,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,0,0.009132366053152,0.6715953676909976,0.0094202919260652,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,1,0.0067317761293239,1.150227734786995,0.0097972185778302,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,2,0.0062697639905339,2.0730265426291226,0.0098916247477114,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,3,0.0081277057694632,1.8449132461623776,0.0099423115301038,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,4,0.010739567199514,1.8282358264805223,0.0099042488726722,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,5,0.0088534558700789,2.122428646532626,0.0099032032176287,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,6,0.008386571690476,2.045479189352136,0.0098880050652679,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,7,0.0072799592373547,2.074248873569104,0.0098985621821458,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,8,0.0058979375611966,2.2952623265518923,0.0099025342090821,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,9,0.0051164981944442,2.299282587614925,0.0098736270912747,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,10,0.005452617540358,2.468405654528397,0.0098627638626746,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,11,0.0049569008459892,2.4537632880210367,0.0098880019900676,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,12,0.0052236594636879,2.204036116178486,0.009881674381023,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,13,0.0050958953203604,2.5527610509175247,0.0098635905994011,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,14,0.0049442947305597,2.622900949742416,0.0098609412127894,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,15,0.0053708833688869,2.4840463864429694,0.0098849822281943,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,16,0.0048576258092945,2.550927789673551,0.0098865409484782,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,17,0.0053516915643478,2.5065209168956244,0.0098998836744156,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,18,0.0053746740149525,2.55880229338527,0.0098991454076084,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,19,0.0055835036264295,2.5711926595095065,0.009919347807802,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,20,0.0057682039222974,2.6571821810466645,0.0099094283331905,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,21,0.0062005941776212,2.6106946972199694,0.0099032279897983,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,22,0.0058626586295524,2.750620364095539,0.0098971671491469,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,23,0.0062556593761545,2.695510464684503,0.0099146843887928,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,24,0.0063542930245377,2.743505021859619,0.0099138131997236,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,25,0.0066755301919736,2.7519780344168794,0.0099095681965082,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
llama31_8b,hadamard,qkv,26,0.0067762457137753,2.7117805061170657,0.0098983055531797,8192,262144,32,4096,128,32,,,,8192.0,figure_stats_v2 measured replay,figure_stats_v2 measured replay
