model,source_family,source_artifact,site,layer,group_size,configuration,method,absorbed_energy_fraction,sqrt_one_minus_f,range_ratio_vs_hadamard,range_ratio_definition
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k1,nar,0.1614414241785969,0.9157284399981268,0.8551691724205529,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k2,nar,0.1908517923653712,0.8995266575453051,0.8404180892560245,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k3,nar,0.2107561347134585,0.8883939808927914,0.8309312106575766,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k4,nar,0.2285908618643419,0.8782990026953567,0.8221778617869356,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k5,nar,0.2438787059109073,0.8695523527017178,0.8144469281145406,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k6,nar,0.2576170550899552,0.8616164720512514,0.8082891241568833,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k7,nar,0.2696310130711375,0.8546162805194285,0.8027457903153203,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k8,nar,0.2811893681661727,0.847827005841302,0.797694406932253,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k9,nar,0.2915940605200997,0.8416685449034557,0.7927041699338576,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k10,nar,0.301461859802375,0.835785941612818,0.7874504022274982,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k11,nar,0.3103113110036381,0.8304749779471756,0.7830688496946991,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k12,nar,0.318939769624955,0.8252637338300072,0.77817061588363,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k13,nar,0.3269936068612403,0.8203696685877407,0.7749066014499066,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k14,nar,0.3349706901579316,0.8154932923341971,0.7701759813370797,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k15,nar,0.3428144742408027,0.8106698006952012,0.7666767405051803,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k16,nar,0.3502932038237646,0.8060439170270037,0.7619369881400972,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k17,nar,0.3576395550363748,0.8014739203265601,0.7587939618682524,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k18,nar,0.3646272765182062,0.7971027057298161,0.7548946035989923,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k19,nar,0.3714989571387851,0.7927805767431584,0.7506141865057757,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
llama32_3b,E1c activations,results/llama32_3b/e1c_range_vs_k.csv,q_input,2,128,nar_k20,nar,0.3781763175249857,0.788557976609846,0.7473081977449123,"mean_group_range / paired Hadamard mean_group_range at identical model, site, layer, and group_size"
