record_type,model,site,layer,method,token,group,relative_channel,signed_value,group_mean,group_range,ecdf_probability,source
activation,llama32_3b,down_input,1,identity,0,11,77.0,0.00095367431640625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,78.0,0.000461578369140625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,79.0,-3.039836883544922e-05,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,80.0,-0.000244140625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,81.0,0.001312255859375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,82.0,-0.00118255615234375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,83.0,-0.0030364990234375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,84.0,-0.005340576171875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,85.0,0.002899169921875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,86.0,-0.00238037109375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,87.0,0.001495361328125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,88.0,-0.0028533935546875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,89.0,-4.023313522338867e-06,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,90.0,0.002197265625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,91.0,-0.004486083984375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,92.0,-0.00506591796875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,93.0,-0.0003986358642578125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,94.0,-8.440017700195312e-05,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,95.0,8.916854858398438e-05,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,96.0,-0.000415802001953125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,97.0,-0.004058837890625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,98.0,0.004058837890625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,99.0,-0.006683349609375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,100.0,-0.00038909912109375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,101.0,-0.0001277923583984375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,102.0,-0.001068115234375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,103.0,-0.0032196044921875,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,104.0,-0.009521484375,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,105.0,-0.0001544952392578125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,106.0,6.151199340820312e-05,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,107.0,-0.0003910064697265625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,108.0,2.682209014892578e-05,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,109.0,0.000797271728515625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,110.0,-0.0003986358642578125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,111.0,-0.0027008056640625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,112.0,-0.00189971923828125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,113.0,9.834766387939453e-06,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,114.0,-0.001861572265625,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
activation,llama32_3b,down_input,1,identity,0,11,115.0,-0.000843048095703125,-3.8909125328063965,498.0074768066406,,frozen E1c wide_cal_a
