layer,expert,routed_tokens,share_of_tokens
5,24,9778,0.03730010986328125
5,25,3027,0.011547088623046875
5,26,160,0.0006103515625
5,27,2,7.62939453125e-06
5,28,0,0.0
5,29,902,0.00344085693359375
5,30,28798,0.10985565185546875
5,31,68799,0.2624473571777344
5,32,18089,0.06900405883789062
5,33,22432,0.0855712890625
5,34,21638,0.08254241943359375
5,35,383,0.001461029052734375
5,36,8278,0.03157806396484375
5,37,23489,0.08960342407226562
5,38,235,0.000896453857421875
5,39,93,0.000354766845703125
5,40,54,0.00020599365234375
5,41,3600,0.01373291015625
5,42,27050,0.10318756103515625
5,43,1231,0.004695892333984375
5,44,150,0.00057220458984375
5,45,8954,0.03415679931640625
5,46,2783,0.010616302490234375
5,47,34327,0.13094711303710938
5,48,29052,0.1108245849609375
5,49,35265,0.13452529907226562
5,50,31,0.000118255615234375
5,51,19426,0.07410430908203125
5,52,4974,0.01897430419921875
5,53,9693,0.036975860595703125
5,54,23223,0.08858871459960938
5,55,52053,0.19856643676757812
5,56,9126,0.03481292724609375
5,57,12,4.57763671875e-05
5,58,14955,0.057048797607421875
5,59,37250,0.14209747314453125
5,60,51,0.000194549560546875
5,61,24148,0.0921173095703125
5,62,6696,0.025543212890625
5,63,28519,0.10879135131835938
5,64,35674,0.13608551025390625
5,65,6097,0.023258209228515625
5,66,23680,0.09033203125
5,67,12039,0.045925140380859375
5,68,11570,0.04413604736328125
5,69,508,0.0019378662109375
5,70,844,0.0032196044921875
5,71,38154,0.14554595947265625
5,72,621,0.002368927001953125
5,73,5387,0.020549774169921875
5,74,13472,0.0513916015625
5,75,57880,0.220794677734375
5,76,5286,0.02016448974609375
5,77,20416,0.077880859375
5,78,37884,0.1445159912109375
5,79,43673,0.16659927368164062
5,80,36437,0.13899612426757812
5,81,2328,0.008880615234375
5,82,25038,0.09551239013671875
5,83,20087,0.07662582397460938
5,84,6385,0.024356842041015625
5,85,176,0.00067138671875
5,86,14333,0.054676055908203125
5,87,27158,0.10359954833984375
5,88,52,0.0001983642578125
5,89,61,0.000232696533203125
5,90,19323,0.07371139526367188
5,91,216,0.000823974609375
5,92,42,0.00016021728515625
5,93,41945,0.16000747680664062
5,94,12376,0.047210693359375
5,95,14458,0.05515289306640625
5,96,23064,0.087982177734375
5,97,67314,0.25678253173828125
5,98,207,0.000789642333984375
5,99,83068,0.3168792724609375
5,100,7995,0.030498504638671875
5,101,2750,0.01049041748046875
5,102,15487,0.059078216552734375
5,103,54906,0.20944976806640625
5,104,9553,0.036441802978515625
5,105,31946,0.12186431884765625
5,106,6013,0.022937774658203125
5,107,24268,0.0925750732421875
5,108,28572,0.1089935302734375
5,109,2009,0.007663726806640625
5,110,39107,0.14918136596679688
5,111,42145,0.16077041625976562
5,112,22810,0.08701324462890625
5,113,17469,0.06663894653320312
5,114,8674,0.03308868408203125
5,115,29856,0.1138916015625
5,116,36262,0.13832855224609375
5,117,14018,0.05347442626953125
5,118,48,0.00018310546875
5,119,1149,0.004383087158203125
5,120,2915,0.011119842529296875
5,121,14,5.340576171875e-05
5,122,26618,0.10153961181640625
5,123,7827,0.029857635498046875
5,124,2581,0.009845733642578125
5,125,33679,0.12847518920898438
5,126,33097,0.12625503540039062
5,127,631,0.002407073974609375
6,0,13555,0.051708221435546875
6,1,13690,0.05222320556640625
6,2,21,8.0108642578125e-05
6,3,16341,0.062335968017578125
6,4,28153,0.10739517211914062
6,5,0,0.0
6,6,24057,0.09177017211914062
6,7,9452,0.0360565185546875
6,8,223,0.000850677490234375
6,9,13598,0.05187225341796875
6,10,49652,0.1894073486328125
6,11,1421,0.005420684814453125
6,12,984,0.003753662109375
6,13,78261,0.2985420227050781
6,14,52858,0.20163726806640625
6,15,1483,0.005657196044921875
6,16,757,0.002887725830078125
6,17,4870,0.01857757568359375
6,18,2584,0.009857177734375
6,19,1444,0.0055084228515625
6,20,4046,0.01543426513671875
6,21,15,5.7220458984375e-05
6,22,67803,0.2586479187011719
6,23,121910,0.46504974365234375
6,24,18669,0.07121658325195312
6,25,5557,0.021198272705078125
6,26,8614,0.03285980224609375
6,27,292,0.0011138916015625
6,28,12029,0.045886993408203125
