layer,expert,routed_tokens,share_of_tokens
6,29,1841,0.007022857666015625
6,30,6333,0.024158477783203125
6,31,9,3.4332275390625e-05
6,32,178,0.00067901611328125
6,33,15859,0.060497283935546875
6,34,36185,0.13803482055664062
6,35,6436,0.0245513916015625
6,36,106,0.00040435791015625
6,37,1199,0.004573822021484375
6,38,16533,0.06306838989257812
6,39,33416,0.127471923828125
6,40,55,0.000209808349609375
6,41,36353,0.13867568969726562
6,42,21302,0.08126068115234375
6,43,1923,0.007335662841796875
6,44,6803,0.025951385498046875
6,45,0,0.0
6,46,3575,0.013637542724609375
6,47,383,0.001461029052734375
6,48,1878,0.00716400146484375
6,49,13885,0.052967071533203125
6,50,16,6.103515625e-05
6,51,53,0.000202178955078125
6,52,55732,0.2126007080078125
6,53,2519,0.009609222412109375
6,54,86735,0.3308677673339844
6,55,17964,0.0685272216796875
6,56,75023,0.2861900329589844
6,57,132,0.0005035400390625
6,58,33636,0.1283111572265625
6,59,7,2.6702880859375e-05
6,60,3,1.1444091796875e-05
6,61,10658,0.04065704345703125
6,62,13983,0.053340911865234375
6,63,81616,0.31134033203125
6,64,19708,0.0751800537109375
6,65,19521,0.07446670532226562
6,66,1152,0.00439453125
6,67,772,0.0029449462890625
6,68,179,0.000682830810546875
6,69,58,0.00022125244140625
6,70,1015,0.003871917724609375
6,71,15326,0.05846405029296875
6,72,5267,0.020092010498046875
6,73,145,0.000553131103515625
6,74,910,0.00347137451171875
6,75,37784,0.144134521484375
6,76,560,0.00213623046875
6,77,28916,0.1103057861328125
6,78,2805,0.010700225830078125
6,79,22655,0.08642196655273438
6,80,157,0.000598907470703125
6,81,1651,0.006298065185546875
6,82,1317,0.005023956298828125
6,83,22551,0.08602523803710938
6,84,10253,0.039112091064453125
6,85,40792,0.155609130859375
6,86,42874,0.16355133056640625
6,87,34532,0.1317291259765625
6,88,9980,0.0380706787109375
6,89,102980,0.3928375244140625
6,90,123,0.000469207763671875
6,91,31,0.000118255615234375
6,92,5442,0.02075958251953125
6,93,24604,0.0938568115234375
6,94,2085,0.007953643798828125
6,95,5107,0.019481658935546875
6,96,30327,0.11568832397460938
6,97,56347,0.21494674682617188
6,98,1249,0.004764556884765625
6,99,15885,0.060596466064453125
6,100,48050,0.18329620361328125
6,101,7168,0.02734375
6,102,41,0.000156402587890625
6,103,22047,0.08410263061523438
6,104,6073,0.023166656494140625
6,105,26902,0.10262298583984375
6,106,32,0.0001220703125
6,107,20835,0.07947921752929688
6,108,2618,0.00998687744140625
6,109,22151,0.08449935913085938
6,110,22430,0.08556365966796875
6,111,4814,0.01836395263671875
6,112,605,0.002307891845703125
