layer,expert,routed_tokens,rows,f_at_k6,range_nar_over_hadamard,predicted_sqrt_1_minus_f
1,24,7730,256,0.11554312752229406,0.8492520027484222,0.9404556727872431
1,25,25709,256,0.09578926818633715,0.8959530778828412,0.9508999588882433
1,26,10645,256,0.10358570078008025,0.9066586412105796,0.9467915817221443
1,27,16503,256,0.4982155266859287,0.6569309796413191,0.7083674705363533
1,28,25461,256,0.17809633695622576,0.845423011278447,0.9065890265405677
1,29,24557,256,0.08687193541495325,0.9012163061999278,0.9555773462075411
1,30,10564,256,0.10440148120458359,0.9466234072827662,0.94636067056668
1,31,13187,256,0.16444621643177573,0.5688608549643775,0.9140863107870199
1,32,6626,256,0.7728203962819701,0.42320416855895143,0.47663361580781305
1,33,4476,256,0.12630779689480878,0.8616611205520196,0.9347150384503243
1,34,18060,256,0.13446093978516738,0.778813512407059,0.9303435173175727
1,35,2446,256,0.6518652634235698,0.5488212469824554,0.5900294370422803
1,36,1924,256,0.3143054769329237,0.7723024534626084,0.8280667382929207
1,37,6545,256,0.12273198517172215,0.8676874129924127,0.9366258670505945
1,38,16329,256,0.3152114684117347,0.7346752302868192,0.8275195052615167
1,39,15450,256,0.11812002772337045,0.9101227833560074,0.9390846459593669
1,40,14515,256,0.131396009581811,0.9020768438099259,0.9319892651839875
1,41,13866,256,0.2287871988484962,0.84533155870075,0.8781872244296792
1,42,3909,256,0.1519811968650655,0.8457639057746631,0.9208793640509785
1,43,2706,256,0.8577941687731306,0.5152176762206208,0.3771018844117188
1,44,4892,256,0.1585753079130977,0.922732426640308,0.9172920429649994
1,45,29280,256,0.09341446770248996,0.9234888978266801,0.95214785212041
1,46,25681,256,0.09714949841714125,0.895296950918532,0.9501844566097989
1,47,9807,256,0.10314205688239615,0.8661685776702863,0.9470258407866197
1,48,33550,256,0.19036964626431097,0.7795815434684694,0.89979461752985
1,49,39607,256,0.13082945781558197,0.8626332660816395,0.9322931632187474
1,50,14420,256,0.4355054396270924,0.6804505410522664,0.7513285302535154
1,51,2061,256,0.1954884628897467,0.7449385079271116,0.8969456712144016
1,52,22149,256,0.06674670951501374,0.9327528568866262,0.966050356081393
1,53,19022,256,0.1033997849547921,0.8804173649457452,0.9468897586547275
1,54,1503,256,0.35575873154691195,0.8302626926057172,0.8026464155860213
1,55,166,166,0.6916981129503605,0.06479981645559661,0.5552493917598105
1,56,5089,256,0.20995648044752974,0.503762742005845,0.8888439230553754
1,57,11883,256,0.11073505302465206,0.6437611789444465,0.943008455410315
1,58,16823,256,0.12083114893947002,0.8860954048266342,0.9376400434391281
1,59,744,256,0.3780986178349287,0.8622015785080169,0.7886072420191633
1,60,30347,256,0.12419528562696025,0.8707581313425211,0.935844385767762
1,61,6201,256,0.3911347474860966,0.736491861303813,0.7802981817958461
1,62,25979,256,0.09587234182567035,0.901572716672707,0.9508562762974905
1,63,65110,256,0.07937123815818085,0.902306287341733,0.9594940134476188
1,64,50909,256,0.46607962311780293,0.6442463949012374,0.7306985540441401
1,65,10842,256,0.2567720257001888,0.7739334904636624,0.8621067070263466
1,66,13989,256,0.10099157907640836,0.9124846287869288,0.9481605459644435
1,67,37583,256,0.07482496532130177,0.9185169514460498,0.9618601949757034
1,68,19075,256,0.9933237632457894,0.5979433829263664,0.08170824165413539
1,69,11110,256,0.1782367103841899,0.9166305159381641,0.9065116047882731
1,70,43297,256,0.4524964130956056,0.6799535444644665,0.7399348531488393
1,71,67,67,0.46944859368630415,0.8406397543447297,0.7283895978895468
1,72,1110,256,0.3912983564690114,0.8973442384874292,0.7801933372767218
1,73,6578,256,0.12301891995441834,0.8349948658671745,0.9364726798180402
1,74,93263,256,0.09073685766099929,0.9185110038172096,0.9535529048453477
1,75,23535,256,0.09815195139591876,0.8466364665694313,0.9496568056956582
1,76,23247,256,0.06982883916285638,0.903543014526103,0.9644538147766037
1,77,23301,256,0.12350802371280734,0.6633214149872696,0.9362115018985788
1,78,24039,256,0.15722209988978425,0.9065661222284844,0.9180293568891007
1,79,194,194,0.4651946395143689,0.779725741577568,0.7313038769797622
1,80,8857,256,0.5097387451541457,0.7134694275175857,0.7001865857368693
1,82,2665,256,0.8736111373327116,0.42436210379178463,0.3555121132497294
1,83,33932,256,0.10836357262903172,0.886919572168774,0.9442650196692496
1,84,5985,256,0.7275818407575576,0.46198101484842097,0.5219369303301332
1,85,15681,256,0.07937633568899534,0.8740449891906668,0.9594913570798878
1,86,27647,256,0.4625781582517362,0.7716014535468272,0.7330906095076268
1,87,5241,256,0.41750568739006355,0.7694933658015792,0.7632131501814787
1,88,3819,256,0.2999227930187605,0.9077095094911668,0.836706165258294
1,89,18453,256,0.10217084760080958,0.8755605343814497,0.9475384701420784
1,90,18354,256,0.23604426258225236,0.8908442517262322,0.8740456151813518
1,91,24867,256,0.09260221364368439,0.8615206147769068,0.9525742944024448
1,92,13511,256,0.10702658826016377,0.7804149545052468,0.9449727042300409
