model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_kmax,14,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,128,128,False,13.352262153696708,1.40688192363399,0.014068819236339899,0.008245753485891152,0.0078125,0.3718322638065632,7.3344741999030285,4096,0.6634911894798279,0.007925814017653465,nan
qwen3_8b_base,nar_kmax,14,1,self_attn.o_proj,4096,4096,128,0,1.294485330581665,128,128,False,5.52148269902634,1.1739577825494507,0.011739577825494507,0.007499684646643341,0.0078125,0.011090612140169332,84.20304502378777,4096,0.6519702076911926,0.007796818390488625,nan
qwen3_8b_base,nar_kmax,14,2,mlp.up_proj,4096,12288,128,0,40.959964752197266,128,128,False,14.801362195708,1.4348572639105799,0.014348572639105798,0.008094821360856238,0.0078125,0.3889424768206284,6.834319410932704,12288,0.6661490797996521,0.007810574024915695,nan
qwen3_8b_base,nar_kmax,14,2,mlp.gate_proj,4096,12288,128,0,40.959964752197266,128,128,False,14.801362195708,1.4348572639105799,0.014348572639105798,0.008094821360856238,0.0078125,0.3889424768206284,6.834319410932704,12288,0.6660286784172058,0.00783692579716444,nan
qwen3_8b_base,nar_kmax,14,3,mlp.down_proj,12288,4096,128,0,0.5741980075836182,128,128,False,1.8414906323073381,1.0249684384273552,0.010249684384273552,0.007869050216348521,0.0078125,0.10318478727264095,760.9710952206273,4096,0.6242114305496216,0.007795726880431175,nan
qwen3_8b_base,nar_kmax,15,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,128,128,False,15.386124883514384,1.4331672615131867,0.014331672615131866,0.00811617381134232,0.0078125,0.3935351377422767,6.819504450294301,1024,0.6638769507408142,0.007858015596866608,nan
qwen3_8b_base,nar_kmax,15,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,128,128,False,15.386124883514384,1.4331672615131867,0.014331672615131866,0.00811617381134232,0.0078125,0.3935351377422767,6.819504450294301,1024,0.6647363305091858,0.00787846278399229,nan
qwen3_8b_base,nar_kmax,15,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,128,128,False,15.386124883514384,1.4331672615131867,0.014331672615131866,0.00811617381134232,0.0078125,0.3935351377422767,6.819504450294301,4096,0.6625512838363647,0.007857076823711395,nan
qwen3_8b_base,nar_kmax,15,1,self_attn.o_proj,4096,4096,128,0,1.3299468755722046,128,128,False,6.3502328829832715,1.1869620392191789,0.01186962039219179,0.007688502150944132,0.0078125,0.012041088654809464,46.87508291270298,4096,0.6599878072738647,0.007806424051523209,nan
qwen3_8b_base,nar_kmax,15,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,128,128,False,14.941138122281009,1.4436925416976594,0.014436925416976594,0.007987626498290568,0.0078125,0.400251460270225,6.660476176774377,12288,0.66563481092453,0.007804232649505138,nan
qwen3_8b_base,nar_kmax,15,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,128,128,False,14.941138122281009,1.4436925416976594,0.014436925416976594,0.007987626498290568,0.0078125,0.400251460270225,6.660476176774377,12288,0.6649748086929321,0.007825993001461029,nan
qwen3_8b_base,nar_kmax,15,3,mlp.down_proj,12288,4096,128,0,0.5637956857681274,128,128,False,2.4566669052239845,1.0369922412740644,0.010369922412740646,0.007828436981998749,0.0078125,0.1081853873194647,759.7584487933287,4096,0.6219629049301147,0.007812070194631815,nan
qwen3_8b_base,nar_kmax,16,0,self_attn.k_proj,4096,1024,128,0,40.95996856689453,128,128,False,14.56463738529375,1.4280440731440482,0.014280440731440481,0.007994413982473718,0.0078125,0.3973592320483933,6.959282725388878,1024,0.6653710603713989,0.007977946661412716,nan
qwen3_8b_base,nar_kmax,16,0,self_attn.v_proj,4096,1024,128,0,40.95996856689453,128,128,False,14.56463738529375,1.4280440731440482,0.014280440731440481,0.007994413982473718,0.0078125,0.3973592320483933,6.959282725388878,1024,0.6675488352775574,0.007898137904703617,nan
qwen3_8b_base,nar_kmax,16,0,self_attn.q_proj,4096,4096,128,0,40.95996856689453,128,128,False,14.56463738529375,1.4280440731440482,0.014280440731440481,0.007994413982473718,0.0078125,0.3973592320483933,6.959282725388878,4096,0.6639941334724426,0.007839268073439598,nan
qwen3_8b_base,nar_kmax,16,1,self_attn.o_proj,4096,4096,128,0,1.242148518562317,128,128,False,9.27241277310247,1.1717642435753401,0.0117176424357534,0.007665172256587243,0.0078125,0.015424624710323449,78.6395058654125,4096,0.6517895460128784,0.007780916057527065,nan
qwen3_8b_base,nar_kmax,16,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,128,128,False,14.802762216601232,1.446387910388314,0.014463879103883139,0.00799086657203826,0.0078125,0.4080945137279438,6.598970006732853,12288,0.6657072305679321,0.007796169258654118,nan
qwen3_8b_base,nar_kmax,16,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,128,128,False,14.802762216601232,1.446387910388314,0.014463879103883139,0.00799086657203826,0.0078125,0.4080945137279438,6.598970006732853,12288,0.6659082174301147,0.007797478698194027,nan
qwen3_8b_base,nar_kmax,16,3,mlp.down_proj,12288,4096,128,0,33.38032531738281,128,128,False,5612.1820122842055,59.683493858851946,0.5968349385885195,0.007810524483013986,0.0078125,0.984872595625932,1.0368431630832835,4096,0.620913028717041,0.007859376259148121,nan
qwen3_8b_base,nar_kmax,17,0,self_attn.k_proj,4096,1024,128,0,40.95996856689453,128,128,False,14.424065132326032,1.4358033696340633,0.014358033696340632,0.007902253954368913,0.0078125,0.4075088678369094,6.813776286730984,1024,0.6677148342132568,0.007865420542657375,nan
qwen3_8b_base,nar_kmax,17,0,self_attn.v_proj,4096,1024,128,0,40.95996856689453,128,128,False,14.424065132326032,1.4358033696340633,0.014358033696340632,0.007902253954368913,0.0078125,0.4075088678369094,6.813776286730984,1024,0.6656933426856995,0.007902821525931358,nan
qwen3_8b_base,nar_kmax,17,0,self_attn.q_proj,4096,4096,128,0,40.95996856689453,128,128,False,14.424065132326032,1.4358033696340633,0.014358033696340632,0.007902253954368913,0.0078125,0.4075088678369094,6.813776286730984,4096,0.6649633646011353,0.007866657339036465,nan
qwen3_8b_base,nar_kmax,17,1,self_attn.o_proj,4096,4096,128,0,1.9418716430664062,128,128,False,8.554748689796721,1.18555731511105,0.0118555731511105,0.007537647333267852,0.0078125,0.01772395884490718,33.19435963997649,4096,0.648852527141571,0.007759902626276016,nan
qwen3_8b_base,nar_kmax,17,2,mlp.up_proj,4096,12288,128,0,40.9599723815918,128,128,False,15.394573773192926,1.482227315957404,0.014822273159574042,0.007897696979324029,0.0078125,0.4262648039408233,6.0967069278358625,12288,0.6662337779998779,0.007808600552380085,nan
qwen3_8b_base,nar_kmax,17,2,mlp.gate_proj,4096,12288,128,0,40.9599723815918,128,128,False,15.394573773192926,1.482227315957404,0.014822273159574042,0.007897696979324029,0.0078125,0.4262648039408233,6.0967069278358625,12288,0.6653947234153748,0.007804419845342636,nan
