model,site,layer,method,seed,n,k,group_size,evaluation_tokens,evaluation_rule,f,subspace_projection_fraction,selected_numerical_rank,top8_angles_include_null_completion,sqrt_one_minus_f,mean_group_range,relative_quantization_error_nmse,paired_hadamard_range,range_over_paired_hadamard,range_reduction_vs_hadamard,nmse_delta_vs_hadamard,angle_1_degrees_vs_A_top8,angle_2_degrees_vs_A_top8,angle_3_degrees_vs_A_top8,angle_4_degrees_vs_A_top8,angle_5_degrees_vs_A_top8,angle_6_degrees_vs_A_top8,angle_7_degrees_vs_A_top8,angle_8_degrees_vs_A_top8,angles_mean_degrees_vs_A_top8,factor_file
llama31_8b,down,28,C_top1pct_no_bos,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23692288100326148,0.2369228717028639,-1,False,0.8735428546996069,0.4644001313585185,0.006302103813767809,0.5939890917836043,0.7818327605378043,0.21816723946219574,-0.0034881793298998367,12.41628304665098,26.882296822163227,65.68914673228639,75.75251929456834,80.30328070284142,85.47481717987951,89.32723596742913,89.84241218145081,65.71099899090873,activations/llama31_8b/e27/factors/C_top1pct_no_bos/down_layer_28.pt
llama31_8b,down,28,C_top1pct_no_bos,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23692288087151708,0.2369228717028639,-1,False,0.8735428547750149,0.46442945543127834,0.006303296531306188,0.5940389781963274,0.7818164673998653,0.21818353260013468,-0.0034883900997775778,12.41628304665098,26.882296822163227,65.68914673228639,75.75251929456834,80.30328070284142,85.47481717987951,89.32723596742913,89.84241218145081,65.71099899090873,activations/llama31_8b/e27/factors/C_top1pct_no_bos/down_layer_28.pt
llama31_8b,down,28,hadamard,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.007847920670742912,nan,-1,False,0.9960683105737563,0.5943336062631975,0.009804762249864417,0.5943336062631975,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,
llama31_8b,down,28,hadamard,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.007847920670687769,nan,-1,False,0.996068310573784,0.5939890917836043,0.009790283143667646,0.5939890917836043,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,
llama31_8b,down,28,hadamard,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.007847920674234907,nan,-1,False,0.9960683105720034,0.5940389781963274,0.009791686631083766,0.5940389781963274,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,
llama31_8b,down,29,A_full,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.44790918902034565,0.4479091992511704,112,False,0.7430281360619222,0.476533761977862,0.0046172732508199844,0.7208789527673746,0.6610454642190643,0.3389545357809357,-0.005201293702516667,0.0,0.0,0.0,0.0,1.9090959104164224e-06,2.4148365394514667e-06,4.0945545664670365e-06,4.182619578303746e-06,1.575138324329834e-06,activations/llama31_8b/activation_factors/down_layer_29.pt
llama31_8b,down,29,A_full,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.44790918829262577,0.4479091992511704,112,False,0.7430281365516209,0.47654317417641323,0.004618714197952026,0.7206265711985387,0.661290040115828,0.33870995988417196,-0.005195207966938604,0.0,0.0,0.0,0.0,1.9090959104164224e-06,2.4148365394514667e-06,4.0945545664670365e-06,4.182619578303746e-06,1.575138324329834e-06,activations/llama31_8b/activation_factors/down_layer_29.pt
llama31_8b,down,29,A_full,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.44790918859008344,0.4479091992511704,112,False,0.7430281363514551,0.47655087964259174,0.004617090493315305,0.7206975966310958,0.6612355610317434,0.3387644389682566,-0.005198523726615461,0.0,0.0,0.0,0.0,1.9090959104164224e-06,2.4148365394514667e-06,4.0945545664670365e-06,4.182619578303746e-06,1.575138324329834e-06,activations/llama31_8b/activation_factors/down_layer_29.pt
llama31_8b,down,29,B_top1,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.2310013940310789,0.23100140256503363,128,False,0.8769256558961661,0.5610174927163097,0.006270098868239348,0.7208789527673746,0.7782409107141021,0.22175908928589794,-0.003548468085097304,23.954797638148104,47.45196642126919,81.03426580254362,83.12681630753238,86.66597563214387,88.59969127745609,88.93362188781808,89.7639643996693,73.69138742082258,activations/llama31_8b/e27/factors/B_top1/down_layer_29.pt
llama31_8b,down,29,B_top1,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23100139440696904,0.23100140256503363,128,False,0.8769256556818433,0.561074584257743,0.006272070414054069,0.7206265711985387,0.7785926951383011,0.2214073048616989,-0.003541851750836561,23.954797638148104,47.45196642126919,81.03426580254362,83.12681630753238,86.66597563214387,88.59969127745609,88.93362188781808,89.7639643996693,73.69138742082258,activations/llama31_8b/e27/factors/B_top1/down_layer_29.pt
llama31_8b,down,29,B_top1,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23100139410446827,0.23100140256503363,128,False,0.8769256558543214,0.5610557421096009,0.006272175306408502,0.7206975966310958,0.7784898197694269,0.22151018023057312,-0.0035434389135222642,23.954797638148104,47.45196642126919,81.03426580254362,83.12681630753238,86.66597563214387,88.59969127745609,88.93362188781808,89.7639643996693,73.69138742082258,activations/llama31_8b/e27/factors/B_top1/down_layer_29.pt
llama31_8b,down,29,B_top1_no_bos,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.2310013940310789,0.23100140256503363,128,False,0.8769256558961661,0.5610174927163097,0.006270098868239348,0.7208789527673746,0.7782409107141021,0.22175908928589794,-0.003548468085097304,23.954797638148104,47.45196642126919,81.03426580254362,83.12681630753238,86.66597563214387,88.59969127745609,88.93362188781808,89.7639643996693,73.69138742082258,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_29.pt
llama31_8b,down,29,B_top1_no_bos,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23100139440696904,0.23100140256503363,128,False,0.8769256556818433,0.561074584257743,0.006272070414054069,0.7206265711985387,0.7785926951383011,0.2214073048616989,-0.003541851750836561,23.954797638148104,47.45196642126919,81.03426580254362,83.12681630753238,86.66597563214387,88.59969127745609,88.93362188781808,89.7639643996693,73.69138742082258,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_29.pt
llama31_8b,down,29,B_top1_no_bos,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.23100139410446827,0.23100140256503363,128,False,0.8769256558543214,0.5610557421096009,0.006272175306408502,0.7206975966310958,0.7784898197694269,0.22151018023057312,-0.0035434389135222642,23.954797638148104,47.45196642126919,81.03426580254362,83.12681630753238,86.66597563214387,88.59969127745609,88.93362188781808,89.7639643996693,73.69138742082258,activations/llama31_8b/e27/factors/B_top1_no_bos/down_layer_29.pt
llama31_8b,down,29,C_top1pct,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.32693537470432155,0.32693538402333927,-1,False,0.8204051592327284,0.5311946665076286,0.0056228170535096355,0.7208789527673746,0.7368708220269589,0.26312917797304114,-0.004195749899827016,12.143382573221825,23.633308698224905,35.50801037370093,43.318605996929804,67.90996860631863,73.43584808153014,85.98145162033711,89.72668634879952,53.957157787382855,activations/llama31_8b/e27/factors/C_top1pct/down_layer_29.pt
llama31_8b,down,29,C_top1pct,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.3269353746937801,0.32693538402333927,-1,False,0.8204051592391529,0.5310692168248546,0.005620423026764814,0.7206265711985387,0.7369548085655317,0.26304519143446825,-0.004193499138125816,12.143382573221825,23.633308698224905,35.50801037370093,43.318605996929804,67.90996860631863,73.43584808153014,85.98145162033711,89.72668634879952,53.957157787382855,activations/llama31_8b/e27/factors/C_top1pct/down_layer_29.pt
llama31_8b,down,29,C_top1pct,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.32693537472782686,0.32693538402333927,-1,False,0.820405159218403,0.5311037133900689,0.005621250679288552,0.7206975966310958,0.7369300464892843,0.2630699535107157,-0.004194363540642215,12.143382573221825,23.633308698224905,35.50801037370093,43.318605996929804,67.90996860631863,73.43584808153014,85.98145162033711,89.72668634879952,53.957157787382855,activations/llama31_8b/e27/factors/C_top1pct/down_layer_29.pt
llama31_8b,down,29,C_top1pct_no_bos,20260902,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.3269323562509677,0.3269323592331254,-1,False,0.8204069988420578,0.5311967242228418,0.0056228334762263585,0.7208789527673746,0.7368736764801307,0.2631263235198693,-0.004195733477110293,12.146074076444302,23.64776434784579,35.509090187037266,43.32119511081178,67.91533972202986,73.43759730047209,85.98117122529409,89.72688982724816,53.96064022464791,activations/llama31_8b/e27/factors/C_top1pct_no_bos/down_layer_29.pt
llama31_8b,down,29,C_top1pct_no_bos,20260903,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.326932356206615,0.3269323592331254,-1,False,0.8204069988690887,0.5310706943236353,0.005620441554061015,0.7206265711985387,0.7369568588629254,0.2630431411370746,-0.004193480610829615,12.146074076444302,23.64776434784579,35.509090187037266,43.32119511081178,67.91533972202986,73.43759730047209,85.98117122529409,89.72688982724816,53.96064022464791,activations/llama31_8b/e27/factors/C_top1pct_no_bos/down_layer_29.pt
llama31_8b,down,29,C_top1pct_no_bos,20260904,14336,112,128,8192,E1c positions 0:2048:32 in all 128 frozen sequences,0.3269323563249169,0.3269323592331254,-1,False,0.8204069987969892,0.5311061885270354,0.005621301589375846,0.7206975966310958,0.7369334808520157,0.2630665191479843,-0.00419431263055492,12.146074076444302,23.64776434784579,35.509090187037266,43.32119511081178,67.91533972202986,73.43759730047209,85.98117122529409,89.72688982724816,53.96064022464791,activations/llama31_8b/e27/factors/C_top1pct_no_bos/down_layer_29.pt
