model,method,layer,direction,s_i,top_magnitude_channel
llama31_8b,smoothquant_hadamard,7,v5,0.00021726042905356735,1869
llama31_8b,smoothquant_hadamard,7,v6,0.00014544761506840587,1869
llama31_8b,smoothquant_hadamard,7,v7,0.00014625627954956144,1869
llama31_8b,smoothquant_hadamard,7,v8,0.0003499951562844217,1869
llama31_8b,smoothquant_hadamard,7,top_magnitude_channel,0.0,1869
llama31_8b,duquant_style,7,v1,0.6096203923225403,1869
llama31_8b,duquant_style,7,v2,0.5892163515090942,1869
llama31_8b,duquant_style,7,v3,0.5961896777153015,1869
llama31_8b,duquant_style,7,v4,0.5388734936714172,1869
llama31_8b,duquant_style,7,v5,0.5429818034172058,1869
llama31_8b,duquant_style,7,v6,0.577761709690094,1869
llama31_8b,duquant_style,7,v7,0.4214182496070862,1869
llama31_8b,duquant_style,7,v8,0.5452502369880676,1869
llama31_8b,duquant_style,7,top_magnitude_channel,0.9999999403953552,1869
llama31_8b,nar,7,v1,0.9999998807907104,1869
llama31_8b,nar,7,v2,0.9999999403953552,1869
llama31_8b,nar,7,v3,0.9999998807907104,1869
llama31_8b,nar,7,v4,0.999999463558197,1869
llama31_8b,nar,7,v5,1.0,1869
llama31_8b,nar,7,v6,0.9999998807907104,1869
llama31_8b,nar,7,v7,0.9999999403953552,1869
llama31_8b,nar,7,v8,0.9999997615814209,1869
llama31_8b,nar,7,top_magnitude_channel,0.2292957305908203,1869
llama31_8b,hadamard,8,v1,0.0019840921740978956,1869
llama31_8b,hadamard,8,v2,0.010254902765154839,1869
llama31_8b,hadamard,8,v3,0.0010879678884521127,1869
llama31_8b,hadamard,8,v4,0.004888154566287994,1869
llama31_8b,hadamard,8,v5,0.004615709185600281,1869
llama31_8b,hadamard,8,v6,0.0016037221066653728,1869
llama31_8b,hadamard,8,v7,0.003826686181128025,1869
llama31_8b,hadamard,8,v8,0.005302145145833492,1869
llama31_8b,hadamard,8,top_magnitude_channel,0.0,1869
llama31_8b,smoothquant_hadamard,8,v1,0.00013806505012325943,1869
llama31_8b,smoothquant_hadamard,8,v2,0.0007354808039963245,1869
llama31_8b,smoothquant_hadamard,8,v3,8.146121399477124e-05,1869
llama31_8b,smoothquant_hadamard,8,v4,0.0003556873125489801,1869
llama31_8b,smoothquant_hadamard,8,v5,0.00032983015989884734,1869
llama31_8b,smoothquant_hadamard,8,v6,0.00012517746654339135,1869
llama31_8b,smoothquant_hadamard,8,v7,0.0002765801618807018,1869
llama31_8b,smoothquant_hadamard,8,v8,0.0003862172889057547,1869
llama31_8b,smoothquant_hadamard,8,top_magnitude_channel,0.0,1869
llama31_8b,duquant_style,8,v1,0.7617119550704956,1869
llama31_8b,duquant_style,8,v2,0.6305294036865234,1869
llama31_8b,duquant_style,8,v3,0.6266798973083496,1869
llama31_8b,duquant_style,8,v4,0.5586449503898621,1869
llama31_8b,duquant_style,8,v5,0.6665017008781433,1869
llama31_8b,duquant_style,8,v6,0.6668343544006348,1869
llama31_8b,duquant_style,8,v7,0.5410369634628296,1869
llama31_8b,duquant_style,8,v8,0.590782642364502,1869
llama31_8b,duquant_style,8,top_magnitude_channel,0.9999999403953552,1869
llama31_8b,nar,8,v1,0.9999999403953552,1869
llama31_8b,nar,8,v2,1.0000001192092896,1869
llama31_8b,nar,8,v3,1.0,1869
llama31_8b,nar,8,v4,0.9999997615814209,1869
llama31_8b,nar,8,v5,1.0,1869
llama31_8b,nar,8,v6,0.9999999403953552,1869
llama31_8b,nar,8,v7,0.9999999403953552,1869
llama31_8b,nar,8,v8,1.000000238418579,1869
llama31_8b,nar,8,top_magnitude_channel,0.32989680767059326,1869
llama31_8b,hadamard,9,v1,0.0008509982144460082,2932
llama31_8b,hadamard,9,v2,0.003971129655838013,2932
llama31_8b,hadamard,9,v3,0.0015209537232294679,2932
llama31_8b,hadamard,9,v4,0.0024825825821608305,2932
llama31_8b,hadamard,9,v5,0.002754681510850787,2932
llama31_8b,hadamard,9,v6,0.0024017798714339733,2932
llama31_8b,hadamard,9,v7,0.0013693291693925858,2932
llama31_8b,hadamard,9,v8,0.0016183574916794896,2932
llama31_8b,hadamard,9,top_magnitude_channel,0.0,2932
llama31_8b,smoothquant_hadamard,9,v1,5.2030452934559435e-05,2932
