model,site,layer,method,selected_tokens,selected_bos,selected_sequences,bos_fraction,indices_sha256,values_sha256,selection_artifact
llama31_8b,qkv,17,B_top1,128,0,128,0.0,06eae4f8da68d49d55410e51113988d51601bcf5b0acf25dc1685694b6b4a727,1b255e1d423fc742054ba5572836caefe07dfe544ae67b699177cb8ac8e72904,qkv_layer_17.selection.pt
llama31_8b,qkv,17,B_top1_no_bos,128,0,128,0.0,06eae4f8da68d49d55410e51113988d51601bcf5b0acf25dc1685694b6b4a727,1b255e1d423fc742054ba5572836caefe07dfe544ae67b699177cb8ac8e72904,qkv_layer_17.selection.pt
llama31_8b,qkv,17,C_top1pct,2622,0,125,0.0,1e783a73945e22871db92f47d1fdc8c2cf6bfd20ca8d4d771c580032a45cda92,6f10e43671d6f46ce755208c90eb2a1d43b398220c3e951b588aeef5ea098aee,qkv_layer_17.selection.pt
llama31_8b,qkv,17,C_top1pct_no_bos,2621,0,125,0.0,bb64277925cf8c88f175809dd0c16e5d9d3118eaf2786534944d412bb9dc0f1f,fc22664689a183e30909b2eca3f6821bc4608a715d91336ad5a6dfe7dfb978da,qkv_layer_17.selection.pt
llama31_8b,qkv,18,B_top1,128,0,128,0.0,3c86353b8e78503238b8c22304a4f4c580083a1bfc3c37daa22df77d66b1831a,819a835ab83d23aefa70c42cb2ba00dc48167e0c0647f614ca6005d98175ccff,qkv_layer_18.selection.pt
llama31_8b,qkv,18,B_top1_no_bos,128,0,128,0.0,3c86353b8e78503238b8c22304a4f4c580083a1bfc3c37daa22df77d66b1831a,819a835ab83d23aefa70c42cb2ba00dc48167e0c0647f614ca6005d98175ccff,qkv_layer_18.selection.pt
llama31_8b,qkv,18,C_top1pct,2622,0,125,0.0,eeb4006f62be447864e5d125dfe3cc84935dba8737948e369b46a97702784883,e4d4fed03709bbf042b9c41364dc24785e1704c9b47410ec84b2bf479c349d62,qkv_layer_18.selection.pt
llama31_8b,qkv,18,C_top1pct_no_bos,2621,0,125,0.0,f18189e09574c935c2f7132bd3b518700eafa3deee07ab52134ab9a33b2e826b,0a66a666a5339d25e2c1955c02c8dd7fa06631a095013b6e6d8a6fdb30bb3faa,qkv_layer_18.selection.pt
llama31_8b,qkv,19,B_top1,128,0,128,0.0,204e329a50cef673c0a6a568947eabf358bbec691b643dca72f50d3c0bcc3838,20367d40d6474508a7b982fc79dceed6e1cb6aceda132742ca653c5d96158d48,qkv_layer_19.selection.pt
llama31_8b,qkv,19,B_top1_no_bos,128,0,128,0.0,204e329a50cef673c0a6a568947eabf358bbec691b643dca72f50d3c0bcc3838,20367d40d6474508a7b982fc79dceed6e1cb6aceda132742ca653c5d96158d48,qkv_layer_19.selection.pt
llama31_8b,qkv,19,C_top1pct,2622,0,122,0.0,0e73f0e0baf777dfb52b08df0a707117844c2079bffd9ca7018e0c53fbdb8f14,87561f70876ab4e9bb3cc0a474607816a44b917018831d40e92a9f65dec10a7a,qkv_layer_19.selection.pt
llama31_8b,qkv,19,C_top1pct_no_bos,2621,0,122,0.0,ce605e73471749b418cc88ece4e18adb1aca303a63bccb1f934ab01799555e32,e0f04b60b4fa1851f3aa099602361760979004ad609dc85b5aa4951776c916c2,qkv_layer_19.selection.pt
llama31_8b,qkv,20,B_top1,128,0,128,0.0,17772e31e9bf65075bffe5a073f7f8a856f443314a74739ee711beb72b110ed7,bffa208fed3ec21110165f4f7c7caaf6ed6ecc97599fd872ba84247e9ba93028,qkv_layer_20.selection.pt
llama31_8b,qkv,20,B_top1_no_bos,128,0,128,0.0,17772e31e9bf65075bffe5a073f7f8a856f443314a74739ee711beb72b110ed7,bffa208fed3ec21110165f4f7c7caaf6ed6ecc97599fd872ba84247e9ba93028,qkv_layer_20.selection.pt
llama31_8b,qkv,20,C_top1pct,2622,0,123,0.0,81b567ec25713a2c446ec4057404160adfc64dd2d7dd72dbdae257c2bdf2e43d,28c539f262f7d9f5082ebb9282fe96969db4fb3c78a1b69242d7555a167b2361,qkv_layer_20.selection.pt
