model,row,site,layer,seed,round_trip,tolerance
llama31_8b,E20_hadamard_g128_m1,qkv,2,2,1.3290916456298874e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,2,0,1.342496460665643e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,2,1,1.330520547071501e-07,1e-06
llama31_8b,E20_hadamard_g256_m1,qkv,2,2,1.3290916456298874e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,qkv,2,0,1.342496460665643e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,qkv,2,1,1.330520547071501e-07,1e-06
llama31_8b,E20_hadamard_g256_m2,qkv,2,2,1.3290916456298874e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,qkv,2,0,1.342496460665643e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,qkv,2,1,1.330520547071501e-07,1e-06
llama31_8b,E20_hadamard_g256_m3,qkv,2,2,1.3290916456298874e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,qkv,2,0,1.342496460665643e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,qkv,2,1,1.330520547071501e-07,1e-06
llama31_8b,E20_hadamard_g128_m2,qkv,2,2,1.3290916456298874e-07,1e-06
llama31_8b,E20_nar_g64_m1,qkv,2,0,1.449204916070812e-07,1e-06
llama31_8b,E20_nar_g64_m1,qkv,2,1,1.4549695492860337e-07,1e-06
llama31_8b,E20_nar_g64_m1,qkv,2,2,1.439073429310156e-07,1e-06
llama31_8b,E20_nar_g128_m1,qkv,2,0,1.3964339018457395e-07,1e-06
llama31_8b,E20_nar_g128_m1,qkv,2,1,1.3946775823114876e-07,1e-06
llama31_8b,E20_nar_g128_m1,qkv,2,2,1.3804340426304407e-07,1e-06
llama31_8b,E20_nar_g256_m1,qkv,2,0,1.2484051126193663e-07,1e-06
llama31_8b,E20_nar_g256_m1,qkv,2,1,1.2399902971083065e-07,1e-06
llama31_8b,E20_nar_g256_m1,qkv,2,2,1.2368691670872067e-07,1e-06
llama31_8b,E20_nar_g256_m2,qkv,2,0,1.3611546023639676e-07,1e-06
llama31_8b,E20_nar_g256_m2,qkv,2,1,1.353425034267275e-07,1e-06
llama31_8b,E20_nar_g256_m2,qkv,2,2,1.3372395812893956e-07,1e-06
llama31_8b,E20_nar_g256_m3,qkv,2,0,1.4368708889378468e-07,1e-06
llama31_8b,E20_nar_g256_m3,qkv,2,1,1.4344263377097377e-07,1e-06
llama31_8b,E20_nar_g256_m3,qkv,2,2,1.420195161472293e-07,1e-06
llama31_8b,E20_nar_g128_m2,qkv,2,0,1.5579189494019374e-07,1e-06
llama31_8b,E20_nar_g128_m2,qkv,2,1,1.5583515278194682e-07,1e-06
llama31_8b,E20_nar_g128_m2,qkv,2,2,1.5573814948766085e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,qkv,2,0,1.5579189494019374e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,qkv,2,1,1.5583515278194682e-07,1e-06
llama31_8b,E20_nar_g128_m2_c32,qkv,2,2,1.5573814948766085e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,qkv,2,0,1.4368708889378468e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,qkv,2,1,1.4344263377097377e-07,1e-06
llama31_8b,E20_nar_g256_m3_c32,qkv,2,2,1.420195161472293e-07,1e-06
llama31_8b,E11_g64_kmax,down,2,0,1.594376755065241e-07,1e-06
llama31_8b,E11_g64_kmax,down,2,1,1.6124404567108286e-07,1e-06
llama31_8b,E11_g64_kmax,down,2,2,1.6031746952194226e-07,1e-06
llama31_8b,E11_g128_k8,down,2,0,1.1718777415126169e-07,1e-06
llama31_8b,E11_g128_k8,down,2,1,1.1700097957145772e-07,1e-06
llama31_8b,E11_g128_k8,down,2,2,1.1713926539869135e-07,1e-06
llama31_8b,E11_g128_k16,down,2,0,1.2128110427056527e-07,1e-06
llama31_8b,E11_g128_k16,down,2,1,1.2080907652034512e-07,1e-06
llama31_8b,E11_g128_k16,down,2,2,1.2138166027853003e-07,1e-06
llama31_8b,E11_g128_k32,down,2,0,1.2256879244887386e-07,1e-06
llama31_8b,E11_g128_k32,down,2,1,1.232342157209132e-07,1e-06
llama31_8b,E11_g128_k32,down,2,2,1.2245604352756345e-07,1e-06
llama31_8b,E11_g128_kmax,down,2,0,1.3986044677949394e-07,1e-06
llama31_8b,E11_g128_kmax,down,2,1,1.3980321966755582e-07,1e-06
llama31_8b,E11_g128_kmax,down,2,2,1.3938470999619312e-07,1e-06
llama31_8b,E11_g256_kmax,down,2,0,1.273180885164038e-07,1e-06
llama31_8b,E11_g256_kmax,down,2,1,1.260956423720927e-07,1e-06
llama31_8b,E11_g256_kmax,down,2,2,1.2627931766928668e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,2,0,1.9433228715115547e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,2,1,1.9399692519073142e-07,1e-06
llama31_8b,E20_hadamard_g64_m1,down,2,2,1.9333538148202933e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,2,0,1.9433228715115547e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,2,1,1.9399692519073142e-07,1e-06
llama31_8b,E20_hadamard_g128_m1,down,2,2,1.9333538148202933e-07,1e-06
