model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,hadamard_g128_asym,20260904,32,1.8402175903320312,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,33,1.8103246688842773,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,34,1.9575471878051758,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,35,1.306692123413086,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,36,1.3146507740020752,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,37,1.325537919998169,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,38,1.3096897602081299,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,39,1.5353916883468628,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,40,2.0646815299987793,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,41,2.552605628967285,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,42,2.549870014190674,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,43,2.0383074283599854,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,44,2.069701910018921,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,45,2.104400396347046,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,46,2.195131540298462,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,47,2.045046329498291,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,48,1.8359816074371338,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,49,1.8616735935211182,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,50,1.5425715446472168,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,51,1.6865246295928955,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,52,1.5271612405776978,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,53,1.7160776853561401,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,54,1.4586052894592285,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,55,1.4396599531173706,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,56,1.4969501495361328,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,57,1.6474268436431885,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,58,1.9502177238464355,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,59,2.170718193054199,2047,reused_verbatim_from_e5,0.0030748900026082993
llama31_8b,hadamard_g128_asym,20260904,60,2.188833236694336,2047,reused_verbatim_from_e5,0.0030748900026082993
