model,row,method,group,m,seed,chunk,nll,tokens_scored,effective_bits,slots,coeff,bit_accounted
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,56,1.5005106925964355,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,57,1.642271637916565,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,58,1.9492285251617432,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,59,2.1594107151031494,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,60,2.18673038482666,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,61,2.3128693103790283,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,62,1.294310212135315,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,1,63,1.7383085489273071,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,0,1.593705415725708,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,1,2.21336030960083,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,2,2.282686948776245,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,3,1.8529269695281982,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,4,1.7395442724227905,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,5,1.3169200420379639,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,6,1.3619742393493652,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,7,1.7244727611541748,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,8,2.0337154865264893,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,9,1.8491575717926025,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,10,1.747551679611206,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,11,2.078650951385498,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,12,1.9803069829940796,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,13,2.0822200775146484,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,14,2.0102837085723877,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,15,2.235797166824341,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,16,1.9474254846572876,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,17,1.9347702264785767,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,18,1.573912262916565,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,19,1.887739658355713,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,20,1.9924430847167969,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,21,1.953764796257019,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,22,1.9502785205841064,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,23,2.01607346534729,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,24,2.069608688354492,2047,4.5,0,,
llama31_8b,hadamard_g64_m1,hadamard,64,1,2,25,2.191450834274292,2047,4.5,0,,
