model,method,seed,sequence,nll,tokens_scored,source,weight_fold_max_relative_error
llama31_8b,nar_b128_k64,20260903,34,1.9546359777450562,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,35,1.3042635917663574,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,36,1.3045789003372192,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,37,1.3146451711654663,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,38,1.3052482604980469,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,39,1.5203124284744263,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,40,2.0654821395874023,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,41,2.5352139472961426,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,42,2.5453662872314453,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,43,2.0504343509674072,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,44,2.0518031120300293,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,45,2.105719804763794,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,46,2.184162139892578,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,47,2.0410032272338867,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,48,1.8264111280441284,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,49,1.8453408479690552,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,50,1.537416934967041,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,51,1.6711217164993286,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,52,1.5182609558105469,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,53,1.7042657136917114,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,54,1.4493048191070557,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,55,1.4252197742462158,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
llama31_8b,nar_b128_k64,20260903,56,1.4864301681518555,2047,supplementary E11 k64 measurement for Figure 4,0.002862263936549425
