model,row,site,layer,seed,group,m,k,s_meas,s_hadamard,f_calibration,f_test_capture,s_pred,relative_error,observations,groups_measured,f_definition
llama31_8b,E20_hadamard_g128_m1,qkv,6,1,128,1,0,0.1378857192881089,0.1378857192881089,0.004756453912705183,0.008331512609621831,0.13755740488517934,-0.0023810616837233304,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m1,qkv,6,2,128,1,0,0.13792711508496502,0.13792711508496502,0.004756453912705183,0.008331512609397245,0.1375987021160897,-0.0023810616837233673,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m1,qkv,6,0,256,1,0,0.15001526622385342,0.15001526622385342,0.004297430161386728,0.005988706232675892,0.14969257910438183,-0.0021510285425889414,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m1,qkv,6,1,256,1,0,0.1500550497072446,0.1500550497072446,0.004297430627048016,0.00598870623245675,0.14973227697735197,-0.0021510287759215225,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m1,qkv,6,2,256,1,0,0.1501266305336344,0.1501266305336344,0.004297430627048016,0.005988706231919385,0.14980370383132444,-0.0021510287759213564,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m2,qkv,6,0,256,2,0,0.14983633330827573,0.15001526622385342,0.00475645437836647,0.008331512888435443,0.14965807058646272,-0.0011897162582472569,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m2,qkv,6,1,256,2,0,0.14987126776651394,0.1500550497072446,0.00475645437836647,0.008331512888891142,0.14969775934291665,-0.0011577163934290305,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m2,qkv,6,2,256,2,0,0.14995873069593202,0.1501266305336344,0.00475645437836647,0.008331512884518427,0.14976916973092674,-0.0012640875534592512,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m3,qkv,6,0,256,3,0,0.1493914398263314,0.15001526622385342,0.008043624460697174,0.013732403941673185,0.14941071484080992,0.00012902355383228182,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m3,qkv,6,1,256,3,0,0.14945908384886053,0.1500550497072446,0.008043624460697174,0.013732403943650294,0.1494503379994521,-5.851668017235475e-05,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g256_m3,qkv,6,2,256,3,0,0.14952272279396794,0.1501266305336344,0.008043624460697174,0.013732403936308105,0.14952163035994984,-7.306140482825635e-06,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m2,qkv,6,0,128,2,0,0.13704315027958813,0.13784977132414689,0.011515149846673012,0.01932180335237363,0.13705379284987004,7.765853499571321e-05,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m2,qkv,6,1,128,2,0,0.13707804588932682,0.1378857192881089,0.011515148915350437,0.01932180335837918,0.13708953330603016,8.380201679135114e-05,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_hadamard_g128_m2,qkv,6,2,128,2,0,0.1371007789645624,0.13792711508496502,0.011515149846673012,0.019321803351391963,0.13713069000879585,0.0002181683026117246,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g64_m1,qkv,6,0,64,1,64,0.08682303168316352,0.12440340107046666,0.49003535509109497,0.4775525070687405,0.08883871902638374,0.023216044224024658,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g64_m1,qkv,6,1,64,1,64,0.08684082105259217,0.1244279520530438,0.49003535509109497,0.477552507128429,0.08885625132714259,0.023208328181626086,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g64_m1,qkv,6,2,64,1,64,0.08680249808258145,0.12445397248419532,0.49003535509109497,0.4775525071133437,0.08887483298770914,0.023874139004111717,131072,8388608,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m1,qkv,6,0,128,1,32,0.10055264867998126,0.13784977132414689,0.4259697496891022,0.415842326846902,0.10444158156594521,0.03867558872905343,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m1,qkv,6,1,128,1,32,0.10054542382755827,0.1378857192881089,0.4259697496891022,0.4158423268998756,0.1044688174632137,0.0390211059469429,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g128_m1,qkv,6,2,128,1,32,0.10053007182896412,0.13792711508496502,0.4259697496891022,0.415842326948546,0.10450018089931015,0.039491756029982165,131072,4194304,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m1,qkv,6,0,256,1,16,0.11360749565816874,0.15001526622385342,0.3643488883972168,0.3562968442090944,0.119603768154915,0.05278060626200504,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m1,qkv,6,1,256,1,16,0.11359805643689569,0.1500550497072446,0.3643488883972168,0.35629684404871564,0.11963548662359946,0.05314730177674825,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
llama31_8b,E20_nar_g256_m1,qkv,6,2,256,1,16,0.1135883859703295,0.1501266305336344,0.3643488883972168,0.35629684414631685,0.11969255639242611,0.05373938867034424,131072,2097152,E11 energy-weighted P_N capture; frozen E20 construction
