layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,symmetric,cholesky_float64,hessian_dtype,product_dtype,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,null_space_dc_share,hessian_participation_ratio,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
38,0,self_attn.q_proj,2048,4096,128,0,40.95991516113281,128,128,False,False,False,torch.float32,torch.float32,10.663047860254874,1.5754975553617938,0.015754975553617937,0.007089652984482137,0.0078125,0.43406139362379215,4.774719170773439,4096,0.7834423780441284,0.007780545391142368,nan
38,1,self_attn.o_proj,4096,2048,128,0,0.5195023417472839,128,128,False,False,False,torch.float32,torch.float32,10.045491734584333,1.4736246733335072,0.014736246733335073,0.008520276447555455,0.0078125,0.06196282860403562,51.05934467467498,2048,0.7263281345367432,0.008352153934538364,nan
39,0,self_attn.k_proj,2048,512,128,0,40.95993423461914,128,128,False,False,False,torch.float32,torch.float32,10.850136826731445,1.5672081041405792,0.01567208104140579,0.006930827659459063,0.0078125,0.4470942988664967,4.810246697282064,512,0.7845312356948853,0.007972260937094688,nan
39,0,self_attn.v_proj,2048,512,128,0,40.95993423461914,128,128,False,False,False,torch.float32,torch.float32,10.850136826731445,1.5672081041405792,0.01567208104140579,0.006930827659459063,0.0078125,0.4470942988664967,4.810246697282064,512,0.7848047018051147,0.007969770580530167,nan
39,0,self_attn.q_proj,2048,4096,128,0,40.95993423461914,128,128,False,False,False,torch.float32,torch.float32,10.850136826731445,1.5672081041405792,0.01567208104140579,0.006930827659459063,0.0078125,0.4470942988664967,4.810246697282064,4096,0.7838061451911926,0.007810796611011028,nan
39,1,self_attn.o_proj,4096,2048,128,0,0.2660188376903534,128,128,False,False,False,torch.float32,torch.float32,7.489207417600008,1.440344714912489,0.014403447149124891,0.008229679454390635,0.0078125,0.02539951689059936,161.0812236806876,2048,0.7301709055900574,0.007853848859667778,nan
40,0,self_attn.k_proj,2048,512,128,0,40.95994567871094,128,128,False,False,False,torch.float32,torch.float32,9.83937124972518,1.4994122893724116,0.014994122893724116,0.007048061046441974,0.0078125,0.42446552742967625,5.667088560998808,512,0.7821484208106995,0.0077577512711286545,nan
40,0,self_attn.v_proj,2048,512,128,0,40.95994567871094,128,128,False,False,False,torch.float32,torch.float32,9.83937124972518,1.4994122893724116,0.014994122893724116,0.007048061046441974,0.0078125,0.42446552742967625,5.667088560998808,512,0.7834179401397705,0.007823689840734005,nan
40,0,self_attn.q_proj,2048,4096,128,0,40.95994567871094,128,128,False,False,False,torch.float32,torch.float32,9.83937124972518,1.4994122893724116,0.014994122893724116,0.007048061046441974,0.0078125,0.42446552742967625,5.667088560998808,4096,0.7840282917022705,0.007754189893603325,nan
40,1,self_attn.o_proj,4096,2048,128,0,0.6608118414878845,128,128,False,False,False,torch.float32,torch.float32,7.50504039163142,1.3861946019444573,0.013861946019444576,0.006859262653391897,0.0078125,0.05106643209700795,47.12720583434,2048,0.7273193597793579,0.0077140419743955135,nan
