model,rotation,layer,group,module,columns,rows,hessian_sequences,dead_columns,damp,groupsize,blocksize,act_order,hessian_diag_max_over_median,hessian_diag_mean_over_median,damp_over_median_diag,null_slot_diag_share,null_slot_baseline,rows_clipped,mean_shrink,clipped_row_null_slot_mass_share,unclipped_row_null_slot_mass_share
qwen3_8b_base,nar_k8,12,0,self_attn.q_proj,4096,4096,128,0,40.95995330810547,-1,128,True,15.293216497900307,1.4511330631883708,0.01451133063188371,0.007125890542777167,0.0078125,4096,0.6647046208381653,0.007725968956947327,nan
qwen3_8b_base,nar_k8,12,1,self_attn.o_proj,4096,4096,128,0,0.8483008146286011,-1,128,True,10.99212209426252,1.3542973550709192,0.013542973550709192,0.007745590112339866,0.0078125,4096,0.6579663157463074,0.0077362461015582085,nan
qwen3_8b_base,nar_k8,12,2,mlp.up_proj,4096,12288,128,0,40.9599609375,-1,128,True,16.761230645541588,1.45916554667009,0.0145916554667009,0.007147295618135996,0.0078125,12288,0.6658504605293274,0.007815683260560036,nan
qwen3_8b_base,nar_k8,12,2,mlp.gate_proj,4096,12288,128,0,40.9599609375,-1,128,True,16.761230645541588,1.45916554667009,0.0145916554667009,0.007147295618135996,0.0078125,12288,0.6662899255752563,0.007789271883666515,nan
qwen3_8b_base,nar_k8,12,3,mlp.down_proj,12288,4096,128,0,0.5782731771469116,-1,128,True,2.3790271409162824,1.039424974009377,0.01039424974009377,0.007799485251439555,0.0078125,4096,0.6229272484779358,0.007833195850253105,nan
qwen3_8b_base,nar_k8,13,0,self_attn.k_proj,4096,1024,128,0,40.9599609375,-1,128,True,17.083519562144893,1.46479053143923,0.014647905314392301,0.007182506281143082,0.0078125,1024,0.6642090082168579,0.007726520765572786,nan
qwen3_8b_base,nar_k8,13,0,self_attn.v_proj,4096,1024,128,0,40.9599609375,-1,128,True,17.083519562144893,1.46479053143923,0.014647905314392301,0.007182506281143082,0.0078125,1024,0.6680761575698853,0.007867222651839256,nan
qwen3_8b_base,nar_k8,13,0,self_attn.q_proj,4096,4096,128,0,40.9599609375,-1,128,True,17.083519562144893,1.46479053143923,0.014647905314392301,0.007182506281143082,0.0078125,4096,0.664843738079071,0.0077325813472270966,nan
qwen3_8b_base,nar_k8,13,1,self_attn.o_proj,4096,4096,128,0,0.6890296936035156,-1,128,True,4.244757245030137,1.1307912082697351,0.01130791208269735,0.007078749134948097,0.0078125,4096,0.6573706269264221,0.007700236514210701,nan
qwen3_8b_base,nar_k8,13,2,mlp.up_proj,4096,12288,128,0,40.9599609375,-1,128,True,17.28862042793761,1.4547670167852453,0.014547670167852455,0.007258343946198177,0.0078125,12288,0.6654386520385742,0.00782672967761755,nan
qwen3_8b_base,nar_k8,13,2,mlp.gate_proj,4096,12288,128,0,40.9599609375,-1,128,True,17.28862042793761,1.4547670167852453,0.014547670167852455,0.007258343946198177,0.0078125,12288,0.6662353873252869,0.0078123994171619415,nan
qwen3_8b_base,nar_k8,13,3,mlp.down_proj,12288,4096,128,0,0.6011412739753723,-1,128,True,1.8844415877889409,1.0235219860429747,0.010235219860429749,0.007814235829371182,0.0078125,4096,0.6223046779632568,0.0078024836257100105,nan
qwen3_8b_base,nar_k8,14,0,self_attn.k_proj,4096,1024,128,0,40.9599609375,-1,128,True,17.031762029334484,1.4243846086122065,0.014243846086122065,0.007334542499073594,0.0078125,1024,0.6640331745147705,0.007815482094883919,nan
qwen3_8b_base,nar_k8,14,0,self_attn.v_proj,4096,1024,128,0,40.9599609375,-1,128,True,17.031762029334484,1.4243846086122065,0.014243846086122065,0.007334542499073594,0.0078125,1024,0.6659374833106995,0.007901757955551147,nan
qwen3_8b_base,nar_k8,14,0,self_attn.q_proj,4096,4096,128,0,40.9599609375,-1,128,True,17.031762029334484,1.4243846086122065,0.014243846086122065,0.007334542499073594,0.0078125,4096,0.6656128168106079,0.00778483971953392,nan
qwen3_8b_base,nar_k8,14,1,self_attn.o_proj,4096,4096,128,0,1.287006139755249,-1,128,True,5.58604686821831,1.1746577963276328,0.01174657796327633,0.007575602091623665,0.0078125,4096,0.6522387862205505,0.00779752666130662,nan
qwen3_8b_base,nar_k8,14,2,mlp.up_proj,4096,12288,128,0,40.959964752197266,-1,128,True,17.492784003102887,1.4512093496304161,0.014512093496304161,0.007307877343015838,0.0078125,12288,0.6657544374465942,0.007807430811226368,nan
qwen3_8b_base,nar_k8,14,2,mlp.gate_proj,4096,12288,128,0,40.959964752197266,-1,128,True,17.492784003102887,1.4512093496304161,0.014512093496304161,0.007307877343015838,0.0078125,12288,0.6659131050109863,0.007835673168301582,nan
qwen3_8b_base,nar_k8,14,3,mlp.down_proj,12288,4096,128,0,0.5767200589179993,-1,128,True,2.0453227279493436,1.0327919449396998,0.010327919449396998,0.007825827466813443,0.0078125,4096,0.6215405464172363,0.007812365889549255,nan
qwen3_8b_base,nar_k8,15,0,self_attn.k_proj,4096,1024,128,0,40.959964752197266,-1,128,True,18.063373844829748,1.4535484366203504,0.014535484366203503,0.007368681582006344,0.0078125,1024,0.6671191453933716,0.007845619693398476,nan
qwen3_8b_base,nar_k8,15,0,self_attn.v_proj,4096,1024,128,0,40.959964752197266,-1,128,True,18.063373844829748,1.4535484366203504,0.014535484366203503,0.007368681582006344,0.0078125,1024,0.6630762219429016,0.007949775084853172,nan
qwen3_8b_base,nar_k8,15,0,self_attn.q_proj,4096,4096,128,0,40.959964752197266,-1,128,True,18.063373844829748,1.4535484366203504,0.014535484366203503,0.007368681582006344,0.0078125,4096,0.6643383502960205,0.007845815271139145,nan
qwen3_8b_base,nar_k8,15,1,self_attn.o_proj,4096,4096,128,0,1.322327733039856,-1,128,True,6.230645726969718,1.1728158367110184,0.011728158367110185,0.007702283965935404,0.0078125,4096,0.6603564023971558,0.007802935782819986,nan
qwen3_8b_base,nar_k8,15,2,mlp.up_proj,4096,12288,128,0,40.95996856689453,-1,128,True,18.85213508744504,1.466049570698308,0.01466049570698308,0.0073635076418876256,0.0078125,12288,0.6656404733657837,0.007813632488250732,nan
qwen3_8b_base,nar_k8,15,2,mlp.gate_proj,4096,12288,128,0,40.95996856689453,-1,128,True,18.85213508744504,1.466049570698308,0.01466049570698308,0.0073635076418876256,0.0078125,12288,0.6653385758399963,0.0078010293655097485,nan
qwen3_8b_base,nar_k8,15,3,mlp.down_proj,12288,4096,128,0,0.5635485649108887,-1,128,True,2.5552812319150506,1.0376814570806816,0.010376814570806815,0.007844396400626147,0.0078125,4096,0.6231542825698853,0.007800540886819363,nan
